"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Agony Acres",2021,"Beaver Dam",145,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,3,2021-10-08 11:00:00,"Beaver Dams","APHIS",NA,NA,NA,NA,NA,NA,NA,2021-10-11 11:00:00,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Neil","{c3b72d4a-ff03-463f-b9db-b5fefc08a218}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"2","Agony Acres",2021,"Vegetation Issue",226,"Low Stem Vigor/Height",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","Yes","No","Yes","Yes","Yes",NA,6251.73168945312,435.090991461757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{2a9ab675-71eb-4107-98f9-47fb7814e315}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"3","Agony Acres",2021,"Weed Occurrence",227,NA,NA,NA,"High","Tree Of Heaven","6-25%","Chinese Privet","1-5%","English Ivy","<1%","Blackberry","1-5%",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,54203.6270751953,1554.77910734438,1,2021-10-18 10:45:00,"NNIS","Ripple",NA,"Cut Stump","Glyphosate","Backpack Spray","Triclopyr","Cide Kick",NA,2021-10-20 10:00:00,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{26378f0b-d162-4e13-ac38-028a1bcb7a42}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"4","Agony Acres",2021,"Weed Occurrence",224,NA,NA,NA,"Medium","Japanese Honeysuckle","1-5%","English Ivy","<1%","Tree Of Heaven","<1%",NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,83067.3090820312,1322.62853498013,1,2021-10-18 12:00:00,"NNIS","Ripple",NA,"Cut Stump","Glyphosate","Backpack Spray","Triclopyr","Cide Kick",NA,2021-10-20 11:30:00,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{72f2a24c-95de-4e95-837a-721a6bee5498}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"5","Agony Acres",2021,"Weed Occurrence",230,NA,NA,NA,"Medium","Multiflora Rose","1-5%","Chinese Privet","<1%","Blackberry","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,55864.4311523438,999.633616765194,1,2021-11-22 00:00:00,"Cut Stump","In House",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2021-11-22 13:00:00,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{a95ea006-f88c-4dc2-aa01-2baa72bb85ee}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"6","Agony Acres",2021,"Weed Occurrence",232,NA,NA,NA,"High","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,19203.8179931641,719.310059839603,1,2021-11-22 11:00:00,"Cut  Stump","In House",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2021-11-22 10:00:00,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{ab782124-5b23-48b8-9361-5a75c5a3d253}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"7","Agony Acres",2021,"Weed Occurrence",231,NA,NA,NA,"Medium","Multiflora Rose","1-5%","Chinese Privet","1-5%","Blackberry","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,65009.2384033203,1161.59587336609,1,2021-11-22 13:30:00,"Cut Stump","In House",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2021-11-22 13:15:00,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{c392fa17-766f-4c9d-85ad-d5f8d8a17a6e}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"8","Agony Acres",2021,"Weed Occurrence",223,NA,NA,NA,"Medium","English Ivy","1-5%","Princess Tree","<1%","Tree Of Heaven","<1%","Trifoliate Orange","<1%","Japanese Honeysuckle","1-5%",NA,NA,"No","No","Yes","Yes","Yes",NA,48411.7315673828,982.222318964615,1,2021-10-18 10:00:00,"NNIS","Ripple",NA,"Cut Stump","Glyphosate","Backpack Spray","Triclopyr","Side Kick",NA,2021-10-20 10:30:00,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{d783ce83-a532-4e91-8315-acc83aa8456e}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"9","Agony Acres",2021,"Weed Occurrence",225,NA,NA,NA,"High","Japanese Honeysuckle","26-50%","Multiflora Rose","1-5%","Chinese Privet","1-5%","Blackberry","1-5%","Johnson Grass","1-5%",NA,NA,"Yes","No","Yes","Yes","Yes",NA,99044.8349609375,1763.32058904134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{252f0b7f-d026-4a60-be73-46c9adc0091d}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"10","Agony Acres",2021,"Weed Occurrence",228,NA,NA,NA,"Medium","Japanese Honeysuckle","6-25%","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,69592.9920654297,1273.71835143775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{7e2e4642-8c42-4e22-a89a-9ffcbb36f89c}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
