"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Alexander Farm",2023,"Beaver Dam",1193,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{4cf152d3-62fc-4964-99e0-5fa5990c72f5}",4612368-02-08 19:00:00,"ddixon0",4662047-07-07 20:00:00,"ddixon0"
"2","Alexander Farm",2023,"Beaver Dam",1194,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{1304f885-04ef-4cc1-b274-aaa235b93203}",4612368-03-02 19:00:00,"ddixon0",4662048-08-26 20:00:00,"ddixon0"
"3","Alexander Farm",2023,"Beaver Dam",1195,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{23969d51-3097-4e9e-b12c-8c66757fcd64}",4612368-03-22 20:00:00,"ddixon0",4662048-08-10 20:00:00,"ddixon0"
"4","Alexander Farm",2023,"Beaver Dam",1196,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{718ef78d-5a52-4a20-ba63-66f8152e709e}",4612368-04-05 20:00:00,"ddixon0",4662048-07-25 20:00:00,"ddixon0"
"5","Alexander Farm",2023,"Beaver Dam",1200,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{8948b471-28ab-48c3-a1b9-60a9acdc796a}",4612368-05-05 20:00:00,"ddixon0",4662048-07-06 20:00:00,"ddixon0"
"6","Alexander Farm",2023,"Beaver Dam",1202,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{2c3927bd-3cfe-42d9-b8ad-01ccf92c15d5}",4612368-05-31 20:00:00,"ddixon0",4662048-06-20 20:00:00,"ddixon0"
"7","Alexander Farm",2023,"Beaver Dam",1203,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{627f6a8a-5f99-46f7-be44-a5dfbbbb915d}",4612368-06-16 20:00:00,"ddixon0",4662048-06-02 20:00:00,"ddixon0"
"8","Alexander Farm",2023,"Beaver Dam",1204,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{23c3f089-1247-4fa4-b29d-775f3415bc85}",4612368-07-05 20:00:00,"ddixon0",4662048-05-16 20:00:00,"ddixon0"
"9","Alexander Farm",2023,"Beaver Dam",1205,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{109b2f6d-9e46-4fa7-a4e5-eb571797433b}",4612368-07-26 20:00:00,"ddixon0",4639766-08-30 20:00:00,"lcostes"
"10","Alexander Farm",2023,"Beaver Dam",1206,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{3afd3957-fc94-4ecd-ac19-25c6c13298c0}",4612368-08-29 20:00:00,"ddixon0",4639766-09-04 20:00:00,"lcostes"
