"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Banner Farm",2023,"5",982,"Other","Large culvert just inside CE behind trailer",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,5,2023-03-09 00:00:00,"Mountain Bean Farms removed the culvert",NA,1,NA,NA,NA,NA,NA,NA,2023-03-09 00:00:00,NA,2023-03-17 15:21:02,"jlovenshimer",2023-03-17 15:21:02,"jlovenshimer","Point",NA,NA,"Joe","{8c493d63-e69f-434e-885d-d0951a838dfa}",2023-02-14 10:42:28,"jlovenshimer",2023-03-17 15:20:26,"jlovenshimer"
"2","Banner Farm",2023,"Beaver Dam",1384,NA,"Small dam above log structure",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{fde1f853-79ef-4137-bd8f-e97664840b4a}",4626319-01-21 19:00:00,"wlasheville2",4626319-01-21 19:00:00,"wlasheville2"
"3","Banner Farm",2023,"Beaver Dam",1556,NA,"Small beaver dam at head of riffle",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{a036fd7b-efcd-4658-9714-214bb137ec7a}",4638623-11-14 19:00:00,"wlasheville2",4638624-02-11 19:00:00,"wlasheville2"
"4","Banner Farm",2023,"Beaver Dam",1771,NA,"About 2 foot tall",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{d3e7384a-21f7-4312-ae1b-9bbd90c4f65e}",4653530-04-27 20:00:00,"wlasheville2",4653530-04-27 20:00:00,"wlasheville2"
"5","Banner Farm",2023,"CE Encroachment",1345,"Mowing","potential mowing encroachment. Not 100% sure but it looks like part of the CE is being mowed as part of adjacent lawn. Recommended fix is to install additional sign post.",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-10-17 00:00:00,"Placed t-post along boundary and a CE boundary sign on tree along boundary. Will return and place that sign onto the post. Also spoke to the landscaping crew about the importance of not mowing into the CE. They were very receptive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-17 11:00:40,"jlovenshimer",2023-10-17 11:10:39,"jlovenshimer","Poly",NA,NA,"Joe","{d48795ae-3c1d-4981-a30c-2a007c2eb308}",2023-10-10 14:39:39,"jlovenshimer",2023-10-17 11:09:52,"jlovenshimer"
"6","Banner Farm",2023,"CE Encroachment",1111,"Mowing","Mowing higher ground within the easement; posts are intact and obvious ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{01447b6a-81f1-4b1e-96ef-f57eb5c09a76}",4608604-06-02 20:00:00,"wlasheville2",4619932-02-08 19:00:00,"wlasheville2"
"7","Banner Farm",2023,"Channel Stability/Erosion",959,"Erosion_Scour","Bank erosion on outside bend. Right bank. Repaired on 2/8/2023 but continue to monitor.","Stream Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-02-08 00:00:00,"Julie and Joe repaired by matting with coir and planting about 25 live stakes. We thought this was the best we could do without disturbing the large trees behind the erosion.",NA,1,NA,NA,NA,NA,NA,NA,2023-02-14 00:00:00,NA,2023-02-14 11:11:41,"jlovenshimer",2023-02-14 11:11:41,"jlovenshimer","Line",NA,NA,"Joe","{200a9a6d-63a5-4a64-b655-02b297d88915}",2023-02-14 11:08:56,"jlovenshimer",2023-02-14 11:12:05,"jlovenshimer"
"8","Banner Farm",2023,"Channel Stability/Erosion",958,"Erosion_Scour","moderate to severe bank erosion on left bank below structure","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,2,2023-02-08 00:00:00,"Julie and Joe installed a double geolift (AKA 1 Taco Billy taco) to repair bank. Planted ~35 live stakes on the repair and right bank",NA,1,NA,NA,NA,NA,NA,NA,2023-02-14 00:00:00,NA,2023-02-14 11:06:42,"jlovenshimer",2023-02-14 11:06:42,"jlovenshimer","Line",NA,NA,"Joe","{e167a06c-fe28-49ca-a239-8836c97746e0}",2023-02-14 11:04:05,"jlovenshimer",2023-04-27 10:54:23,"wlasheville2"
"9","Banner Farm",2023,"Channel Stability/Erosion",1052,"Erosion_Scour","Left bank scour just downstream of log structure","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Joe","{1f80cfaa-4b2c-4b21-87f3-afd4de4f2fe8}",4608548-09-10 20:00:00,"wlasheville2",4608548-09-10 20:00:00,"wlasheville2"
"10","Banner Farm",2023,"Channel Stability/Erosion",1053,"Erosion_Scour","Bed scour within XS4 riffle, downstream log structure still holding grade","Stream Bed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Joe","{a7ff6d34-3a0f-440a-b1e0-e26b32c8d51b}",4608606-11-04 19:00:00,"wlasheville2",4608606-11-04 19:00:00,"wlasheville2"
