"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Bethel Branch",2023,"5",1241,NA,"Tree down over stream. Might be okay, keep an eye on it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{7edbf68b-cb70-4bc8-8f08-595d1973dab5}",4614962-11-15 19:00:00,"cneaves1",4657783-05-01 20:00:00,"athompson07"
"2","Bethel Branch",2023,"5",1242,"Damaged Fence","2 trees down on fence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{fdc0defe-3576-449a-bce9-4cab5b10c61e}",4614963-07-10 20:00:00,"cneaves1",4614963-07-10 20:00:00,"cneaves1"
"3","Bethel Branch",2023,"5",1462,"Damaged Fence","Tree on fence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{fb168e60-1fbe-407d-b0e3-b3cd645a1293}",4629839-12-29 19:00:00,"alemon1",4639789-06-15 20:00:00,"lcostes"
"4","Bethel Branch",2023,"5",1807,NA,"cut out log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{3937a87c-72af-4603-acfb-5509181cecc8}",4657768-08-14 20:00:00,"athompson07",4657783-04-12 20:00:00,"athompson07"
"5","Bethel Branch",2023,"Beaver Dam",1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{9e415603-316f-4210-a6cf-fb6f01a5c2d8}",4657765-02-05 19:00:00,"athompson07",4657783-03-08 19:00:00,"athompson07"
"6","Bethel Branch",2023,"Beaver Dam",1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{a50ce7cb-fe28-4730-bbac-c182d3e736be}",4657765-11-27 19:00:00,"athompson07",4657783-02-21 19:00:00,"athompson07"
"7","Bethel Branch",2023,"Channel Stability/Erosion",745,"Erosion_Scour","Outside bends scour behind brush toe","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2022-09-27 00:00:00,"Sill fixes - rocks and plugs","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line",NA,NA,"Andrea","{15c50683-e666-4d51-9dd9-b39e66d2b8fa}",2023-01-05 17:32:21,"lcostes",2023-11-20 09:37:23,"athompson07"
"8","Bethel Branch",2023,"Failed Structure",1012,"Erosion/Scoured","Sill needs plugs both sides","Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{81ebc93a-97f5-436e-946b-12ce13963304}",4595355-11-28 19:00:00,"hpeterman",4595355-11-28 19:00:00,"hpeterman"
"9","Bethel Branch",2023,"Misc",1239,NA,"4 trees down over stream, one is very low and doesn’t leave much room for large flows to get under it","In-Stream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{79c362c9-9c74-4b50-94b8-f9ff690285f6}",4614930-01-02 19:00:00,"cneaves1",4614930-01-02 19:00:00,"cneaves1"
"10","Bethel Branch",2023,"Misc",1243,NA,"Tree down in channel. Keep an eye on it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{35ff833f-f730-473c-8cc8-2a0ed895d461}",4614967-03-10 20:00:00,"cneaves1",4614967-03-10 20:00:00,"cneaves1"
"11","Bethel Branch",2023,"Needs Livestakes",1183,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{e3098aef-9736-4a97-aa8b-57ede6f2b310}",4657761-12-06 19:00:00,"athompson07",4657761-12-06 19:00:00,"athompson07"
