"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Big Harris Creek",2022,"In-Stream Vegetation",871,NA,"In stream murdannia. Mild; not clogging channel ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","1-5%",NA,"Sam","{bab857da-1f0f-4b2e-8d2b-a1f58fa8fb1e}",4582373-04-08 20:00:00,"lcostes",4639775-03-31 20:00:00,"lcostes"
"2","Big Harris Creek",2022,"Misc",880,NA,"Old bathtub. Gate located nearby ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{705b4ff5-105b-484c-8d0d-81d48dcabdd8}",4582373-03-18 20:00:00,"lcostes",4639767-07-20 20:00:00,"lcostes"
"3","Big Harris Creek",2022,"Weed Occurrence",807,NA,NA,NA,"Low","Blackberry","76-100%","Kudzu","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,1,2022-10-06 14:53:07,"Kudzu treatments","In house",NA,"Hack and Squirt","Triclopyr",NA,NA,NA,NA,2022-10-06 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Sam","{356d8938-cb0f-4b83-87ea-62189a7dbc72}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:41:15,"lcostes"
"4","Big Harris Creek",2022,"Weed Occurrence",758,NA,"Climbing trees ",NA,"Medium","Japanese Honeysuckle","6-25%","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2022-10-06 14:53:16,"Kudzu treatment","In house",NA,"Hack and Squirt","Triclopyr",NA,NA,NA,NA,2022-10-06 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Sam","{6a89ac23-813c-488d-bf09-9381f9ab8875}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:41:18,"lcostes"
"5","Big Harris Creek",2022,"Weed Occurrence",753,NA,NA,NA,"Medium","Chinaberry","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{28553b2a-3547-4cde-9c92-54d6381dbb16}",4582373-04-23 20:00:00,"lcostes",4639778-10-19 20:00:00,"lcostes"
"6","Big Harris Creek",2022,"Weed Occurrence",754,NA,NA,NA,"Low","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{86979f65-03ac-4576-97c7-407a4fbce3d0}",4582373-04-23 20:00:00,"lcostes",4639778-10-22 20:00:00,"lcostes"
"7","Big Harris Creek",2022,"Weed Occurrence",755,NA,NA,NA,"Medium","Chinese Privet","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{9f358bfb-6ef7-472c-8f5e-f5540f9f5591}",4582373-04-23 20:00:00,"lcostes",4639778-10-22 20:00:00,"lcostes"
"8","Big Harris Creek",2022,"Weed Occurrence",756,NA,NA,NA,"Low","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{e3295e01-b72f-48a1-b923-5a01498f7394}",4582373-04-23 20:00:00,"lcostes",4639778-10-23 20:00:00,"lcostes"
"9","Big Harris Creek",2022,"Weed Occurrence",757,NA,NA,NA,"Low","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{c7750451-5d3b-4f6f-9454-3627701a3600}",4582373-04-23 20:00:00,"lcostes",4639778-10-17 20:00:00,"lcostes"
"10","Big Harris Creek",2022,"Weed Occurrence",759,NA,NA,NA,"Low","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{dcee8711-a963-49a5-9c15-3e414d5c155a}",4582373-04-23 20:00:00,"lcostes",4639778-10-14 20:00:00,"lcostes"
