"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Bridgefork Dairy",2023,"Channel Stability/Erosion",1214,"Slumping_Settling","Brush toe slump in a couple areas. Fill with dirt","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{285c9eb3-0756-444a-a065-cfe0a39e35c1}",4662739-02-04 19:00:00,"eisrael1",4662739-02-04 19:00:00,"eisrael1"
"2","Bridgefork Dairy",2023,"Channel Stability/Erosion",1215,"Erosion_Scour","Rilling. Need to smooth and stabilize.","Floodplain","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{263109cf-e937-4672-a090-43c2eeb1dbe8}",4662766-12-20 19:00:00,"eisrael1",4662766-12-20 19:00:00,"eisrael1"
"3","Bridgefork Dairy",2023,"Misc",1385,NA,"Rock harvest area","Floodplain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{46d60f08-6624-49a4-943f-c8e286edb7d6}",4626575-01-17 19:00:00,"eisrael1",4626575-01-17 19:00:00,"eisrael1"
"4","Bridgefork Dairy",2023,"Misc",1386,NA,"Debris in CE","Upland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{5d4c35bf-fb0e-42b7-8389-777d303716f4}",4626583-01-09 19:00:00,"eisrael1",4626583-01-09 19:00:00,"eisrael1"
"5","Bridgefork Dairy",2023,"Misc",1525,NA,"Gully forming","Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{548b135c-3276-4af5-9b51-01ee76746075}",4630344-07-21 20:00:00,"eisrael1",4630344-07-21 20:00:00,"eisrael1"
"6","Bridgefork Dairy",2023,"Misc",1526,NA,"Hemp/pea tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{6b31b891-501c-4af8-a2a3-81609aae1e54}",4632907-07-01 20:00:00,"eisrael1",4632907-07-01 20:00:00,"eisrael1"
"7","Bridgefork Dairy",2023,"Misc",1733,NA,"Hunting stand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{3b59c8a2-d7eb-4522-8cbf-6663c82466b6}",4651369-09-20 20:00:00,"eisrael1",4651369-10-12 20:00:00,"eisrael1"
"8","Bridgefork Dairy",2023,"Misc",1777,NA,"Hunting stand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{47ae7774-4c99-40db-830f-e110826adad6}",4653527-08-20 20:00:00,"eisrael1",4653527-08-20 20:00:00,"eisrael1"
"9","Bridgefork Dairy",2023,"Misc",1858,NA,"Hunting stand","Upland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{2b5f2989-ccc3-4a47-92c2-c13f3e9b5ef5}",4662763-07-29 20:00:00,"eisrael1",4662763-07-29 20:00:00,"eisrael1"
"10","Bridgefork Dairy",2023,"Misc",1859,NA,"Hunting stand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{78e6e2fb-01c0-44be-b26b-cd72917f438d}",4662764-02-18 19:00:00,"eisrael1",4662764-02-18 19:00:00,"eisrael1"
"11","Bridgefork Dairy",2023,"Weed Occurrence",1195,NA,"Ground cover HS",NA,"Low","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{f6ff1277-b1ab-419d-a0e7-74147c0469a3}",4626570-01-17 19:00:00,"eisrael1",4626570-01-17 19:00:00,"eisrael1"
"12","Bridgefork Dairy",2023,"Weed Occurrence",1387,NA,NA,NA,"High","Kudzu","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{d014879f-1f52-423f-a77e-15c61e4b0aa6}",4626584-03-31 20:00:00,"eisrael1",4626584-03-31 20:00:00,"eisrael1"
"13","Bridgefork Dairy",2023,"Weed Occurrence",1734,NA,NA,NA,"Low","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{8c3e8878-daeb-4d9e-8819-2ec3d977d1a2}",4651371-01-27 19:00:00,"eisrael1",4651371-01-27 19:00:00,"eisrael1"
"14","Bridgefork Dairy",2023,"Weed Occurrence",1735,NA,"Princess trees outside CE","Off-site Source","Low","Princess Tree","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{f799cbe3-9623-4097-81c4-79a67e2d24ec}",4651371-12-19 19:00:00,"eisrael1",4654941-05-29 20:00:00,"lcostes"
"15","Bridgefork Dairy",2023,"Weed Occurrence",1857,NA,NA,NA,"Medium","Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{46c4bb88-1d3f-465c-a75c-5c0a3884cef8}",4662748-05-31 20:00:00,"eisrael1",4662748-05-31 20:00:00,"eisrael1"
