"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Buckwater",2023,"5",1804,"Damaged Fence","Tree on fence, minor damage",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{6420b758-931a-48c1-b4d0-e9513802dd46}",4657762-10-02 20:00:00,"hpeterman",4657762-10-02 20:00:00,"hpeterman"
"2","Buckwater",2023,"Beaver Dam",1666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{f49462e0-7829-451e-96fc-5061dbead975}",4648564-02-09 19:00:00,"ncurtis1",4648564-02-09 19:00:00,"ncurtis1"
"3","Buckwater",2023,"CE Encroachment",1301,NA,"Powerline easement cutting encroachment ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{7fce643b-7ea8-4faa-a6e3-3c3e6e5fbea9}",4639771-08-21 20:00:00,"ncurtis1",4639771-08-21 20:00:00,"ncurtis1"
"4","Buckwater",2023,"Channel Stability/Erosion",1009,NA,"three pipping log sills. probably not keyed in properly. massive hole on last log sill",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{9c17103e-da1a-4854-9ab5-1b817178bc2b}",4600732-04-27 20:00:00,"clanza",4600732-04-27 20:00:00,"clanza"
"5","Buckwater",2023,"Channel Stability/Erosion",1010,NA,"DS rock sill pipping. riffle incised and material washed away. US log sill is pipping. log is rotten, nonfunctioning filter fabric. water stops a foot above the sill",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{d4fb19d9-59cd-41a2-88f9-faffa6a03a1a}",4600736-10-19 20:00:00,"clanza",4600736-10-19 20:00:00,"clanza"
"6","Buckwater",2023,"Channel Stability/Erosion",1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{9c5f72a1-50a7-4b26-b325-5308f9077dfa}",4600743-04-07 20:00:00,"clanza",4600743-04-07 20:00:00,"clanza"
"7","Buckwater",2023,"Channel Stability/Erosion",1013,"Erosion_Scour","left bank scour. riffle incision ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{c38a2f2c-cb44-49fd-b94e-c03c6d3e1772}",4600755-06-26 20:00:00,"clanza",4600755-06-26 20:00:00,"clanza"
"8","Buckwater",2023,"Channel Stability/Erosion",1014,NA,"right bank scour. has been live staked. incision.  needs to be watched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{e5e1d643-c9c7-4789-9071-663672a10180}",4600755-09-09 20:00:00,"clanza",4600755-09-09 20:00:00,"clanza"
"9","Buckwater",2023,"Channel Stability/Erosion",1015,NA,"incision. not enough riffle material ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{181ed98d-61be-49f1-bc48-c429587b348c}",4600756-02-08 19:00:00,"clanza",4600756-02-08 19:00:00,"clanza"
"10","Buckwater",2023,"Channel Stability/Erosion",1016,NA,"riffle material not present. functioning like poll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{45e57af2-1cd9-44f9-8552-2fb3979aff73}",4600758-06-10 20:00:00,"clanza",4600758-06-10 20:00:00,"clanza"
"11","Buckwater",2023,"Channel Stability/Erosion",1017,NA,"rock sills holding grade but pipping under. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{aba86877-a831-47b0-9c25-0d7a8e6f855d}",4600765-05-17 20:00:00,"clanza",4600765-05-17 20:00:00,"clanza"
