"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Bug Headwaters",2023,"5",1138,"Other","Possible calf entry point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{5df9bde3-d1fe-4f9a-8697-781d0411c2aa}",4604785-02-09 19:00:00,"lcostes",4650218-09-02 20:00:00,"eisrael1"
"2","Bug Headwaters",2023,"Failed Structure",1355,"Piping","piping log sill","Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{f9bbbf5a-cbc5-407e-ab3a-7308a8de2a7b}",4623219-08-07 20:00:00,"clanza",4647109-05-29 20:00:00,"lcostes"
"3","Bug Headwaters",2023,"Failed Structure",1367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{f2163f8c-39df-4638-9577-c41a693344c4}",4623474-01-12 19:00:00,"skirk1",4647109-05-31 20:00:00,"lcostes"
"4","Bug Headwaters",2023,"Failed Structure",1369,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{9342a79a-8867-4857-a77f-62335eebb426}",4623491-10-10 20:00:00,"skirk1",4647109-06-01 20:00:00,"lcostes"
"5","Bug Headwaters",2023,"Failed Structure",1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{aaf13155-d1f2-47d9-8bf3-db276f65db61}",4623496-06-04 20:00:00,"skirk1",4647109-06-01 20:00:00,"lcostes"
"6","Bug Headwaters",2023,"Failed Structure",1503,"Failed/Not Functional","Log not keyed into bank far enough ",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{e808b7d8-48c2-40f2-a603-40d2dd36f3b8}",4635308-08-19 20:00:00,"eisrael1",4647109-06-12 20:00:00,"lcostes"
"7","Bug Headwaters",2023,"Misc",1497,NA,"Snake shelters outside CE. Handle with gloves.","Floodplain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{ea30436b-f817-4deb-9e59-69f4c8fbe0e1}",4628663-06-25 20:00:00,"eisrael1",4647109-06-04 20:00:00,"lcostes"
"8","Bug Headwaters",2023,"Soil Sample",1498,NA,"BED01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{323425a2-2bd2-41e6-bc2b-c242edda2907}",4628679-04-20 20:00:00,"eisrael1",4647109-06-05 20:00:00,"lcostes"
"9","Bug Headwaters",2023,"Soil Sample",1499,NA,"BED02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{27e78a96-a85b-4c04-be77-aa8135065a52}",4628680-03-01 19:00:00,"eisrael1",4647109-06-06 20:00:00,"lcostes"
"10","Bug Headwaters",2023,"Soil Sample",1500,NA,"BED03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{1be9a5c1-ef55-486f-99b7-fddb273bdc99}",4628681-03-26 20:00:00,"eisrael1",4647109-06-07 20:00:00,"lcostes"
"11","Bug Headwaters",2023,"Soil Sample",1501,NA,"BED04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{3d185e3e-5e5e-4ecb-a30c-4662b3067c72}",4628682-02-28 19:00:00,"eisrael1",4647109-06-09 20:00:00,"lcostes"
"12","Bug Headwaters",2023,"Weed Occurrence",169,NA,NA,NA,"Low","Princess Tree","1-5%","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{4b06b1e5-9e51-4d9e-834d-3470251295e5}",4582373-03-18 20:00:00,"lcostes",4647109-05-21 20:00:00,"lcostes"
"13","Bug Headwaters",2023,"Weed Occurrence",1094,NA,"starting to emerge in the stream ",NA,NA,"Cattail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{83e0e140-b6eb-4b53-8043-d60f67d4c47a}",4601696-07-20 20:00:00,"lcostes",4647109-05-24 20:00:00,"lcostes"
"14","Bug Headwaters",2023,"Weed Occurrence",1353,NA,"kudzu","On-site Source","Medium","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{91a12fbe-12c5-47c7-a3b5-983bd61f21c2}",4623211-11-14 19:00:00,"clanza",4647109-05-27 20:00:00,"lcostes"
"15","Bug Headwaters",2023,"Weed Occurrence",1354,NA,"kudzu","On-site Source","Medium","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{f92f3e68-1c8d-42ef-997f-3915febb087e}",4623212-09-10 20:00:00,"clanza",4647109-05-28 20:00:00,"lcostes"
"16","Bug Headwaters",2023,"Weed Occurrence",1502,NA,NA,NA,"High","Kudzu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{1dfb11db-3209-413e-bcd0-d40f2b37381f}",4635295-01-29 19:00:00,"eisrael1",4647109-06-11 20:00:00,"lcostes"
"17","Bug Headwaters",2022,"Failed Structure",793,NA,"Piping",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,2,2023-01-12 12:50:00,"Replaced fabric on log sill and added juncus to each end",NA,NA,"Hand",NA,NA,NA,NA,NA,NA,NA,2023-01-12 12:51:55,"eisrael1",2023-01-12 12:51:55,"eisrael1","Point",NA,NA,"Emily","{f820111d-9fc0-444d-8e38-a069643fbde8}",2023-01-05 17:32:00,"lcostes",2023-10-06 10:25:23,"lcostes"
"18","Bug Headwaters",2022,"Failed Structure",795,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{f18a9c9f-625c-4245-811e-2e4b2871d15d}",4582373-03-18 20:00:00,"lcostes",4647109-05-23 20:00:00,"lcostes"
"19","Bug Headwaters",2022,"Misc",582,NA,"Needs live stakes along streambanks","Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{76aeafa9-f237-445b-875a-2a79cf4c74c7}",4582373-04-23 20:00:00,"lcostes",4647109-04-07 20:00:00,"lcostes"
"20","Bug Headwaters",2022,"Vegetation Issue",580,"Low Stem Density","Needs live stakes and bare roots (replanting)",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{c761f059-a2db-4683-9697-d7e47faf6025}",4582373-04-23 20:00:00,"lcostes",4647109-04-03 20:00:00,"lcostes"
"21","Bug Headwaters",2022,"Vegetation Issue",581,"Low Stem Density","Needs live stakes and bare roots (replanting)",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{769af1a1-bf55-4abf-aab5-d8065f774f5f}",4582373-04-23 20:00:00,"lcostes",4647109-04-06 20:00:00,"lcostes"
"22","Bug Headwaters",2022,"Vegetation Issue",621,NA,"Cover crop veg plots",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{3eada408-37e4-4edd-9212-4144d8308907}",4582373-04-23 20:00:00,"lcostes",4647109-04-09 20:00:00,"lcostes"
"23","Bug Headwaters",2022,"Vegetation Issue",622,NA,"Cover crop veg plots",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{87fcbd3c-306b-48ac-9fc5-8faf88ed7aeb}",4582373-04-23 20:00:00,"lcostes",4647109-04-10 20:00:00,"lcostes"
"24","Bug Headwaters",2022,"Vegetation Issue",623,NA,"Cover crop veg plots",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{ffe19023-9671-4c0a-986a-ef23659a10d8}",4582373-04-23 20:00:00,"lcostes",4647109-04-11 20:00:00,"lcostes"
"25","Bug Headwaters",2022,"Vegetation Issue",624,NA,"Cover crop veg plots",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{80395287-4615-47d5-a6d7-cba1558aef84}",4582373-04-23 20:00:00,"lcostes",4647109-04-14 20:00:00,"lcostes"
"26","Bug Headwaters",2021,"Vegetation Issue",448,"Bare Areas",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{5575749e-aa8c-4223-ba68-af9c00b9ab52}",4582373-04-23 20:00:00,"lcostes",4647109-03-26 20:00:00,"lcostes"
"27","Bug Headwaters",2021,"Vegetation Issue",449,"Bare Areas",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{be7c5215-2a60-4409-9cdb-49dde490305c}",4582373-04-23 20:00:00,"lcostes",4647109-03-28 20:00:00,"lcostes"
