"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Burnetts Chapel I and II",2023,"5",1549,NA,"Figure out what is going on with the fence ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{058aa1a1-7695-4d3b-9008-36d183786d04}",4636702-01-22 19:00:00,"skirk1",4639790-03-13 19:00:00,"lcostes"
"2","Burnetts Chapel I and II",2023,"Boundary Issue",1064,"Mowing",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{0b46bb52-e27c-440f-a121-91cb87c00dd7}",4615178-04-06 20:00:00,"skirk1",4639775-08-12 20:00:00,"lcostes"
"3","Burnetts Chapel I and II",2023,"Boundary Issue",1065,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{22ea9f07-71ad-4d1e-ae19-60b4ae380439}",4615178-09-08 20:00:00,"skirk1",4639775-08-13 20:00:00,"lcostes"
"4","Burnetts Chapel I and II",2023,"Boundary Issue",1066,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{4c4386df-9c9a-401e-86b8-fe63e7c28f07}",4615180-03-14 20:00:00,"skirk1",4639775-08-14 20:00:00,"lcostes"
"5","Burnetts Chapel I and II",2023,"Boundary Issue",1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{5c75428f-3c80-46a7-8fe2-455beb14c391}",4615181-03-20 20:00:00,"skirk1",4639775-08-15 20:00:00,"lcostes"
"6","Burnetts Chapel I and II",2023,"Boundary Issue",1068,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{3dd4d60a-286d-49a8-b143-d304053c043b}",4615183-09-30 20:00:00,"skirk1",4639775-08-17 20:00:00,"lcostes"
"7","Burnetts Chapel I and II",2023,"Boundary Issue",1069,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{ca3532ba-a444-443f-b9fe-4b9477f789e1}",4615185-08-15 20:00:00,"skirk1",4639775-08-18 20:00:00,"lcostes"
"8","Burnetts Chapel I and II",2023,"Boundary Issue",1070,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{a7387272-e929-4d56-a43e-b5c772178c52}",4615188-01-11 19:00:00,"skirk1",4639775-08-19 20:00:00,"lcostes"
"9","Burnetts Chapel I and II",2023,"Boundary Issue",1071,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{6b595db3-20d4-4e81-ac4c-15d256336597}",4615188-05-04 20:00:00,"skirk1",4639775-08-20 20:00:00,"lcostes"
"10","Burnetts Chapel I and II",2023,"Boundary Issue",1072,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{b628bc54-dbf0-437f-8531-c2ad018f66f4}",4615188-10-07 20:00:00,"skirk1",4639775-08-22 20:00:00,"lcostes"
