"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Burnetts Chapel",2022,"CE Encroachment",922,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,22.8673095703125,68.0144057556902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{bbd12f81-37c9-47b9-97be-4c7f986d7d06}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"2","Burnetts Chapel",2022,"Weed Occurrence",751,NA,NA,NA,"Medium","Tree Of Heaven","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,1,2022-09-08 00:00:00,"cut stump and hack and squirt","Wildlands",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Sam","{91a282c8-18a9-491d-a477-ecdb83dd2280}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"3","Burnetts Chapel",2021,"Weed Occurrence",52,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,29324.7609863281,1322.62308183456,0,2021-04-12 14:40:37,"Johnson Grass ring sprays","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{1af205f9-455b-428b-9676-b1faa989e35d}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"4","Burnetts Chapel",2021,"Weed Occurrence",56,NA,NA,NA,"High","Johnson Grass","1-5%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,22066.0811767578,1043.34328335913,0,2021-04-12 14:40:24,"Johnson Grass ring spray","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{1f2ee378-a97f-4246-ac63-858288f7871b}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"5","Burnetts Chapel",2021,"Weed Occurrence",51,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,16501.1062011719,982.038582210562,0,2021-04-12 14:40:11,"Johnson Grass ring spray","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{21c927d9-679a-4312-8b69-6765d13e2875}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"6","Burnetts Chapel",2021,"Weed Occurrence",50,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,765.3818359375,111.092597419431,0,2021-04-12 14:39:48,"Johnson Grass ring spray","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{404080cc-baa9-4ad4-8767-b30db4dada20}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"7","Burnetts Chapel",2021,"Weed Occurrence",47,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,29716.2764892578,773.355246807761,0,2021-04-12 14:39:10,"Johnson Grass ring spray","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{7526e27d-64bd-469d-828e-983d604b7714}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"8","Burnetts Chapel",2021,"Weed Occurrence",54,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,54679.0463867188,1390.09841764102,0,2021-04-12 14:42:35,"Johnson Grass ring spray","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{764d51c3-e98c-4b88-bbbf-bb6dc430ff70}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"9","Burnetts Chapel",2021,"Weed Occurrence",54,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,54679.0463867188,1390.09841764102,1,2022-09-08 00:00:00,"cut stump (Callery Pear)","Wildlands",NA,NA,NA,NA,NA,NA,NA,2022-09-08 19:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{764d51c3-e98c-4b88-bbbf-bb6dc430ff70}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"10","Burnetts Chapel",2021,"Weed Occurrence",49,NA,NA,NA,"High","Johnson Grass","6-25%","Callery Pear","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,29736.1397705078,1339.62718176489,0,2021-04-12 14:40:56,"Johnson Grass ring spray","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-04-12 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{7b20972f-e06c-4450-bf45-bee47c4d557a}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
