"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Candy Creek",2023,"5",1612,"Missing Monument","Monuments not Stamped across site",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{46f41c70-70f8-4a41-a1a5-1c4c8782c854}",4641949-09-26 20:00:00,"aradecki1",4641949-09-26 20:00:00,"aradecki1"
"2","Candy Creek",2023,"5",1613,"Damaged/Missing Sign","Add Sign",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{a764e2f2-a02d-4c0b-8f35-15d6c644c569}",4641949-11-16 19:00:00,"aradecki1",4645459-05-15 20:00:00,"aradecki1"
"3","Candy Creek",2023,"5",1614,"Damaged/Missing Sign","Add Sign",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{52c720fa-0379-4044-a411-24cc98f483c3}",4641950-02-24 19:00:00,"aradecki1",4645460-01-06 19:00:00,"aradecki1"
"4","Candy Creek",2023,"5",1615,"Damaged/Missing Sign","Damaged horse tape need to be replaced",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{d1d754be-9642-47e6-bace-0ed0eea6b4cb}",4641950-11-25 19:00:00,"aradecki1",4645458-10-29 20:00:00,"aradecki1"
"5","Candy Creek",2023,"5",1616,"Damaged Fence","Tree on fence",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{bd8cc7f0-fab9-4c51-acaa-4324ae02d2fa}",4641951-02-04 19:00:00,"aradecki1",4641951-02-04 19:00:00,"aradecki1"
"6","Candy Creek",2023,"5",1618,"Other","Permanent Deer Stand ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{26cff3d6-107c-4e23-920d-49079f3108fc}",4641954-03-10 19:00:00,"aradecki1",4641954-03-10 19:00:00,"aradecki1"
"7","Candy Creek",2023,"5",1619,"Other","Permanent Deer Stand 2",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{45a1267b-ed75-4ea7-84e5-b427bb449b82}",4641954-04-11 20:00:00,"aradecki1",4641954-04-11 20:00:00,"aradecki1"
"8","Candy Creek",2023,"5",1664,"Damaged Fence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{0de3cc02-3516-4a96-978b-54441bb33765}",4648306-03-30 20:00:00,"aradecki1",4651119-06-04 20:00:00,"aradecki1"
"9","Candy Creek",2023,"5",1665,NA,"fence post to remove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{b5488cbc-77fa-4ace-bbc8-61870f61d1f3}",4648317-10-30 20:00:00,"jturner2",4648317-10-30 20:00:00,"jturner2"
"10","Candy Creek",2023,"5",1692,"Missing Monument","Monument not located",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{178e98a9-6ef4-414b-831a-0c21c9951696}",4651119-01-22 19:00:00,"aradecki1",4651119-01-22 19:00:00,"aradecki1"
