"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Carpenter Bottom",2023,"CE Encroachment",1076,"Mowing","slight mowing ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{10e4f57f-13bb-41ea-b5be-b5d9d461a85c}",4599095-06-05 20:00:00,"ddixon0",4599097-09-24 20:00:00,"ddixon0"
"2","Carpenter Bottom",2023,"Failed Structure",1184,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{034ec5fa-4929-4dfc-b642-182b60614553}",4611621-04-04 20:00:00,"ddixon0",4639768-03-15 20:00:00,"lcostes"
"3","Carpenter Bottom",2023,"In-Stream Vegetation",1119,NA,"some murdannia and primrose in pools",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{c71096fa-6e74-4161-8228-9a09085e2f89}",4637206-01-21 19:00:00,"awissner",4639775-09-04 20:00:00,"lcostes"
"4","Carpenter Bottom",2023,"In-Stream Vegetation",1121,NA,"low density in stream veg",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{ae4e3ec6-2ba0-49cc-9cae-f5b39dd46aaf}",4638101-01-01 19:00:00,"ddixon0",4639775-09-05 20:00:00,"lcostes"
"5","Carpenter Bottom",2023,"Needs Livestakes",1103,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{a4221d86-348c-4b85-9932-c0c72f1ca829}",4633632-09-16 20:00:00,"ddixon0",4639775-09-02 20:00:00,"lcostes"
"6","Carpenter Bottom",2023,"Weed Occurrence",1266,NA,NA,NA,"Medium","Chinese Privet","1-5%","Trifoliate Orange","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{3a9dc5b4-f9c3-4add-8e59-84012f3ba311}",4633632-04-17 20:00:00,"ddixon0",4639780-06-08 20:00:00,"lcostes"
"7","Carpenter Bottom",2023,"Weed Occurrence",1267,NA,NA,NA,"Medium","Trifoliate Orange","1-5%","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{b97af772-5224-4a8c-9f2a-ec7cc42ff621}",4633640-04-30 20:00:00,"ddixon0",4639780-06-10 20:00:00,"lcostes"
"8","Carpenter Bottom",2023,"Weed Occurrence",1268,NA,NA,NA,"Medium","Trifoliate Orange","1-5%","Chinese Privet","1-5%","Japanese Honeysuckle","<1%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{d03df98b-cdf4-4c33-ac57-627b9584bd4b}",4633648-12-05 19:00:00,"ddixon0",4639780-06-12 20:00:00,"lcostes"
"9","Carpenter Bottom",2023,"Weed Occurrence",1185,NA,"Privet patch",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{183eb70d-48a4-4753-a04d-ed7eff2575e4}",4611638-01-24 19:00:00,"awissner",4646909-06-19 20:00:00,"lcostes"
"10","Carpenter Bottom",2023,"Weed Occurrence",1380,NA,NA,NA,"Low","Chinese Privet","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{9b8e1ea3-1a8f-42cb-bcbe-c3ca99e2b5b4}",4625367-05-15 20:00:00,"ddixon0",4639768-03-19 20:00:00,"lcostes"
"11","Carpenter Bottom",2023,"Weed Occurrence",1480,NA,NA,NA,"Medium","Trifoliate Orange","1-5%","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{49e17b77-5c6e-4b06-bb94-d79faaa7a414}",4633631-07-26 20:00:00,"ddixon0",4639768-03-23 20:00:00,"lcostes"
"12","Carpenter Bottom",2022,"5",339,NA,"Need supplemental signage",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{1cbc1c0c-dfa8-4863-9a61-27b119c66349}",4582373-03-18 20:00:00,"lcostes",4639768-02-11 19:00:00,"lcostes"
"13","Carpenter Bottom",2022,"5",341,NA,"Needs supplemental signage",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{cb7556b9-ebc0-46f9-9f3c-4585fe5353f3}",4582373-03-18 20:00:00,"lcostes",4639768-02-22 19:00:00,"lcostes"
"14","Carpenter Bottom",2022,"5",344,NA,"Needs supplemental signage",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{6ab1b66c-d611-481b-9b85-df3b2a0bee5d}",4582373-03-18 20:00:00,"lcostes",4639768-03-05 19:00:00,"lcostes"
"15","Carpenter Bottom",2022,"In-Stream Vegetation",775,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","6-25%",NA,"Dominic","{20eb9aca-f178-4e4a-9fbd-b527603bef98}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"16","Carpenter Bottom",2022,"Vegetation Issue",577,NA,"May need reseeding",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{c38895f0-ec69-42f0-9bcb-4770945a32eb}",4582373-04-23 20:00:00,"lcostes",4639780-06-05 20:00:00,"lcostes"
"17","Carpenter Bottom",2022,"Vegetation Issue",797,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{b5a51137-a8dc-4317-86bf-27d423fbb505}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"18","Carpenter Bottom",2022,"Weed Occurrence",574,NA,NA,NA,"Medium","Chinese Privet","51-75%","Trifoliate Orange","6-25%","Silverthorn","1-5%","Japanese Honeysuckle","1-5%",NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,1,2022-11-09,"cut stump and foliar spray","Ecoforesters",NA,"Cut Stump","Triclopyr","Backpack Spray","Triclopyr",NA,NA,2022-12-07 19:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Dominic","{6da3cae9-4b76-4daa-a385-4d49850954a8}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:51:12,"lcostes"
"19","Carpenter Bottom",2022,"Weed Occurrence",576,NA,NA,NA,"Medium","Chinese Privet","26-50%","Trifoliate Orange","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2022-11-09,"Cut stump and foliar spray","Ecoforesters",NA,"Cut Stump","Triclopyr","Backpack Spray","Triclopyr",NA,NA,2022-12-07 19:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Dominic","{6feacffb-cafa-4e6f-ab5d-516199949a98}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:51:16,"lcostes"
"20","Carpenter Bottom",2022,"Weed Occurrence",576,NA,NA,NA,"Medium","Chinese Privet","26-50%","Trifoliate Orange","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-01-06,"trifoliate cut stump and spray",NA,NA,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-02-17 11:40:07,"ddixon0",2023-02-17 11:40:07,"ddixon0","Poly",NA,NA,"Dominic","{6feacffb-cafa-4e6f-ab5d-516199949a98}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:51:16,"lcostes"
"21","Carpenter Bottom",2022,"Weed Occurrence",576,NA,NA,NA,"Medium","Chinese Privet","26-50%","Trifoliate Orange","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-05-09,"Cut stump and foliar spray of trifoliate orange and privet",NA,NA,"Cut Stump","Triclopyr","Backpack Spray","Triclopyr",NA,NA,NA,NA,2023-05-12 09:25:57,"awissner",2023-05-12 09:48:24,"awissner","Poly",NA,NA,"Dominic","{6feacffb-cafa-4e6f-ab5d-516199949a98}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:51:16,"lcostes"
"22","Carpenter Bottom",2022,"Weed Occurrence",578,NA,NA,NA,"Low","Chinese Privet","6-25%","Trifoliate Orange","1-5%","Multiflora Rose","1-5%","Japanese Honeysuckle","1-5%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2022-11-09,"Cut stump and foliar spray","Ecoforesters",NA,"Cut Stump","Triclopyr","Backpack Spray","Triclopyr",NA,NA,2022-12-09 19:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Dominic","{88e7d1c1-c918-4f7f-a750-ecbb0d4c35d2}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:51:17,"lcostes"
