"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Catfish Pond I and II",2023,"5",1212,"Damaged Fence","Tree fell on barbed wire part of fence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{df3f5a14-330f-4f54-8c94-45b5d613419e}",4613509-01-24 19:00:00,"cneaves1",4639768-06-19 20:00:00,"lcostes"
"2","Catfish Pond I and II",2023,"Misc",1036,NA,"Tree on fence",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{fd9389a3-9ca2-4fbc-8367-46f5f77776a9}",4598412-07-16 20:00:00,"cneaves1",4639768-06-18 20:00:00,"lcostes"
"3","Catfish Pond I and II",2023,"Weed Occurrence",1008,NA,NA,NA,"Medium","Japanese Honeysuckle","6-25%","Chinese Privet","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-22 00:00:00,NA,"In House",3,"Backpack Spray","Glyphosate","Cut Stump","Triclopyr",NA,"Yes",2023-03-31 00:00:00,"76-100%",2023-08-21 09:52:31,"aradecki1",2023-08-21 09:52:31,"aradecki1","Poly",NA,NA,"Andrew","{0d535236-2db8-444c-ad6e-1d0dd67c5448}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:52:27,"lcostes"
"4","Catfish Pond I and II",2023,"Weed Occurrence",1014,NA,NA,NA,"Medium","Chinese Privet","1-5%","Japanese Honeysuckle","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-22 00:00:00,NA,"In House",3,"Backpack Spray","Glyphosate","Cut Stump","Triclopyr",NA,"Yes",2023-03-31 00:00:00,"76-100%",2023-08-21 09:45:35,"aradecki1",2023-08-21 09:45:35,"aradecki1","Poly",NA,NA,"Andrew","{bf180c15-fd6b-4659-a2d4-7a048f1a4685}",2023-01-05 17:32:36,"lcostes",2023-09-05 10:52:20,"lcostes"
"5","Catfish Pond I and II",2023,"Weed Occurrence",1112,NA,NA,NA,NA,"Blackberry","6-25%","Multiflora Rose","<1%","Japanese Honeysuckle","<1%",NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-29 00:00:00,NA,"In House",3,"Backpack Spray","Triclopyr","Cut Stump","Triclopyr",NA,"Yes",2023-03-31 00:00:00,"51-75%",2023-08-21 10:16:59,"aradecki1",2023-08-21 10:16:59,"aradecki1","Poly",NA,NA,"Andrew","{c0bf0a71-fb27-4cec-8fe8-eb7c0256560a}",2023-05-02 10:00:05,"hpeterman",2023-09-05 10:52:15,"lcostes"
"6","Catfish Pond I and II",2023,"Weed Occurrence",1315,NA,NA,NA,"Low","Johnson Grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{83b26d5b-41de-4825-8c3f-795087a45a4b}",4642860-02-01 19:00:00,"aradecki1",4642860-02-01 19:00:00,"aradecki1"
"7","Catfish Pond I and II",2023,"Weed Occurrence",1316,NA,NA,NA,"Medium","Johnson Grass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{c99bae91-3233-4615-9f93-097e30a3d122}",4642860-03-26 20:00:00,"aradecki1",4642860-03-26 20:00:00,"aradecki1"
"8","Catfish Pond I and II",2023,"Weed Occurrence",1032,NA,"Big privet",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-03-29 00:00:00,NA,"In House",1,"Cut Stump","Triclopyr",NA,NA,NA,"Yes",2023-03-29 00:00:00,"76-100%",2023-08-21 09:21:38,"aradecki1",2023-08-21 09:21:38,"aradecki1","Point",NA,NA,"Andrew","{3cd6861e-f10f-4796-93ce-490bfdd283c9}",2023-03-14 11:56:55,"cneaves1",2023-09-05 09:38:23,"lcostes"
"9","Catfish Pond I and II",2023,"Weed Occurrence",1033,NA,"Shoulder height",NA,NA,"Callery Pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{ef2243ac-01ba-4945-92a2-1dccdeff4bda}",4598394-08-12 20:00:00,"cneaves1",4639768-06-17 20:00:00,"lcostes"
"10","Catfish Pond I and II",2023,"Weed Occurrence",1213,NA,"Multiflora rose bush across from trail cam",NA,NA,"Multiflora Rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{b9f087cd-4a58-41f9-9872-cfe131308083}",4613518-05-23 20:00:00,"cneaves1",4639768-06-20 20:00:00,"lcostes"
