"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Catfish Pond",2022,"In-Stream Vegetation",927,NA,"Instream Veg Murdannia and cattails",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,345.164930400329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{c379a66b-545b-438d-8fe2-006f768b71e4}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"2","Catfish Pond",2022,"Vegetation Issue",879,"Low Stem Density","Low growth",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,7930.892578125,338.189808220747,0,2022-03-28 00:00:00,"Planted about 20 trees",NA,NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{47c1ac5f-5b40-4ac4-b3e1-f33ead56fcb0}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"3","Catfish Pond",2022,"Weed Occurrence",880,NA,NA,NA,"Medium","Sweet Gum","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,25025.6223144531,804.132421219074,0,2022-05-19 00:00:00,"Sweetgum thinned","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{7550a85e-560f-4209-b042-03730aaa6d82}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"4","Catfish Pond",2022,"Weed Occurrence",833,NA,NA,NA,"Medium","Chinese Privet","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,97105.8874511719,1395.24215478847,1,2022-06-13 00:00:00,"Privet removal","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{a46f9879-c302-45db-807b-151b467667e2}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"5","Catfish Pond",2022,"Weed Occurrence",834,NA,NA,NA,"Medium","Multiflora Rose","6-25%","Blackberry","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,122642.809936523,1758.27548866283,1,2022-05-26 00:00:00,"Cut stump Blackberry & Rose",NA,NA,"Cut Stump",NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{d23899fa-76c4-4d52-adbf-3d4feaa99369}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"6","Catfish Pond",2022,"Weed Occurrence",835,NA,NA,NA,"Medium","Blackberry","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,137450.396118164,2498.29700057505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{fd91c35c-3197-4e96-9434-9135473fc523}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"7","Catfish Pond",2022,"Weed Occurrence",1004,NA,"Privet concentrated on eastern half",NA,"Medium","Japanese Honeysuckle","26-50%","Chinese Privet","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,125007.464111328,2766.34042618006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{5b274a7c-7c06-47a9-81d0-daef656e1a64}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"8","Catfish Pond",2022,"Weed Occurrence",1005,NA,NA,NA,"Medium","Blackberry","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,992.249755859375,124.373740814821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{4d4bcea0-3eb3-410a-bb9b-643e1cd859b1}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"9","Catfish Pond",2022,"Weed Occurrence",1006,NA,NA,NA,"Medium","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,699.188354492188,156.286995629046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{507a68dd-a228-4c45-b742-f025baf49eb1}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"10","Catfish Pond",2022,"Weed Occurrence",1007,NA,NA,NA,"Medium","Chinese Privet","51-75%","Japanese Honeysuckle","6-25%","Blackberry","6-25%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,3609.93273925781,414.030398002928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{d19acf4a-6c5e-455c-91ac-3ec801ea1a21}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
