"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Clover Hill",2023,"Weed Occurrence",1199,NA,"40% cover each",NA,NA,"Chinese Privet","6-25%","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{51322455-c6b7-4323-ade5-b268900a0436}",4627959-07-03 20:00:00,"athompson07",4627959-07-03 20:00:00,"athompson07"
"2","Clover Hill",2023,"Weed Occurrence",1200,NA,"25%",NA,NA,"Marsh Dewflower","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{a1580cdf-fcb7-4dcf-88c3-cf0096d3ec4e}",4627959-12-25 19:00:00,"athompson07",4627959-12-25 19:00:00,"athompson07"
"3","Clover Hill",2023,"Weed Occurrence",1201,NA,"jimson weed, mullein, pato, romu, lisi",NA,NA,"OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{8f975c6d-7330-492a-b15f-571944b2cbec}",4627960-04-20 20:00:00,"athompson07",4646936-07-28 20:00:00,"lcostes"
"4","Clover Hill",2023,"Weed Occurrence",1206,NA,"lisi, romu <5%",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{8c0c876c-4576-4403-a8c2-48ade504ce39}",4627966-03-09 19:00:00,"athompson07",4646936-08-19 20:00:00,"lcostes"
"5","Clover Hill",2023,"Weed Occurrence",1207,NA,"20%",NA,NA,"Marsh Dewflower","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{37ad06a4-7610-433b-ac2c-a10a23f297b4}",4627966-05-26 20:00:00,"athompson07",4627966-12-03 19:00:00,"athompson07"
"6","Clover Hill",2023,"Weed Occurrence",1208,NA,"15%. thistles 1%",NA,NA,"Marsh Dewflower","6-25%","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{9eb73846-c6ca-47cc-8a89-3a0ca96dfd55}",4627967-08-10 20:00:00,"athompson07",4627967-08-10 20:00:00,"athompson07"
"7","Clover Hill",2023,"Weed Occurrence",1209,NA,"25, 10, 25, 15",NA,NA,"Tree Of Heaven","6-25%","Japanese Honeysuckle","6-25%","Chinese Privet","6-25%","Multiflora Rose","6-25%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{a778b8fe-4415-42b3-94c8-f16ba88cf27f}",4627968-05-04 20:00:00,"athompson07",4627968-05-04 20:00:00,"athompson07"
"8","Clover Hill",2023,"Weed Occurrence",1210,NA,"75, 25,5",NA,NA,"Chinese Privet","76-100%","Multiflora Rose","26-50%","Princess Tree","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{3d07e0ec-704c-4df0-afc2-8491478a307c}",4627968-12-05 19:00:00,"athompson07",4627968-12-05 19:00:00,"athompson07"
"9","Clover Hill",2023,"Weed Occurrence",1211,NA,"arthraxon 15%, muke 1%",NA,NA,"Marsh Dewflower","1-5%","Multiflora Rose","1-5%","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{101e14a6-5ed6-4a71-a3b7-2b46531df8f3}",4627969-07-20 20:00:00,"athompson07",4627969-07-20 20:00:00,"athompson07"
"10","Clover Hill",2023,"Weed Occurrence",1212,NA,NA,NA,NA,"Marsh Dewflower","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{dec15ab7-cf6c-499e-9080-702c22ba5199}",4627970-02-13 19:00:00,"athompson07",4627970-02-13 19:00:00,"athompson07"
"11","Clover Hill",2023,"Weed Occurrence",1213,NA,"80%",NA,NA,"Marsh Dewflower","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{8488520d-a133-4257-b234-38a59e0a9108}",4627972-04-04 20:00:00,"athompson07",4627972-04-04 20:00:00,"athompson07"
"12","Clover Hill",2023,"Weed Occurrence",1214,NA,NA,NA,NA,"Marsh Dewflower","1-5%","Multiflora Rose","6-25%","Chinese Privet","51-75%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{5f708e40-d975-4e0d-9637-6cefc36be98c}",4627973-02-18 19:00:00,"athompson07",4627973-02-18 19:00:00,"athompson07"
