"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Cool Springs",2023,"5",1448,"Damaged Post","Replace t-post",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{a75ad337-0fc7-465a-bf9a-5b8578260642}",4628411-05-22 20:00:00,"hpeterman",4638831-09-12 20:00:00,"hpeterman"
"2","Cool Springs",2023,"5",1449,"Damaged/Missing Sign","No gap between sign and tree",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{5c02170a-2592-4307-83fc-f36506dabb0d}",4628411-07-15 20:00:00,"hpeterman",4638831-07-23 20:00:00,"hpeterman"
"3","Cool Springs",2023,"5",1450,"Damaged/Missing Sign","Repair sign",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{5f795858-1540-4ee5-b4c6-ea2272cd2124}",4628411-09-29 20:00:00,"hpeterman",4638831-08-09 20:00:00,"hpeterman"
"4","Cool Springs",2023,"5",1451,"Damaged/Missing Sign","Sign nailed too close to tree",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{3d4b0d91-c693-4315-b7bc-8ff9eac92ddd}",4628411-11-27 19:00:00,"hpeterman",4638841-01-10 19:00:00,"hpeterman"
"5","Cool Springs",2023,"Channel Stability/Erosion",993,"Other","Watch for erosion, stake down matting","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{37da7ff9-9f7f-4e8c-98e0-9feb48ae7875}",4598125-03-11 20:00:00,"hpeterman",4619653-09-07 20:00:00,"hpeterman"
"6","Cool Springs",2023,"Channel Stability/Erosion",1116,"Erosion_Scour","Needs a few live stakes","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{2d936a44-f78e-4ff5-a0c7-6fb0076c438d}",4636941-07-10 20:00:00,"hpeterman",4636941-07-10 20:00:00,"hpeterman"
"7","Cool Springs",2023,"Failed Structure",1277,"Headcut","Head cut in wetland area, needs live stakes",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-11-28 13:21:42,"~7 live stakes planted","In-house",NA,"Hand",NA,NA,NA,NA,NA,NA,NA,2023-11-28 13:22:17,"hpeterman",2023-11-28 13:22:17,"hpeterman","Point",NA,NA,"Hanna","{1da9fef4-8273-423f-8b9f-800c3725d324}",2023-06-07 10:53:02,"hpeterman",2023-11-28 13:49:09,"hpeterman"
"8","Cool Springs",2023,"Failed Structure",1145,"Erosion/Scoured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,2,2023-06-07 00:00:00,"3-4 black willow live stakes",NA,NA,"Hand",NA,NA,NA,NA,NA,NA,NA,2023-07-19 09:33:43,"hpeterman",2023-07-19 09:33:43,"hpeterman","Point",NA,NA,"Hanna","{96ce99d0-a9e8-4d14-bd54-eddcb43b0fa9}",2023-04-18 10:41:17,"clanza",2023-07-19 09:32:53,"hpeterman"
"9","Cool Springs",2023,"Failed Structure",1024,"Erosion/Scoured","Holy brush toe needs long live stakes","Bank Protection Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{fe0420e7-7eb9-4a35-a66b-53a7efa44ef6}",4597205-09-03 20:00:00,"hpeterman",4597205-09-03 20:00:00,"hpeterman"
"10","Cool Springs",2023,"Failed Structure",1039,"Erosion/Scoured","Watch scouring under brush toe","Bank Protection Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{082e3247-ae72-4158-94a4-aaca243d4c06}",4598649-09-09 20:00:00,"hpeterman",4598651-07-10 20:00:00,"hpeterman"
"11","Cool Springs",2023,"Failed Structure",1146,NA,"Still doing this as of 7.5.23 * Water going under or around log sill? Mini pool has formed directly above log sill and lots of veg is growing on it ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{e5a92cc3-8eae-47d0-b3bf-93678766aa1a}",4606665-11-20 19:00:00,"clanza",4625109-09-25 20:00:00,"clanza"
"12","Cool Springs",2023,"Failed Structure",1278,"Erosion/Scoured","Tree on bank partially fallen, scouring","Bank Protection Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{b2940bb7-c198-497c-8578-c2ea0f26f646}",4618493-04-20 20:00:00,"hpeterman",4646646-11-14 19:00:00,"hpeterman"
"13","Cool Springs",2023,"Failed Structure",1383,"Piping","piping log sill","Grade Control Structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{333042ff-7c89-4d90-82ca-10a0d68ccbca}",4623458-03-26 20:00:00,"clanza",4625106-11-22 19:00:00,"clanza"
"14","Cool Springs",2023,"Misc",1123,NA,"Burned in early April",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-05-11 00:00:00,"Ring sprays in bermuda grass areas, seeding in bare soil","In-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-15 09:04:52,"hpeterman",2023-05-15 09:04:52,"hpeterman","Poly",NA,NA,"Hanna","{5e02dc4a-c306-459a-accc-007a5007308f}",2023-05-15 09:04:23,"hpeterman",2023-06-12 08:50:42,"hpeterman"
"15","Cool Springs",2023,"Misc",1303,NA,"Chicken litter dumped into CE",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-09-20 10:50:00,"Seed broadcast over manure pile","In-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-25 10:50:34,"hpeterman",2023-09-25 10:50:34,"hpeterman","Poly",NA,NA,"Hanna","{b525ff0b-c7c6-43dd-a4bc-73fbfed5d608}",2023-09-11 08:35:43,"hpeterman",2023-09-25 10:49:50,"hpeterman"
"16","Cool Springs",2023,"Misc",1125,NA,"Burned in early April",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-05-11 00:00:00,"Ring sprays in bermuda grass areas 5% glyphosate, seeding in bare soil","In-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-05-15 09:08:16,"hpeterman",2023-07-19 09:19:40,"hpeterman","Poly",NA,NA,"Hanna","{cdd12637-cf22-4830-88f4-7262d30352f6}",2023-05-15 09:07:56,"hpeterman",2023-06-12 08:51:07,"hpeterman"
