"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Cox Pond",2023,"Boundary Issue",1122,NA,"Needs signage work and polytape. Multiple signs hit after corn harvest on this site",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{4e9c2245-66b4-4e20-a3f7-5561903e9b4c}",4638383-01-09 19:00:00,"ncurtis1",4638383-01-09 19:00:00,"ncurtis1"
"2","Cox Pond",2023,"CE Encroachment",1318,"Herbicide","herbicide overspray and sign hit ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{8d9103da-96e2-4389-9448-08ee86c2f9ec}",4643368-11-28 19:00:00,"ncurtis1",4643368-11-28 19:00:00,"ncurtis1"
"3","Cox Pond",2023,"Channel Stability/Erosion",960,"Slumping_Settling","Add about 10 livestakes. Dogwood available on site","Stream Bed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{0874927d-1274-46ac-80c0-f55cf483af71}",4592002-12-14 19:00:00,"athompson07",4592453-09-28 20:00:00,"hpeterman"
"4","Cox Pond",2023,"Misc",1658,NA,"Random Stew Veg plot 1 (drilled wheat only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{4aa4ff56-d1be-40c8-b0e9-48533dfc3a1e}",4648090-12-06 19:00:00,"ncurtis1",4648090-12-06 19:00:00,"ncurtis1"
"5","Cox Pond",2023,"Misc",1660,NA,"Random Stew Veg plot 2 (drilled wheat only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{bca58a6c-6662-4302-a4d6-21b671b51c3c}",4648093-11-18 19:00:00,"ncurtis1",4648093-11-18 19:00:00,"ncurtis1"
"6","Cox Pond",2023,"Misc",1661,NA,"Random Stew Veg plot 3 (seed mix only)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{5a7a7051-2761-4ba8-be48-83985836259a}",4648098-05-31 20:00:00,"ncurtis1",4648098-05-31 20:00:00,"ncurtis1"
"7","Cox Pond",2023,"Misc",1662,NA,"Random Stew Veg plot 4 (only seed mix)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{5f270a08-261b-40bc-986b-e233aa582066}",4648101-07-29 20:00:00,"ncurtis1",4648101-07-29 20:00:00,"ncurtis1"
"8","Cox Pond",2023,"Weed Occurrence",1053,NA,"Med-Large size class",NA,NA,"Chinaberry","6-25%","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-09-12 15:09:00,"Cutstump privet and chinaberry","In house",2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-09-19 15:10:49,"alemon1",2023-09-19 15:10:49,"alemon1","Poly",NA,NA,"Neil","{a1c886f8-28b5-46e0-8ef6-ccef59329ef9}",2023-02-15 10:11:52,"athompson07",2023-05-24 14:31:41,"ncurtis1"
"9","Cox Pond",2023,"Weed Occurrence",1053,NA,"Med-Large size class",NA,NA,"Chinaberry","6-25%","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-09-05 15:29:00,"Cutstump privet and chinaberry","In house",2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-09-19 15:30:26,"alemon1",2023-09-19 15:30:26,"alemon1","Poly",NA,NA,"Neil","{a1c886f8-28b5-46e0-8ef6-ccef59329ef9}",2023-02-15 10:11:52,"athompson07",2023-05-24 14:31:41,"ncurtis1"
"10","Cox Pond",2023,"Weed Occurrence",1571,NA,"Chainsaw size privet cluster",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{be3ccd7c-36d6-43ee-aec2-ae6d44a75ba3}",4641445-04-19 20:00:00,"alemon1",4646919-08-14 20:00:00,"lcostes"
