"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Critcher Brothers",2023,"5",1506,"Damaged Fence","Dead tree on fence",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{5f10afa0-2115-4064-8ddf-70ae9de4f936}",4635050-09-10 20:00:00,"eisrael1",4638386-02-22 19:00:00,"eisrael1"
"2","Critcher Brothers",2023,"5",1511,"Other","Gully under fence large enough for animals to cross",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{2449e164-a802-4771-8c32-0c1786e0181d}",4635062-12-16 19:00:00,"eisrael1",4635062-12-16 19:00:00,"eisrael1"
"3","Critcher Brothers",2023,"5",1512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{471e61c2-c7e1-47f2-a60a-32cf20943950}",4635063-12-24 19:00:00,"eisrael1",4635063-12-24 19:00:00,"eisrael1"
"4","Critcher Brothers",2023,"5",1528,"Damaged Fence","Internal tree on fence",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{be3627b8-8fc9-4feb-8878-0f35156ad990}",4636224-05-03 20:00:00,"eisrael1",4636224-07-10 20:00:00,"eisrael1"
"5","Critcher Brothers",2023,"5",1861,NA,"Cut trees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{48029ee4-9b92-4c9a-8a02-8d44e9bef039}",4663445-07-25 20:00:00,"sthompson_",4663445-07-25 20:00:00,"sthompson_"
"6","Critcher Brothers",2023,"5",1862,NA,"Trash in easement ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{312e8dd6-0ac2-40a6-8b96-9cc879daea30}",4663449-07-17 20:00:00,"sthompson_",4663449-07-17 20:00:00,"sthompson_"
"7","Critcher Brothers",2023,"Boundary Issue",1110,"Debris",NA,"Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{d78b240d-f636-4e19-a0ec-e7bd8c5e72a7}",4635090-12-11 19:00:00,"eisrael1",4638382-10-27 20:00:00,"eisrael1"
"8","Critcher Brothers",2023,"Boundary Issue",1111,"Debris",NA,"Fence","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{f2e4a459-1ffe-4a6d-ac0e-90be71312463}",4635093-06-21 20:00:00,"eisrael1",4635093-06-21 20:00:00,"eisrael1"
"9","Critcher Brothers",2023,"Channel Stability/Erosion",1083,"Aggradation_Deposition","Aggradation of point bar, pushing stream into meander","Other","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{c5c0078f-a308-404f-ae19-c7787456ed80}",4621347-05-05 20:00:00,"eisrael1",4621347-05-05 20:00:00,"eisrael1"
"10","Critcher Brothers",2023,"Channel Stability/Erosion",1109,"Slumping_Settling","Right bank slump","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{ad975b0a-cd46-4dac-a45a-ffb82f534079}",4635060-06-03 20:00:00,"eisrael1",4635060-06-03 20:00:00,"eisrael1"
"11","Critcher Brothers",2023,"Channel Stability/Erosion",1147,"Aggradation_Deposition","Pool has aggraded. Need to dig sediment.","Stream Bed","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{a2a4afcf-e8af-4bbf-b10b-41be064e6a0d}",4651695-10-22 20:00:00,"eisrael1",4651696-04-11 20:00:00,"eisrael1"
"12","Critcher Brothers",2023,"Failed Structure",1095,"Piping",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{18f8f5d1-4f77-46a4-b3d7-b5a24417149a}",4601972-10-01 20:00:00,"eisrael1",4638130-06-02 20:00:00,"awissner"
"13","Critcher Brothers",2023,"Failed Structure",1731,"Piping","potential piping. would like to check during flow.",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{c82d44d5-c535-4ec5-85cb-b20108fe2da8}",4652087-03-03 19:00:00,"awissner",4652087-03-03 19:00:00,"awissner"
"14","Critcher Brothers",2023,"Failed Structure",1866,NA,"Scour around log sill. No longer keyed into the bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{96cfe664-fc27-40ac-97c6-ad8cf71d33ab}",4664411-02-02 19:00:00,"sthompson_",4664411-02-02 19:00:00,"sthompson_"
"15","Critcher Brothers",2023,"Misc",1504,NA,"UP2S PP 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{6035a98f-14d3-4f97-8f3b-83fd53720676}",4635045-12-22 19:00:00,"eisrael1",4635045-12-22 19:00:00,"eisrael1"
"16","Critcher Brothers",2023,"Misc",1505,NA,"UP2S PP 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{aa35d4bb-04a9-49e8-a76c-24435aaecabe}",4635049-12-03 19:00:00,"eisrael1",4635049-12-03 19:00:00,"eisrael1"
"17","Critcher Brothers",2023,"Misc",1507,NA,"UP2S PP 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{71ca0bec-882f-416d-8ecc-d99787c15ba2}",4635051-03-08 19:00:00,"eisrael1",4635051-03-08 19:00:00,"eisrael1"
"18","Critcher Brothers",2023,"Misc",1508,NA,"UP2S PP 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{de74dccb-e4ff-4d15-848c-ad2a8d13c5d5}",4635052-10-23 20:00:00,"eisrael1",4635052-10-23 20:00:00,"eisrael1"
"19","Critcher Brothers",2023,"Misc",1509,NA,"UP2S PP 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{3f0bb283-fedd-43a7-84c9-821983cbab45}",4635059-08-01 20:00:00,"eisrael1",4635059-08-01 20:00:00,"eisrael1"
"20","Critcher Brothers",2023,"Misc",1510,NA,"UP2S PP 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{9953cbdd-adf7-4e26-b132-fd8d2c77858f}",4635061-08-03 20:00:00,"eisrael1",4635061-08-03 20:00:00,"eisrael1"
"21","Critcher Brothers",2023,"Misc",1513,NA,"UP2S PP 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{88a562ae-0244-4c0b-ab42-88372e149091}",4635065-09-22 20:00:00,"eisrael1",4635065-09-22 20:00:00,"eisrael1"
"22","Critcher Brothers",2023,"Misc",1514,NA,"UP2S PP 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{f1f20e93-0848-4131-a3cf-24935349e1a4}",4635070-08-05 20:00:00,"eisrael1",4635070-08-05 20:00:00,"eisrael1"
"23","Critcher Brothers",2023,"Misc",1515,NA,"UP2S PP 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{b8bf58b4-3ae7-4a1b-aea5-f6c0cb447c1e}",4635073-05-30 20:00:00,"eisrael1",4635073-05-30 20:00:00,"eisrael1"
"24","Critcher Brothers",2023,"Misc",1516,NA,"UP2S PP 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{3702bf09-fc47-44b0-b93b-7cd5464139c7}",4635076-02-14 19:00:00,"eisrael1",4635076-02-14 19:00:00,"eisrael1"
"25","Critcher Brothers",2023,"Misc",1517,NA,"UP2S PP 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{2a9e6b44-97bc-4a61-8910-3b2cde935b5f}",4635078-04-19 20:00:00,"eisrael1",4635078-04-19 20:00:00,"eisrael1"
"26","Critcher Brothers",2023,"Misc",1521,NA,"UP2S PP 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{6c6f86cd-746e-450f-bf6b-68490bba7f3f}",4635083-02-05 19:00:00,"eisrael1",4635083-02-05 19:00:00,"eisrael1"
"27","Critcher Brothers",2023,"Misc",1523,NA,"UP2S PP 13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{aed1d324-9f11-4bb6-9441-b6a54ddacbf6}",4635092-01-05 19:00:00,"eisrael1",4635092-01-05 19:00:00,"eisrael1"
"28","Critcher Brothers",2023,"Misc",1524,NA,"UP2S PP 14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{60361b15-a130-4627-8995-58537f542a31}",4635097-08-30 20:00:00,"eisrael1",4635097-08-30 20:00:00,"eisrael1"
"29","Critcher Brothers",2023,"Weed Occurrence",1173,NA,"Scattered runners",NA,"Medium","Kudzu","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{56c52411-7c48-468f-a7c6-e07e61e0b05d}",4621348-02-13 19:00:00,"eisrael1",4621348-02-13 19:00:00,"eisrael1"
"30","Critcher Brothers",2023,"Weed Occurrence",1332,NA,NA,NA,"Medium","Cattail","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{70ca874e-5501-49d5-9e86-d4f3c1c1b9c7}",4621334-10-04 20:00:00,"eisrael1",4621334-10-04 20:00:00,"eisrael1"
