"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Critcher",2022,"Beaver Dam",543,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{51147cef-0b64-4edd-bdba-ee93dbe3c076}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"2","Critcher",2022,"Beaver Dam",544,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{513810f3-ee0a-4ee9-bc9e-c58ea40e3da0}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"3","Critcher",2022,"Beaver Dam",766,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{4c424187-a07b-496d-819b-706fcfbf3b9c}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"4","Critcher",2022,"Boundary Issue",758,"Other","Fence incomplete","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,24.8431012675089,1,2022-04-21 12:19:24,"Patched bottom of fence","WEI staff",NA,"Repair",NA,NA,NA,NA,NA,2022-04-21 12:19:08,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Emily","{543daa4a-bcf9-48d7-9ba6-32d4019cee7f}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"5","Critcher",2022,"Boundary Issue",725,"Debris","Tree fell on fence",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,18.3089947584993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{12f9d026-54f7-4f9b-b1ad-aaecdb3d270e}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"6","Critcher",2022,"Boundary Issue",731,"Debris","Tree fell on fence","Fence","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,22.8089997338706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{9e87c550-f92c-44d3-b619-03c53a65054d}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"7","Critcher",2022,"Boundary Issue",755,"Debris","Sediment running into CE",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,49.5491729421213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{59332be3-bf0e-4e1a-9b99-9269e1ca5b6e}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"8","Critcher",2022,"Boundary Issue",756,"Cattle","Cow jumped fence","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,43.4306657472059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{d28ea9ea-b2a0-4dab-b847-e2f6c822dcc2}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"9","Critcher",2022,"Boundary Issue",757,"Cattle","Gap at bottom of fence","Fence","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,18.5580548589119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{3e82c531-9a4e-44b1-8f09-fb70f79a3b00}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"10","Critcher",2022,"Boundary Issue",759,"Debris","Dead tree fell on fence. Need chainsaw to cut and repair.","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,28.996937714408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{32dcebd8-7038-41b5-b20d-9d153359562d}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
