"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Cross Creek Ranch",2022,"Beaver Dam",758,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{24b04316-019e-40cb-b948-c07091cb6446}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"2","Cross Creek Ranch",2022,"Failed Structure",755,"Piping",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{8e796e57-1522-4d16-a89a-676ca07395b8}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"3","Cross Creek Ranch",2022,"Misc",622,NA,"Monitor step pool system for headcutting issues",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{bfa3c52b-32ef-4453-9c5a-9923baf22a42}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"4","Cross Creek Ranch",2022,"Misc",756,NA,"Downed tree",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{bdb66906-e560-4323-8727-0ba514992e71}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"5","Cross Creek Ranch",2022,"Misc",757,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{8fe9d342-e556-4dd6-bf53-7f0595556c70}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Cross Creek Ranch",2022,"Misc",760,NA,"Mid channel bar",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{914abb21-fb52-45c1-9edc-129a07a65efd}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"7","Cross Creek Ranch",2022,"Misc",868,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{37ef4199-edf5-4e65-bde0-87ec9fdbc76f}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"8","Cross Creek Ranch",2022,"Misc",869,NA,"Tree on fence ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{94176a23-db83-4f3f-bd4c-91b6ad161aae}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"9","Cross Creek Ranch",2022,"Weed Occurrence",695,NA,NA,NA,"Low","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,2529.82623291016,262.021673062392,1,2023-01-12,"Privet","In-house",1,"Cut Stump","Glyphosate",NA,NA,NA,"No",NA,NA,2023-01-23 14:32:32,"skirk1",2023-01-23 14:32:32,"skirk1",NA,NA,"Sam","{b31dc1c2-b8bd-470b-9a3f-06daf792f6c7}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"10","Cross Creek Ranch",2022,"Weed Occurrence",688,NA,NA,NA,"Low","Chinese Privet","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,1567.13208007812,159.956692179183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{8e1ca854-ba9d-4f72-a028-e4dbb03fd665}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"11","Cross Creek Ranch",2022,"Weed Occurrence",689,NA,NA,NA,"Medium","Chinese Privet","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,61543.1656494141,2584.90814427975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{05930833-e3fc-49bf-924c-7d0d8b4ea946}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"12","Cross Creek Ranch",2022,"Weed Occurrence",690,NA,NA,NA,"Medium","Chinese Privet","51-75%","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,3334.28308105469,255.895155828107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{53cac02b-3093-4a71-8978-a6c0118b20ed}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"13","Cross Creek Ranch",2022,"Weed Occurrence",691,NA,NA,NA,"Low","Chinese Privet","26-50%","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,800.64404296875,114.061524402916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{5f4f335f-a9b7-49c3-bc05-1570a3247cc0}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"14","Cross Creek Ranch",2022,"Weed Occurrence",692,NA,NA,NA,"Low","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,779.198364257812,116.868276745563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{d6500513-8606-4a62-b4da-66b3cbbf3b1b}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
