"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Cross Creek",2023,"Failed Structure",1152,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{3b1e03e6-0960-47d2-ab0e-73d86491387f}",4608352-01-31 19:00:00,"skirk1",4638820-06-15 20:00:00,"awissner"
"2","Cross Creek",2023,"Misc",1045,NA,"Log debris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{9df5c79e-e43c-445c-9e4f-afc24e577a03}",4600044-02-02 19:00:00,"awissner",4638820-07-26 20:00:00,"awissner"
"3","Cross Creek",2023,"Weed Occurrence",1110,NA,NA,NA,NA,"Blackberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{89aa1981-5a3d-4d77-b4f4-059de0ebba9b}",4608363-04-16 20:00:00,"skirk1",4638820-05-19 20:00:00,"awissner"
"4","Cross Creek",2023,"Weed Occurrence",1393,NA,NA,NA,NA,"Chinese Privet","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{3e75a044-92b7-425d-844f-739c5c63cd46}",4658221-09-13 20:00:00,"skirk1",4658221-09-13 20:00:00,"skirk1"
"5","Cross Creek",2023,"Weed Occurrence",1394,NA,NA,NA,NA,"Chinese Privet","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{ae195cb8-702c-4baf-af0e-bd39b71c46cb}",4658222-03-14 20:00:00,"skirk1",4658222-03-14 20:00:00,"skirk1"
"6","Cross Creek",2023,"Weed Occurrence",1153,NA,NA,NA,NA,"Princess Tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{1af6145f-badb-4c53-9ec9-963213cef6a0}",4608359-01-18 19:00:00,"skirk1",4638820-03-17 20:00:00,"awissner"
"7","Cross Creek",2022,"Beaver Dam",758,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{24b04316-019e-40cb-b948-c07091cb6446}",4582373-03-18 20:00:00,"lcostes",4638820-09-04 20:00:00,"awissner"
"8","Cross Creek",2022,"Failed Structure",622,NA,"Monitor step pool system for headcutting issues",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{bfa3c52b-32ef-4453-9c5a-9923baf22a42}",4582373-03-18 20:00:00,"lcostes",4639768-09-27 20:00:00,"lcostes"
"9","Cross Creek",2022,"Failed Structure",755,"Piping",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{8e796e57-1522-4d16-a89a-676ca07395b8}",4582373-03-18 20:00:00,"lcostes",4638820-09-17 20:00:00,"awissner"
"10","Cross Creek",2022,"Misc",756,NA,"Downed tree",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{bdb66906-e560-4323-8727-0ba514992e71}",4582373-03-18 20:00:00,"lcostes",4638820-09-28 20:00:00,"awissner"
"11","Cross Creek",2022,"Misc",757,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{8fe9d342-e556-4dd6-bf53-7f0595556c70}",4582373-03-18 20:00:00,"lcostes",4638820-10-06 20:00:00,"awissner"
"12","Cross Creek",2022,"Misc",760,NA,"Mid channel bar",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{914abb21-fb52-45c1-9edc-129a07a65efd}",4582373-03-18 20:00:00,"lcostes",4638820-07-15 20:00:00,"awissner"
"13","Cross Creek",2022,"Misc",868,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{37ef4199-edf5-4e65-bde0-87ec9fdbc76f}",4582373-03-18 20:00:00,"lcostes",4638820-11-02 19:00:00,"awissner"
"14","Cross Creek",2022,"Misc",869,NA,"Tree on fence ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{94176a23-db83-4f3f-bd4c-91b6ad161aae}",4582373-03-18 20:00:00,"lcostes",4639788-10-26 20:00:00,"lcostes"
"15","Cross Creek",2022,"Weed Occurrence",688,NA,NA,NA,"Low","Chinese Privet","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{8e1ca854-ba9d-4f72-a028-e4dbb03fd665}",4582373-04-23 20:00:00,"lcostes",4639785-07-18 20:00:00,"lcostes"
"16","Cross Creek",2022,"Weed Occurrence",689,NA,NA,NA,"Medium","Chinese Privet","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{05930833-e3fc-49bf-924c-7d0d8b4ea946}",4582373-04-23 20:00:00,"lcostes",4638818-10-21 20:00:00,"awissner"
"17","Cross Creek",2022,"Weed Occurrence",690,NA,NA,NA,"Medium","Chinese Privet","51-75%","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{53cac02b-3093-4a71-8978-a6c0118b20ed}",4582373-04-23 20:00:00,"lcostes",4638818-11-06 19:00:00,"awissner"
