"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Danas Branch",2023,"Misc",1388,NA,"Start R1 below stormwater outlet ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{bb57eb95-c64b-42de-bfbd-e13759ba31f1}",4626756-06-20 20:00:00,"wlcharlotte2",4640020-07-13 20:00:00,"lcostes"
"2","Danas Branch",2023,"Misc",1389,NA,"Hibachi Trib, lots of rip rap to main channel confluence reach break R1/R2 at development clearing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{3cacd715-b8b4-43b9-bff8-29499019fea0}",4626758-11-10 19:00:00,"wlcharlotte2",4640020-07-25 20:00:00,"lcostes"
"3","Danas Branch",2023,"Misc",1390,NA,"Riffle xs chartwell trib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{2197036c-5d42-4813-8762-a85f8ddf19ab}",4626760-03-25 20:00:00,"wlcharlotte2",4640020-07-22 20:00:00,"lcostes"
"4","Danas Branch",2023,"Misc",1391,NA,"Pool xs chartwell trib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{b2ac330b-352c-4d50-8425-fd240fa873d9}",4626760-10-08 20:00:00,"wlcharlotte2",4640020-07-21 20:00:00,"lcostes"
"5","Danas Branch",2023,"Misc",1392,NA,"Chartwell trib r2 riffle xs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{343cc476-82bc-445e-acf2-4195ae60f5b6}",4626762-07-12 20:00:00,"wlcharlotte2",4640020-07-19 20:00:00,"lcostes"
"6","Danas Branch",2023,"Misc",1393,NA,"Magnolia trib pool/riffle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{d90cad5c-507a-4e72-861d-09b333c95d49}",4626764-02-20 19:00:00,"wlcharlotte2",4640020-08-13 20:00:00,"lcostes"
"7","Danas Branch",2023,"Misc",1394,NA,"Magnolia r1/r2 reach break below confluence ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{f435f9d0-6446-43ed-a84d-44ad638a0d5c}",4626764-07-31 20:00:00,"wlcharlotte2",4640020-08-11 20:00:00,"lcostes"
"8","Danas Branch",2023,"Misc",1395,NA,"Magnolia branch r2 riffle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{4f2d7a97-baad-4b78-89c4-9b26ec5bfa1f}",4626767-12-09 19:00:00,"wlcharlotte2",4640020-08-10 20:00:00,"lcostes"
"9","Danas Branch",2023,"Misc",1397,NA,"Magnolia trib r2 riffle xs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{8c7224c0-b436-434f-9654-f904131f27a6}",4626769-11-16 19:00:00,"wlcharlotte2",4640020-08-08 20:00:00,"lcostes"
"10","Danas Branch",2023,"Misc",1398,NA,"Magnolia r2/r3 break",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{8079a66d-7a33-485e-828f-a7e0d6a5b0a2}",4626770-12-13 19:00:00,"wlcharlotte2",4640021-09-03 20:00:00,"lcostes"
