"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Daniels Creek",2023,"Beaver Dam",1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","No","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{679d3d2c-06a7-40f8-a99e-66bf231423bb}",4613519-04-03 20:00:00,"athompson07",4655166-01-14 19:00:00,"athompson07"
"2","Daniels Creek",2023,"Beaver Dam",1356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{a9414291-77cb-4d3b-8b01-8766b2373128}",4623227-03-20 20:00:00,"clanza",4641860-09-10 20:00:00,"athompson07"
"3","Daniels Creek",2023,"Beaver Dam",1419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{9bc67ec8-fc7a-4745-9490-a6bcb1b3150d}",4627245-04-03 20:00:00,"clanza",4638158-03-25 20:00:00,"athompson07"
"4","Daniels Creek",2023,"Beaver Dam",1753,NA,"Raked out 11/1/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{65bc50b1-4ee5-4fbd-acf7-24cfc649702c}",4653300-12-04 19:00:00,"hpeterman",4653300-12-20 19:00:00,"hpeterman"
"5","Daniels Creek",2023,"Beaver Dam",1754,NA,"Raked out 11/1/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{8c5b5728-0cf3-4e15-9b27-982298d6e518}",4653301-08-31 20:00:00,"hpeterman",4653301-08-31 20:00:00,"hpeterman"
"6","Daniels Creek",2023,"Beaver Dam",1755,NA,"Raked 11/1/23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{05b87c67-a099-42bb-9e0f-3c48d2c585fa}",4653302-01-22 19:00:00,"hpeterman",4653302-01-22 19:00:00,"hpeterman"
"7","Daniels Creek",2023,"Beaver Dam",1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea/Hanna","{06a70ca2-aa74-4904-b0eb-dac4a8cd457e}",4653310-08-02 20:00:00,"hpeterman",4653310-08-02 20:00:00,"hpeterman"
"8","Daniels Creek",2023,"Channel Stability/Erosion",947,"Erosion_Scour","Needs livestakes, plugs","Stream Bank","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-01-27 00:00:00,"Installed livestakes, plugs and moved rock to stabilize banks","in-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-30 12:25:12,"hpeterman",2023-01-30 12:32:07,"hpeterman","Line",NA,NA,"Andrea/Hanna","{b57879a6-0d0e-4d85-889e-c71052f493ba}",2023-01-30 12:21:43,"hpeterman",2023-01-30 12:40:27,"athompson07"
"9","Daniels Creek",2023,"Channel Stability/Erosion",948,"Erosion_Scour","Needs livestakes around sills","Stream Bank","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,2,2023-01-27 00:00:00,"Installed livestakes above and below sills with existing or anticipated erosion","in-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-01-30 12:30:47,"hpeterman",2023-01-30 12:30:47,"hpeterman","Line",NA,NA,"Andrea/Hanna","{ce208fc8-a7cd-4831-9620-6ba996edb69f}",2023-01-30 12:29:09,"hpeterman",2023-02-06 14:38:43,"athompson07"
"10","Daniels Creek",2023,"Channel Stability/Erosion",1060,"Erosion_Scour",NA,"Stream Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea/Hanna","{1e8fb532-ff29-4d2b-aefa-85a79ebe4430}",4614000-11-01 20:00:00,"clanza",4614000-11-01 20:00:00,"clanza"
