"","Site","Year","Subtype","OBJECTID","InvSpecies_1","InvSpecies_2","InvSpecies_3","InvSpecies_4","InvSpecies_5","Mature","Issue_Desc","Issue","Issue_LocationOrFeature","Treated","Percent_CoverAffected_Veg","FollowUpReq","Severity","Percent_CoverAffected_1","Percent_CoverAffected_2","Percent_CoverAffected_3","Percent_CoverAffected_4","Percent_CoverAffected_5","Visibility_STEW","Visibility_MON","Resolved","Monitoring_Report","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue","ISSUE_ID_","Area_FtSq","Length_Ft","Treat_Desc","Contractor","InspDate","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Subtype.y","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CntrlEffective_","TreatDate","ISSUE_ID","Percent_CoverAffected","Extent","Lead_Steward","GlobalID"
"1","Daniel’s Creek",2022,"Failed Structure",1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","High",NA,NA,NA,NA,NA,"Yes","Yes","No",NA,2022-07-13 12:00:34,"lcostes",2022-09-14 09:29:41,"lcostes",NA,NA,NA,"Added plugs","In house",2036-02-05 01:28:16,NA,NA,NA,NA,NA,2,2022-09-14 09:29:45,"lcostes",2022-09-14 09:30:32,"lcostes",NA,2022-09-13 00:00:00,NA,NA,NA,"Lydie","{ab6d2ab9-b9c9-46df-8102-87a4902d0d5a}"
"2","Daniel’s Creek",2022,"In-Stream Vegetation",376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes","High",NA,NA,NA,NA,NA,"Yes","No","No",NA,2022-05-26 20:37:43,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,262.502545054673,"Murdannia removal","In-house",2036-02-05 01:28:16,NA,NA,NA,NA,NA,3,2022-06-01 21:18:49,"athompson07",2022-06-01 21:18:49,"athompson07",NA,2022-06-01 21:18:47,NA,NA,NA,"Lydie","{1240d855-f5de-4945-a2ba-c03067800452}"
"3","Daniel’s Creek",2022,"In-Stream Vegetation",375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes","Yes","Yes",NA,2022-05-26 20:36:47,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,487.503270942526,"Foliar","In-house",2036-02-05 01:28:16,NA,NA,NA,NA,NA,3,2022-06-01 21:17:29,"athompson07",2022-06-01 21:17:29,"athompson07",NA,2022-06-01 09:17:11,NA,NA,NA,"Lydie","{14c994e0-2c65-4eb5-b6e2-3bd0e7d0406f}"
"4","Daniel’s Creek",2022,"In-Stream Vegetation",371,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes","Yes","No",NA,2022-05-26 20:31:56,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,1756.49284321321,"Foliar","Native Roots",2036-02-05 01:28:16,NA,NA,NA,NA,NA,3,2022-05-31 16:24:15,"athompson07",2022-05-31 16:24:15,"athompson07",NA,2022-05-26 16:24:05,NA,NA,NA,"Lydie","{1b4d4f73-e25c-470f-af2e-a73855aa2bf0}"
"5","Daniel’s Creek",2022,"In-Stream Vegetation",369,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes","Yes","Yes",NA,2022-05-26 20:29:31,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,1090.56847213105,"Treated with glyphosate","Native Roots",2036-02-05 01:28:16,NA,NA,NA,NA,NA,3,2022-06-01 06:45:06,"athompson07",2022-06-01 06:45:06,"athompson07",NA,2022-05-26 06:44:54,NA,NA,NA,"Lydie","{31390598-0acb-4319-90a7-c60eca6000b7}"
"6","Daniel’s Creek",2022,"In-Stream Vegetation",377,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes","High",NA,NA,NA,NA,NA,"Yes","No","No",NA,2022-05-26 20:38:50,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,472.269522670038,NA,NA,2036-02-05 01:28:16,NA,NA,NA,NA,NA,0,2022-07-08 09:19:35,"athompson07",2022-07-08 09:19:35,"athompson07",NA,NA,NA,NA,NA,"Lydie","{548a5b59-2d0d-4555-a11f-4fdf487a2a79}"
"7","Daniel’s Creek",2022,"In-Stream Vegetation",367,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes","Yes","No",NA,2022-05-26 19:50:05,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,1091.39135522033,"In-stream veg removal with glyphosate","Native Roots",2036-02-05 01:28:16,NA,NA,NA,NA,NA,3,2022-05-31 15:52:30,"athompson07",2022-05-31 15:53:24,"athompson07",NA,2022-05-26 00:00:00,NA,NA,NA,"Lydie","{70c47f6a-f2af-4578-b0f8-76c4a31d26b9}"
"8","Daniel’s Creek",2022,"In-Stream Vegetation",370,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes",NA,"No",NA,2022-05-26 20:30:21,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,844.837832684743,"Treated with glyphosate ","Native Roots",2036-02-05 01:28:16,NA,NA,NA,NA,NA,3,2022-06-01 06:42:47,"athompson07",2022-06-01 06:42:47,"athompson07",NA,2022-05-26 06:42:35,NA,NA,NA,"Lydie","{9abeb23a-b8d3-4b4d-a1b8-2a543983d432}"
"9","Daniel’s Creek",2022,"In-Stream Vegetation",365,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes","Yes","No",NA,2022-05-26 19:45:29,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,1069.54448187186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%",NA,"Lydie","{885f5bcb-a3ef-4b8f-a013-17630e6e5b99}"
"10","Daniel’s Creek",2022,"In-Stream Vegetation",366,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","High",NA,NA,NA,NA,NA,"Yes","Yes","No",NA,2022-05-26 19:49:01,"athompson07",2022-08-08 16:07:30,"athompson07",NA,NA,1166.97073447127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%",NA,"Lydie","{0cf4042f-b1eb-4550-8fb4-237dc721079a}"
