"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Deep Meadow",2023,"5",991,"Mowing Encroachment","Barotroll outside the easement boundary",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,5,2023-03-01 00:00:00,"added horsetape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03 08:49:21,"ddixon0",2023-03-03 08:49:21,"ddixon0","Point",NA,NA,"Dominic","{a601dfd4-6371-429e-9c0e-1308830e9ce4}",2023-02-20 10:23:12,"sthompson_",2023-10-06 11:14:00,"lcostes"
"2","Deep Meadow",2023,"5",988,"Damaged Post","Down signpost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{77c56916-d443-4749-8967-3ab9b12a9fbe}",4592056-04-21 20:00:00,"sthompson_",4647117-05-16 20:00:00,"lcostes"
"3","Deep Meadow",2023,"Beaver Dam",950,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{10867e59-00d3-4d3b-a25b-740d5bab78bb}",4585873-07-19 20:00:00,"ddixon0",4647117-05-11 20:00:00,"lcostes"
"4","Deep Meadow",2023,"CE Encroachment",1077,"Mowing","added horse tape",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{6d1c159a-07c2-4540-a4f2-222ce07621f1}",4599813-03-02 19:00:00,"ddixon0",4647117-02-19 19:00:00,"lcostes"
"5","Deep Meadow",2023,"CE Encroachment",1078,"Mowing",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{f348f517-b38b-42e6-928c-42347580ad59}",4599814-09-23 20:00:00,"ddixon0",4647117-02-20 19:00:00,"lcostes"
"6","Deep Meadow",2023,"CE Encroachment",1079,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{029c4df1-c207-4ddf-9cfb-04b7d85627ba}",4599815-01-02 19:00:00,"ddixon0",4647117-02-21 19:00:00,"lcostes"
"7","Deep Meadow",2023,"CE Encroachment",1080,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{45d17bce-a7fc-4392-83e5-52eb4dee0772}",4599815-08-15 20:00:00,"ddixon0",4647117-02-22 19:00:00,"lcostes"
"8","Deep Meadow",2023,"CE Encroachment",1081,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{2233a60f-92c0-4b16-9c91-366f5f4752c5}",4599816-01-02 19:00:00,"ddixon0",4647117-02-23 19:00:00,"lcostes"
"9","Deep Meadow",2023,"CE Encroachment",1177,"Other","hay bales in easement",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{8be6be85-8f72-48e7-bb9b-491004abbc3e}",4621590-03-12 20:00:00,"ddixon0",4647117-02-27 19:00:00,"lcostes"
"10","Deep Meadow",2023,"CE Encroachment",1178,"Mowing","planting in easement",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{e46beea4-f5c3-4388-aa1c-370d376b1ad1}",4621590-05-06 20:00:00,"ddixon0",4647117-02-28 19:00:00,"lcostes"
"11","Deep Meadow",2023,"In-Stream Vegetation",1091,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{1da7fc55-787d-4831-847c-eee36adfc8a4}",4628685-05-25 20:00:00,"ddixon0",4647117-04-01 20:00:00,"lcostes"
"12","Deep Meadow",2023,"In-Stream Vegetation",1092,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{92a513d7-804d-4afc-b1ce-2c8f9f6f62fe}",4628685-06-24 20:00:00,"ddixon0",4647117-04-01 20:00:00,"lcostes"
"13","Deep Meadow",2023,"Vegetation Issue",1109,NA,"Box Elder Thinning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{334be7a5-872d-4c49-86df-772c648b2b05}",4607404-06-27 20:00:00,"ddixon0",4654728-11-30 19:00:00,"ddixon0"
"14","Deep Meadow",2023,"Weed Occurrence",1051,NA,NA,NA,"Medium","Bush Honeysuckle","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{e3acd29e-3c8d-4e32-9822-168a5af5b220}",4590851-03-02 19:00:00,"ddixon0",4647117-02-18 19:00:00,"lcostes"
"15","Deep Meadow",2023,"Weed Occurrence",987,NA,"Parrot feather in wetland ",NA,NA,"Parrot Feather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{e5574720-e0cd-4333-bee9-8e325138dc68}",4592044-07-07 20:00:00,"sthompson_",4647117-05-15 20:00:00,"lcostes"
"16","Deep Meadow",2023,"Weed Occurrence",992,NA,"Parrot Feather emergence ",NA,NA,"Parrot Feather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{438a1955-00b3-4e73-bd9d-416df9b520dd}",4593187-05-03 20:00:00,"sthompson_",4647117-05-18 20:00:00,"lcostes"
"17","Deep Meadow",2022,"5",800,NA,"Replace sign/pvc",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{737b25f0-4552-42fd-bf44-b2ed1f7829af}",4582373-03-18 20:00:00,"lcostes",4647117-05-05 20:00:00,"lcostes"
"18","Deep Meadow",2022,"CE Encroachment",910,NA,"Minor encroachment while missing proper corner marker. Planted corn crop",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{8b94d946-fbb5-43e8-b9c9-25a022cb58de}",4582373-04-23 20:00:00,"lcostes",4647117-02-05 19:00:00,"lcostes"
