"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Double H Farms",2023,"Channel Stability/Erosion",1028,"Erosion_Scour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{054d2389-7f29-49b7-a9ac-0816a7919e62}",4603124-12-03 19:00:00,"skirk1",4639776-01-29 19:00:00,"lcostes"
"2","Double H Farms",2023,"Failed Structure",1104,"Failed/Not Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{c624e851-cfec-4964-9961-6a6a84c531b8}",4603116-06-22 20:00:00,"skirk1",4639769-04-06 20:00:00,"lcostes"
"3","Double H Farms",2023,"Failed Structure",1105,"Failed/Not Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{a261380b-385d-4774-beb7-1238a40c99bc}",4603116-09-15 20:00:00,"skirk1",4639769-04-09 20:00:00,"lcostes"
"4","Double H Farms",2023,"Failed Structure",1106,"Failed/Not Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{5a8817a2-55d8-41ba-a4f7-3e9cc6e594f5}",4603116-11-20 19:00:00,"skirk1",4639769-04-10 20:00:00,"lcostes"
"5","Double H Farms",2023,"Failed Structure",1107,"Failed/Not Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{fab9d7cf-47a3-454d-a9be-b7dcb13f9d5f}",4603117-01-18 19:00:00,"skirk1",4639769-04-11 20:00:00,"lcostes"
"6","Double H Farms",2023,"Failed Structure",1108,"Erosion/Scoured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{9bcbdeb6-f5e4-4f2d-9185-e4ae4fee8de6}",4603118-01-30 19:00:00,"skirk1",4639769-04-12 20:00:00,"lcostes"
"7","Double H Farms",2023,"Failed Structure",1109,"Headcut","Riffle headcut ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{c0f59c0c-0b87-4d2b-bf04-344cd2338368}",4603118-05-14 20:00:00,"skirk1",4639769-04-12 20:00:00,"lcostes"
"8","Double H Farms",2023,"Failed Structure",1110,"Other","Too much incision/drop on structure ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{163695ac-781d-433c-9dc3-9fe40121b111}",4603121-09-02 20:00:00,"skirk1",4639769-04-17 20:00:00,"lcostes"
"9","Double H Farms",2023,"Failed Structure",1111,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{797479ff-080c-4ea2-af80-045f17926f9e}",4603123-03-03 19:00:00,"skirk1",4639769-04-16 20:00:00,"lcostes"
"10","Double H Farms",2023,"Failed Structure",1112,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{6dea351b-a586-4ea0-ba35-f3a3738efc36}",4603123-04-14 20:00:00,"skirk1",4639769-04-19 20:00:00,"lcostes"
"11","Double H Farms",2023,"Failed Structure",1114,"Erosion/Scoured",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{d93f888f-280f-4755-a8bd-b17967785cea}",4603136-08-02 20:00:00,"skirk1",4639769-04-21 20:00:00,"lcostes"
