"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Double H",2022,"Failed Structure",734,"Piping",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,2,2022-09-27 16:50:43,"Repair","Wildlands Construction",NA,"Machine",NA,NA,NA,NA,NA,2022-09-27 12:00:00,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Sam","{2a7f0c66-4644-4a26-8aa5-68d359f07ed1}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"2","Double H",2022,"Failed Structure",378,NA,"Left bank behind Boulder toe has collapsed. Appears to have started piping",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{12caa7b1-65aa-41d7-af23-83cc48dd0676}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"3","Double H",2022,"Failed Structure",379,NA,"Right bank, in front of Boulder toe, has collapsed ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{92e8695c-aed8-4d73-90f0-a44ca4298d13}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"4","Double H",2022,"Failed Structure",796,"Piping",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{56a04f69-f07e-40a5-aa62-39b79af17764}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"5","Double H",2022,"Failed Structure",797,"Piping",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{6d765834-52ca-4540-a190-dc9d21861201}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Double H",2022,"Failed Structure",798,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{dd818574-bba3-4f24-9761-8fad35193722}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"7","Double H",2022,"Failed Structure",799,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{651d4f67-9219-4a39-abfc-2ae70a442121}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"8","Double H",2022,"Failed Structure",836,"Piping",NA,"Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{94b4a887-68fd-451c-ac02-1f777091d04b}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"9","Double H",2022,"Misc",376,NA,"Culvert eroding away ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{9a24e3a5-b6fe-4c4e-b84f-16d4f6c81389}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"10","Double H",2022,"Misc",377,NA,"Downed tree. Is not affecting flow currently ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{85e4be08-53f0-473d-b56d-ee80d4e0b502}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"11","Double H",2022,"Vegetation Issue",784,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,9166.689453125,415.681854179943,2,2022-07-19 00:00:00,"Seeding/Amendments added","In house",NA,NA,NA,NA,NA,NA,NA,2022-07-19 12:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{cf0e7962-c80b-486a-bdca-739777ade522}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"12","Double H",2022,"Vegetation Issue",788,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,7872.77075195312,417.138597742748,2,2022-07-19 00:00:00,"Seeding/ Amendments added","In house",NA,NA,NA,NA,NA,NA,NA,2022-07-19 19:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{e16bf08a-6c50-4c4d-a6f1-dfc64efb2ae3}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"13","Double H",2022,"Vegetation Issue",788,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,7872.77075195312,417.138597742748,2,2022-09-27 14:52:29,"Stabilization","Wildlands Construction",NA,NA,NA,NA,NA,NA,NA,2022-09-27 11:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{e16bf08a-6c50-4c4d-a6f1-dfc64efb2ae3}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"14","Double H",2022,"Vegetation Issue",794,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,3699.02185058594,237.936692148151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{33b29f6d-a9a2-480b-9a47-02170cde7a1b}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"15","Double H",2022,"Vegetation Issue",795,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,3699.02185058594,237.936692148151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{5413f6a0-8462-4404-8eb8-d49c44c04948}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"16","Double H",2022,"Vegetation Issue",796,"Bare Areas",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,2107.69030761719,187.547730903382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sam","{3da54167-7dd5-4da6-8479-4ca257be5ab3}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"17","Double H",2022,"Weed Occurrence",662,NA,NA,NA,"Low","Multiflora Rose","26-50%","Oriental Bittersweet","1-5%","Japanese Barberry","<1%","English Ivy","<1%",NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,90677.8795166016,1983.61116897408,1,2022-09-28 00:00:00,"Herbicide","Ecoforesters",NA,"Backpack Spray","Triclopyr",NA,NA,NA,NA,2022-09-28 12:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{1b89e054-7717-4c4c-afbe-cec4566d6aa7}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"18","Double H",2022,"Weed Occurrence",650,NA,"Small bittersweet sprouts throughout the wooded area ",NA,"Low","Multiflora Rose","6-25%","Oriental Bittersweet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,8468.02551269531,703.758352415366,1,2022-09-27 08:00:00,"Herbicide","Ecoforesters",NA,"Backpack Spray","Triclopyr",NA,NA,NA,NA,2022-09-27 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{688c7098-f4c0-4330-b1b7-a77e6dabc380}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"19","Double H",2022,"Weed Occurrence",781,NA,NA,NA,"Medium","Multiflora Rose","1-5%","Oriental Bittersweet","1-5%","Japanese Barberry","1-5%",NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,1247.7138671875,153.859316231798,1,2022-09-27 00:00:00,"Herbicide","Ecoforesters",NA,"Backpack Spray","Triclopyr",NA,NA,NA,NA,2022-09-27 10:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{93621399-5748-474c-a869-ece8fd12234b}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"20","Double H",2022,"Weed Occurrence",651,NA,"Thistle ",NA,"Low","Multiflora Rose","1-5%","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,727.914428710938,113.294963804097,0,2022-09-27 00:00:00,"Herbicide Backpack Spray",NA,NA,NA,NA,NA,NA,NA,NA,2022-09-27 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{c3fbb2eb-6485-433d-b73a-59518d4f38e0}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"21","Double H",2022,"Weed Occurrence",652,NA,NA,NA,"Low","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,2056.55822753906,202.471382883754,1,2022-09-27 12:00:00,"Herbicide","Ecoforesters",NA,"Backpack Spray","Triclopyr",NA,NA,NA,NA,2022-09-27 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{c5b94acb-ad81-4ceb-a55f-31346bc1842d}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"22","Double H",2022,"Weed Occurrence",497,NA,NA,NA,"Low","Multiflora Rose","6-25%","Oriental Bittersweet","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,60351.8937988281,1148.99423149794,1,2021-06-30 08:00:00,"Pre-construction invasive treatment","In house",NA,"Backpack Spray","Glyphosate",NA,NA,NA,NA,2021-06-30 08:00:00,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Sam","{cc8b66b9-00c7-4c14-89c0-1816ecb7d175}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
