"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Double Rock",2023,"5",957,"Other","Damaged monument ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{d259fa5e-3c10-4d4b-9324-cb33f33a6f71}",4588690-06-19 20:00:00,"skirk1",4619916-07-18 20:00:00,"lcostes"
"2","Double Rock",2023,"5",961,"Other","Cap not stamped ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{a2f93f8d-f287-4001-a0d4-dd47ad1e41fc}",4588692-07-10 20:00:00,"skirk1",4619916-08-30 20:00:00,"lcostes"
"3","Double Rock",2023,"5",1276,"Damaged/Missing Sign","No easement signage on corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{38da2dc8-4f51-4e46-b75b-38561014b5bb}",4618491-01-30 19:00:00,"awissner",4619918-11-04 19:00:00,"lcostes"
"4","Double Rock",2023,"5",1414,"Damaged/Missing Sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{19a55646-2cde-4dd9-b448-0e589ab6ebb3}",4626799-02-10 19:00:00,"skirk1",4626799-02-10 19:00:00,"skirk1"
"5","Double Rock",2023,"Misc",1590,NA,"pp 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{98de6515-a22e-40fb-b331-5b59cc75525f}",4641676-07-21 20:00:00,"awissner",4654734-12-18 19:00:00,"lcostes"
"6","Double Rock",2023,"Misc",1591,NA,"pp 2,3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{0e874b88-6340-496a-a320-02c91a2396d8}",4641678-04-21 20:00:00,"awissner",4648782-09-07 20:00:00,"awissner"
"7","Double Rock",2023,"Misc",1592,NA,"pp 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{32061715-1d97-4e3a-837b-d8fe37a7907d}",4641678-10-11 20:00:00,"awissner",4648782-09-21 20:00:00,"awissner"
"8","Double Rock",2023,"Misc",1593,NA,"pp 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{28664d3c-6903-4515-979d-7ee561003c83}",4641679-04-05 20:00:00,"awissner",4656125-09-20 20:00:00,"awissner"
"9","Double Rock",2023,"Misc",1595,NA,"pp 6,7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{b1763791-9c66-4b41-8384-c4bb24002524}",4641681-02-27 19:00:00,"awissner",4648782-01-06 19:00:00,"awissner"
"10","Double Rock",2023,"Misc",1596,NA,"pp 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{512bd376-3552-46fd-818a-9bb7d98cf2be}",4641682-05-21 20:00:00,"awissner",4648781-12-20 19:00:00,"awissner"
