"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Dry Creek",2023,"5",1555,"Damaged Fence","Tree on fence, 30 ft of fence down ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{70a764a8-07ad-471a-816f-3afbb197d8f0}",4638365-04-05 20:00:00,"hpeterman",4638365-04-05 20:00:00,"hpeterman"
"2","Dry Creek",2023,"5",1842,"Damaged/Missing Sign","Add sign to t-post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{fbb45bde-46ca-482d-b68f-9887e7931575}",4661574-01-11 19:00:00,"hpeterman",4661574-01-11 19:00:00,"hpeterman"
"3","Dry Creek",2023,"Beaver Dam",1464,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{e865c41a-9e88-47e3-a49e-f4d219c39459}",4630075-02-28 19:00:00,"hpeterman",4644514-08-06 20:00:00,"hpeterman"
"4","Dry Creek",2023,"Boundary Issue",1120,"Cattle","Cattle accessing CE thru low spot under fence","Fence","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{0c7a90b9-9fdf-4e05-a472-3c4e819150b3}",4638097-01-09 19:00:00,"hpeterman",4638350-08-05 20:00:00,"hpeterman"
"5","Dry Creek",2023,"Channel Stability/Erosion",1030,"Erosion_Scour","Add ~10 black willow live stakes","Stream Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{daa5db1d-a0fd-44cd-9bbe-faded1f511c6}",4604788-12-11 19:00:00,"hpeterman",4661581-12-30 19:00:00,"hpeterman"
"6","Dry Creek",2023,"Failed Structure",1778,"Other","Holes in bank",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{cf667b68-4fea-4a36-97eb-5666a08ed97d}",4654955-07-30 20:00:00,"hpeterman",4654955-07-30 20:00:00,"hpeterman"
"7","Dry Creek",2023,"Failed Structure",1838,"Erosion/Scoured","Armor toe w rock",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{8a02d4e4-d38b-41da-9347-7efecf2d9239}",4661546-11-23 19:00:00,"hpeterman",4661546-11-23 19:00:00,"hpeterman"
"8","Dry Creek",2023,"In-Stream Vegetation",1100,NA,"Murdannia in riffles, on banks",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-07-26 00:00:00,"Foliar 3% solution","In-house",NA,"Backpack Spray","Glyphosate",NA,NA,NA,NA,NA,NA,2023-07-31 13:47:08,"hpeterman",2023-07-31 13:47:08,"hpeterman","Line","1-5%",NA,"Hanna","{569a8e88-63df-411b-ac3e-85c4d776cdf8}",2023-07-31 13:46:38,"hpeterman",2023-07-31 13:46:38,"hpeterman"
"9","Dry Creek",2023,"In-Stream Vegetation",1099,NA,"Murdannia, Ludwigia in riffles, edges of pools",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-07-26 00:00:00,"Foliar 3% solution","In-house",NA,"Backpack Spray","Glyphosate",NA,NA,NA,"Yes",2023-08-15 00:00:00,"76-100%",2023-07-31 13:45:27,"hpeterman",2023-08-15 14:19:52,"hpeterman","Line","6-25%",NA,"Hanna","{fd663848-adef-4203-ab6b-c7bdf761cc5f}",2023-07-31 13:44:47,"hpeterman",2023-07-31 13:44:47,"hpeterman"
"10","Dry Creek",2023,"In-Stream Vegetation",1099,NA,"Murdannia, Ludwigia in riffles, edges of pools",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-08-25 00:00:00,"3 % foliar solution retreatment","in house",NA,"Backpack Spray","Glyphosate",NA,NA,NA,"Yes",2023-08-25 00:00:00,"51-75%",2023-09-25 11:11:15,"hpeterman",2023-09-25 11:11:38,"hpeterman","Line","6-25%",NA,"Hanna","{fd663848-adef-4203-ab6b-c7bdf761cc5f}",2023-07-31 13:44:47,"hpeterman",2023-07-31 13:44:47,"hpeterman"
