"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Dudley Pond",2023,"5",1334,"Damaged/Missing Sign","Replace sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{5831f65b-af22-4cb6-aacd-2a1072ece39b}",4621601-12-30 19:00:00,"hpeterman",4654734-11-16 19:00:00,"lcostes"
"2","Dudley Pond",2023,"5",1335,"Damaged/Missing Sign","Replace sign, tree posted with flagging/blazes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{4000224c-0fe3-4d76-8b46-3031816a9aee}",4621602-03-20 20:00:00,"hpeterman",4621602-03-20 20:00:00,"hpeterman"
"3","Dudley Pond",2023,"5",1336,"Damaged/Missing Sign","Replace sign, yellow t-post at corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{dd626400-c9d5-4449-9047-7bf1f834dcbb}",4621602-05-04 20:00:00,"hpeterman",4621602-05-04 20:00:00,"hpeterman"
"4","Dudley Pond",2023,"5",1337,"Damaged/Missing Sign","Replace sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{571380ef-f73d-478b-b1b3-f9eabf73a3e5}",4621602-06-15 20:00:00,"hpeterman",4621602-06-15 20:00:00,"hpeterman"
"5","Dudley Pond",2023,"5",1338,"Damaged/Missing Sign","Replace sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{9e01a971-777b-4b4b-a7be-76ab53df7355}",4621602-07-23 20:00:00,"hpeterman",4621602-07-23 20:00:00,"hpeterman"
"6","Dudley Pond",2023,"5",1743,NA,"add signpost",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{f7cc356d-a092-49e0-adf7-99b5ccb913f4}",4653098-06-25 20:00:00,"athompson07",4653098-06-25 20:00:00,"athompson07"
"7","Dudley Pond",2023,"Boundary Issue",1221,"Mowing","Neighbor mowed over impoundment. Added polytape.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{87a71556-b18f-4bc0-ba07-6ab446336704}",4663680-01-18 19:00:00,"athompson07",4663680-01-18 19:00:00,"athompson07"
"8","Dudley Pond",2023,"CE Encroachment",1157,"Mowing","ADD SIGN. scalloped in, still harvested corn despite polytape.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-07-13 00:00:00,"added polytape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-22 08:58:40,"athompson07",2023-09-22 08:58:40,"athompson07","Poly",NA,NA,"Andrea","{07ee0d0f-7b01-4475-b5b9-cbde4285c151}",2023-06-02 17:14:17,"athompson07",2023-10-31 18:02:30,"athompson07"
"9","Dudley Pond",2023,"CE Encroachment",1179,"Other","Grazing","Fence","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{4d10d646-9309-4578-9d4f-3ca7df0a9af6}",4621601-08-16 20:00:00,"hpeterman",4621601-08-16 20:00:00,"hpeterman"
"10","Dudley Pond",2023,"Channel Stability/Erosion",1136,"Erosion_Scour","bank eroded back about 8 feet. water swirling. inside bend widening. brush toe washout","Stream Bank","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{efd959a0-1c32-410d-ba4c-eb2421712e39}",4643558-01-07 19:00:00,"athompson07",4663679-11-23 19:00:00,"athompson07"
