"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Dynamite Creek",2023,"5",1652,NA,"Low point in fence, add barbed wire",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{fe821138-6d5b-48b6-88c5-f5006f1a47e0}",4647120-10-07 20:00:00,"hpeterman",4656593-07-24 20:00:00,"hpeterman"
"2","Dynamite Creek",2023,"Failed Structure",1007,"Erosion/Scoured","add live stakes - Cabin Creek reforming 2nd confluence","Bank Protection Structure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{4718394c-59fa-4a85-945b-5c2e1de06b97}",4595095-06-10 20:00:00,"cneaves1",4644516-08-23 20:00:00,"hpeterman"
"3","Dynamite Creek",2023,"Failed Structure",1831,"Erosion/Scoured","Scour around both edges of rock sill. Exit point of subsurface flow??",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{ee0901d8-aff7-4d1a-ab1a-988cb26f900d}",4660378-02-26 19:00:00,"hpeterman",4663418-12-07 19:00:00,"hpeterman"
"4","Dynamite Creek",2023,"In-Stream Vegetation",1102,NA,"Murdannia in channel",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-08-09 00:00:00,"Foliar 3% solution","In-house",NA,"Backpack Spray","Glyphosate",NA,NA,NA,NA,NA,NA,2023-08-10 08:22:21,"hpeterman",2023-08-10 08:22:21,"hpeterman","Line","1-5%",NA,"Hanna","{86cbe253-acc2-421e-aa1f-0b888f9e96c9}",2023-08-10 08:21:48,"hpeterman",2023-09-05 10:25:24,"lcostes"
"5","Dynamite Creek",2023,"Misc",933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{781a442c-6721-4f0e-8508-84bbe3a6b136}",4583761-12-19 19:00:00,"lcostes",4583761-12-19 19:00:00,"lcostes"
"6","Dynamite Creek",2023,"Needs Livestakes",1141,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,4,2023-12-01 09:03:00,"Planted ~20 black willow live stakes ","In-house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-04 09:04:27,"hpeterman",2023-12-04 09:04:27,"hpeterman","Line",NA,NA,"Hanna","{8e2aef04-d2df-4319-af66-1436a0014e72}",2023-09-28 15:49:59,"hpeterman",2023-12-04 09:03:45,"hpeterman"
"7","Dynamite Creek",2023,"Soil Sample",1477,NA,"Sample code DYN01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{fd9f58ef-e471-4be9-9f4e-ff135c03a9e3}",4633409-01-18 19:00:00,"hpeterman",4633409-01-18 19:00:00,"hpeterman"
"8","Dynamite Creek",2023,"Soil Sample",1478,NA,"Sample code DYN02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{f7f49045-84ee-433f-bc88-88dde7a92049}",4633410-08-25 20:00:00,"hpeterman",4633410-08-25 20:00:00,"hpeterman"
"9","Dynamite Creek",2023,"Soil Sample",1479,NA,"Sample code DYN03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{13b758dc-c6e1-43c7-a44f-b149d2332276}",4633414-05-31 20:00:00,"hpeterman",4633414-05-31 20:00:00,"hpeterman"
"10","Dynamite Creek",2023,"Weed Occurrence",1398,NA,"Scattered honeysuckle",NA,"Medium","Japanese Honeysuckle","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Hanna","{a5e31a7e-65a4-4d3e-b0e1-9a3b93f63fe8}",4660368-06-18 20:00:00,"hpeterman",4660368-06-18 20:00:00,"hpeterman"
