"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","East Buffalo",2023,"5",1371,"Damaged/Missing Sign","utility maintenance boundary sign can go on flagged t-post using clips or zip ties ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{6c3ae872-f7a4-481f-953a-d1b24d478967}",4623499-04-21 20:00:00,"athompson07",4639834-11-11 19:00:00,"lcostes"
"2","East Buffalo",2023,"Channel Stability/Erosion",964,"Erosion_Scour","Small trib heavily eroding along banks. Live stakes should fix it.",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-02-15,"added about 15 live stakes along short bit of erosion","Joe!",1,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-16 14:33:25,"jlovenshimer",2023-02-16 14:33:25,"jlovenshimer","Line",NA,NA,"Joe","{a08f2ea3-d929-458e-b15a-f915ce7b5476}",2023-02-16 14:32:39,"jlovenshimer",2023-02-16 14:32:39,"jlovenshimer"
"3","East Buffalo",2023,"Failed Structure",1342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{507d9aef-021a-4e99-b73d-d56095fa3114}",4621800-05-07 20:00:00,"wlasheville2",4621800-05-07 20:00:00,"wlasheville2"
"4","East Buffalo",2023,"Failed Structure",1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{bb8fd84c-b965-43d5-af8c-295d8c2469b3}",4621800-09-16 20:00:00,"wlasheville2",4621800-09-16 20:00:00,"wlasheville2"
"5","East Buffalo",2023,"Failed Structure",1344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{be71724c-aff2-4eb4-ab30-7d8a527dd177}",4621800-10-25 20:00:00,"wlasheville2",4621800-10-25 20:00:00,"wlasheville2"
"6","East Buffalo",2023,"Failed Structure",1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{668e1369-0d2d-411e-bbb2-c8ca926d50d3}",4621800-11-24 19:00:00,"wlasheville2",4621800-11-24 19:00:00,"wlasheville2"
"7","East Buffalo",2023,"Failed Structure",1346,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{fa9e4efe-2f2f-49a0-a13a-f7a9b01d3965}",4621812-05-18 20:00:00,"wlasheville2",4621812-07-21 20:00:00,"wlasheville2"
"8","East Buffalo",2023,"Failed Structure",1415,"Failed/Not Functional","Water flowing under log",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{726e927f-94ea-4536-96e1-4903b367b816}",4626536-08-13 20:00:00,"jlovenshimer",4626536-08-13 20:00:00,"jlovenshimer"
"9","East Buffalo",2023,"Failed Structure",1447,NA,"Water flowing around rock structure on either side",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{9b69d3a1-c6b6-45ac-bd7a-b73f9b7f12b9}",4628186-02-23 19:00:00,"wlasheville2",4628186-02-23 19:00:00,"wlasheville2"
"10","East Buffalo",2023,"Failed Structure",1452,NA,"Flowing under rifle just to a bit then flows out into next pool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{da394237-99a2-4202-a0ab-43bfcc15af3a}",4628433-02-11 19:00:00,"wlasheville2",4628433-02-11 19:00:00,"wlasheville2"
