"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Falcon",2023,"Soil Sample",1323,NA,"F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{da0ced5c-1908-4ab9-b531-2eb011e1a3d7}",4621317-12-13 19:00:00,"jlovenshimer",4621317-12-13 19:00:00,"jlovenshimer"
"2","Falcon",2023,"Soil Sample",1324,NA,"F2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{900e530c-fb99-46a6-a485-19f69c0a728a}",4621319-12-04 19:00:00,"jlovenshimer",4621320-05-08 20:00:00,"jlovenshimer"
"3","Falcon",2023,"Soil Sample",1325,NA,"F4, taken ~2' deep pre-construction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{4f566975-ef9f-49e2-8a47-ce05bdef6ac3}",4621320-02-12 19:00:00,"jlovenshimer",4621320-04-25 20:00:00,"jlovenshimer"
"4","Falcon",2023,"Soil Sample",1326,NA,"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{dfbc5591-f726-4b17-af67-76bcfa7bdf6c}",4621320-04-20 20:00:00,"jlovenshimer",4621320-05-17 20:00:00,"jlovenshimer"
"5","Falcon",2023,"Soil Sample",1327,NA,"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{fd678754-67c6-48a0-8e74-b1499a1c9770}",4621321-01-05 19:00:00,"jlovenshimer",4621321-01-05 19:00:00,"jlovenshimer"
"6","Falcon",2023,"Soil Sample",1328,NA,"F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{76429a4a-4216-459e-8352-8e08d037b16a}",4621321-02-02 19:00:00,"jlovenshimer",4621321-02-02 19:00:00,"jlovenshimer"
"7","Falcon",2023,"Soil Sample",1329,NA,"F7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{e5d1f644-d413-4e28-8536-81ebf035a503}",4621321-03-25 20:00:00,"jlovenshimer",4621321-03-25 20:00:00,"jlovenshimer"
"8","Falcon",2023,"Soil Sample",1330,NA,"F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{a8630de1-4328-46f6-a173-7e0f4495e198}",4621321-05-23 20:00:00,"jlovenshimer",4621321-05-23 20:00:00,"jlovenshimer"
"9","Falcon",2022,"Misc",801,NA,"Large established arundinaria ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{8f57b3f9-221b-4211-b0ba-ea71f5083144}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"10","Falcon",2022,"Misc",802,NA,"Large established arundinaria. Expand and make zone",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{23497b26-f15d-402d-858b-758d7fc8dfa4}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"11","Falcon",2022,"Misc",450,NA,"Established arundinaria ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{19accc7b-96a2-4d18-ba58-7bb6a9ba7a0e}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"12","Falcon",2022,"Misc",452,NA,"Arundinaria. Maybe transplant ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{55179acc-c34c-44f3-b96d-ab31dd463e98}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"13","Falcon",2022,"Misc",454,NA,"Large arundinaria patch. Make its own zone. Transplant into existing pasture. Sow clover. Remove existing trees in break ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{6207163e-38dc-4e1f-a529-d67cff16af8c}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"14","Falcon",2022,"Misc",457,NA,"Sacrifice area",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{16d188af-0e82-4ace-821f-217f421ce5db}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"15","Falcon",2022,"Misc",461,NA,"Small arundinaria patch",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{4974b8d0-45da-40a8-9cfc-d7f3fd7176bb}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"16","Falcon",2022,"Misc",464,NA,"Established arundinaria. Maybe a zone ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{59ba1d31-c0a9-40a2-a015-4439c8c2fc35}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"17","Falcon",2022,"Misc",466,NA,"Arundinaria on both sides of road. Will be impacted by crossing ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{2853e38e-781c-4028-8e17-cf2b8a3b457f}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"18","Falcon",2022,"Misc",470,NA,"Arundinaria. Established. 1,000 sq feet",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{8f9985a3-ecd1-44ca-a0e2-d60192fd2602}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"19","Falcon",2022,"Weed Occurrence",798,NA,"Garden variety weeds mixed into large point bar. Learn about stream plans to decide on treatment ",NA,"Medium","Autumn Olive","1-5%","Multiflora Rose","6-25%","Chinese Privet","1-5%","Callery Pear","<1%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{3b3fee4a-611b-4f8d-a914-98a72b3d6ec9}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"20","Falcon",2022,"Weed Occurrence",799,NA,NA,NA,"Low","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{8c52b414-b0c2-43df-94eb-1cff663f2f00}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"21","Falcon",2022,"Weed Occurrence",800,NA,"Mixed into high quality cove. Treat in early bud burst ",NA,"Medium","Multiflora Rose","6-25%","Autumn Olive","1-5%","Japanese Honeysuckle","1-5%","Chinese Privet","<1%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{46a0ee32-0f84-4663-a209-3cd3ee4a0d5b}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"22","Falcon",2022,"Weed Occurrence",803,NA,"Some spriraea mixed in ",NA,"Medium","Multiflora Rose","26-50%","Autumn Olive","1-5%","OTHER","<1%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{694bf427-4aec-44c2-87ce-8fde740b78db}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"23","Falcon",2022,"Weed Occurrence",804,NA,"Remove during construction ",NA,"Medium","Multiflora Rose","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{6a94a9db-4cd6-473f-b7ba-f703fc315b7c}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"24","Falcon",2022,"Weed Occurrence",446,NA,NA,NA,"Low","Autumn Olive","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{e9dcef24-af58-4210-bce3-8b7a1f5641e0}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"25","Falcon",2022,"Weed Occurrence",447,NA,NA,NA,"Low","Autumn Olive","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{f292ddee-abed-46f6-ae78-27959610aa8e}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"26","Falcon",2022,"Weed Occurrence",448,NA,NA,NA,"Low","Callery Pear","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{6ad3ac07-efbd-4b95-98d1-830f2599906d}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"27","Falcon",2022,"Weed Occurrence",449,NA,NA,NA,"Low","Autumn Olive","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{d3835934-6002-4c7a-864e-92ee1eccc36f}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"28","Falcon",2022,"Weed Occurrence",451,NA,"Bush honeysuckle ",NA,"Low","Bush Honeysuckle","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{30354005-3293-4e10-b24f-e695c30d2997}",4582373-03-18 20:00:00,"lcostes",4646907-01-05 19:00:00,"lcostes"
"29","Falcon",2022,"Weed Occurrence",453,NA,NA,NA,"Low","Multiflora Rose","26-50%","Japanese Honeysuckle","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{edc8cbbc-61f4-4e4d-bb14-4f16d637b514}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"30","Falcon",2022,"Weed Occurrence",455,NA,NA,NA,"Low","Multiflora Rose","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{ca962f80-970e-49b1-a723-46eb156ffb8b}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"31","Falcon",2022,"Weed Occurrence",456,NA,NA,NA,"Low","Multiflora Rose","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{52d787d8-ae5b-44d8-87c5-2077611113b8}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"32","Falcon",2022,"Weed Occurrence",458,NA,NA,NA,"Low","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{a375b19b-b427-4aec-8ffc-a7433f973519}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"33","Falcon",2022,"Weed Occurrence",459,NA,NA,NA,"Low","Multiflora Rose","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{5849b313-2e8d-440a-8f1a-720206d4d177}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"34","Falcon",2022,"Weed Occurrence",460,NA,"Japanese spiraea ",NA,"Low","OTHER","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{817908a8-834b-4b91-9ce4-083d1a607fb4}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"35","Falcon",2022,"Weed Occurrence",462,NA,NA,NA,"Low","Multiflora Rose","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{6c89e4f2-112e-4f24-9024-89ce8d657cfb}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"36","Falcon",2022,"Weed Occurrence",465,NA,NA,NA,"Low","Multiflora Rose","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{31fc3534-fc29-48c2-a568-f8dfa78b6e6e}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
