"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Falling Creek",2023,"5",956,"Damaged/Missing Sign","Needs post and sign?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{13bc0903-a5be-4e6c-9ed7-38f91cfa3f82}",4588487-07-28 20:00:00,"hpeterman",4600272-09-14 20:00:00,"ncurtis1"
"2","Falling Creek",2023,"Boundary Issue",1182,"Other","Restaple middle strand of barbed wire ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{b05de0e6-694d-4e91-b459-5ced903f73a0}",4657054-05-14 20:00:00,"hpeterman",4657054-05-14 20:00:00,"hpeterman"
"3","Falling Creek",2023,"Channel Stability/Erosion",1006,"Other","No flow. Spring fed further down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{c3a66528-8ed4-4727-a1c6-cc017d4fc80f}",4600283-09-10 20:00:00,"ncurtis1",4600283-09-10 20:00:00,"ncurtis1"
"4","Falling Creek",2023,"In-Stream Vegetation",1008,NA,"Isv Tx needed",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{182151e8-62f7-4cc9-9bac-f4a1bb62541b}",4600290-02-11 19:00:00,"ncurtis1",4600290-02-11 19:00:00,"ncurtis1"
"5","Falling Creek",2023,"Misc",1285,NA,"Repair area left bank LOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Hanna","{52eb7536-4088-486e-b89d-91eedc129490}",4636743-11-16 19:00:00,"ncurtis1",4636743-11-16 19:00:00,"ncurtis1"
"6","Falling Creek",2023,"Misc",1286,NA,"Repair area right bank LOD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Hanna","{7a94d4ac-7523-4b27-9328-8a7e65c4fc28}",4636746-08-14 20:00:00,"ncurtis1",4636746-08-14 20:00:00,"ncurtis1"
"7","Falling Creek",2023,"Misc",1787,NA,"tree down on fence",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-12-13 00:00:00,"Fence work/clearing completed by Hanna",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2023-12-18 10:38:21,"ncurtis1",2023-12-18 10:38:21,"ncurtis1","Point",NA,NA,"Hanna","{fab4750e-58b5-49bf-9378-664d13d71265}",2023-11-09 14:03:17,"ncurtis1",2023-12-13 10:08:12,"hpeterman"
"8","Falling Creek",2023,"Misc",1779,NA,"tree down on fence",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{a591377a-63d7-40d2-a3ff-6688efc56ba6}",4655158-05-16 20:00:00,"ncurtis1",4659644-12-19 19:00:00,"lcostes"
"9","Falling Creek",2023,"Misc",1780,NA,"Tree down on fence",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{0130ef5d-07f4-4967-bb77-4ce2d0990c40}",4655161-10-07 20:00:00,"ncurtis1",4659645-01-07 19:00:00,"lcostes"
"10","Falling Creek",2023,"Misc",1786,NA,"tree down on fence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{1f163ce2-2fda-4952-a30b-af9ee096fa7d}",4655190-09-19 20:00:00,"ncurtis1",4655190-09-19 20:00:00,"ncurtis1"
