"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Firestone",2023,"5",1495,"Damaged Fence","Easy fix, staple back ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{974cea3c-5f1b-446e-b96c-be585cd43b27}",4635082-01-05 19:00:00,"skirk1",4639790-02-12 19:00:00,"lcostes"
"2","Firestone",2023,"5",1585,"Mowing Encroachment","Mowing and equipment on easement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{48d72cae-bdc9-49a6-b4df-9336ec82414d}",4641668-08-10 20:00:00,"awissner",4647106-10-29 20:00:00,"lcostes"
"3","Firestone",2023,"CE Encroachment",1156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{0c2e2b16-42ff-4f5a-9db4-4ee57a313e9d}",4616828-05-14 20:00:00,"jturner2",4616828-05-14 20:00:00,"jturner2"
"4","Firestone",2023,"CE Encroachment",1185,"Other","Riprap encroachment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{e845d20f-dd9e-4f2d-90e3-b7ce4dabb87b}",4623949-07-26 20:00:00,"jturner2",4623949-07-26 20:00:00,"jturner2"
"5","Firestone",2023,"CE Encroachment",1186,"Other","Riprap encroachment ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{0a10a097-2aae-441e-8008-fe7c4de28c7e}",4623949-09-18 20:00:00,"jturner2",4623949-09-18 20:00:00,"jturner2"
"6","Firestone",2023,"CE Encroachment",1187,"Cattle","Fencing allows cattle access",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{9a90440d-1a4f-4133-9bad-7aaa1989f8f9}",4623960-04-18 20:00:00,"jturner2",4623960-04-18 20:00:00,"jturner2"
"7","Firestone",2023,"CE Encroachment",1304,"Mowing","Mowing and equipment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{6cf7026e-7da3-402e-8ce6-d8530f557a58}",4641668-11-12 19:00:00,"awissner",4646954-01-30 19:00:00,"lcostes"
"8","Firestone",2023,"Channel Stability/Erosion",1076,"Erosion_Scour","Rb erosion 3ft","Stream Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{1c48d639-30d1-46ed-91a4-2d98ac282e9e}",4616826-03-08 20:00:00,"jturner2",4616826-03-08 20:00:00,"jturner2"
"9","Firestone",2023,"Channel Stability/Erosion",1077,"Erosion_Scour","Lb 5ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{d1259327-b971-4b0a-8ddc-4b61fca16130}",4616827-02-28 19:00:00,"jturner2",4616827-02-28 19:00:00,"jturner2"
"10","Firestone",2023,"Failed Structure",1359,"Failed/Not Functional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{766be459-34ce-421e-b69c-928c1023db33}",4623238-02-11 19:00:00,"skirk1",4623238-02-11 19:00:00,"skirk1"
