"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Flat Rock",2023,"Beaver Dam",1179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{f202661a-f459-4c57-8085-8aa319d3fdfd}",4610679-02-11 19:00:00,"aradecki1",4610679-04-08 20:00:00,"aradecki1"
"2","Flat Rock",2023,"Beaver Dam",1463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{e96be37c-17f3-4253-9b37-b7257a139966}",4629850-07-09 20:00:00,"aradecki1",4629850-07-09 20:00:00,"aradecki1"
"3","Flat Rock",2023,"Misc",1266,NA,"Milkweed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{f21a98e2-9d54-41ca-be27-035fc708f782}",4618257-03-14 20:00:00,"aradecki1",4618257-03-14 20:00:00,"aradecki1"
"4","Flat Rock",2023,"Soil Sample",1262,NA,"FLR01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{2428f8f9-a408-49fa-bc84-40b877ca9f34}",4618249-10-26 20:00:00,"aradecki1",4618250-01-19 19:00:00,"aradecki1"
"5","Flat Rock",2023,"Soil Sample",1263,NA,"Sample ID FLR02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{529b3daa-fe02-4308-b31b-ed152145f1a9}",4618252-12-26 19:00:00,"hpeterman",4618252-12-26 19:00:00,"hpeterman"
"6","Flat Rock",2023,"Soil Sample",1264,NA,"Sample ID FLR03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{505574ab-9df8-4b31-ae67-0fb379af0af9}",4618255-01-03 19:00:00,"hpeterman",4618255-01-03 19:00:00,"hpeterman"
"7","Flat Rock",2023,"Soil Sample",1265,NA,"Sample ID FLR04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{68960b1f-e9bc-44d1-8ebb-878db4896599}",4618256-02-24 19:00:00,"hpeterman",4618256-02-24 19:00:00,"hpeterman"
"8","Flat Rock",2023,"Soil Sample",1267,NA,"FLR05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{a1f64e2e-d38d-4ca0-b021-c2505d3203a9}",4618259-05-19 20:00:00,"aradecki1",4618259-05-19 20:00:00,"aradecki1"
"9","Flat Rock",2023,"Soil Sample",1269,NA,"FLR06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{407ad7d1-056e-43c7-94d2-50168b9fe390}",4618260-10-17 20:00:00,"aradecki1",4618260-10-17 20:00:00,"aradecki1"
"10","Flat Rock",2023,"Soil Sample",1270,NA,"Sample ID FLR07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{9d95b6b0-25e0-444f-91c4-4a2d6200dc0d}",4618263-02-14 19:00:00,"hpeterman",4618263-02-14 19:00:00,"hpeterman"
