"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Grantham Branch",2023,"5",1848,"Other","PVC connector broken",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{c398707d-25ac-41aa-a465-e3ff200a1115}",4662018-06-27 20:00:00,"hpeterman",4662018-06-27 20:00:00,"hpeterman"
"2","Grantham Branch",2023,"5",1850,"Damaged/Missing Sign","Corner sign missing",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{acb564cd-19fc-4b15-aba9-ec4c2145a7c9}",4662024-02-08 19:00:00,"hpeterman",4662024-02-08 19:00:00,"hpeterman"
"3","Grantham Branch",2023,"5",1852,"Damaged/Missing Sign","Replace sign",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{16e3bda1-25f2-47ec-a46b-57badead4132}",4662027-06-25 20:00:00,"hpeterman",4662027-06-25 20:00:00,"hpeterman"
"4","Grantham Branch",2023,"Misc",1407,NA,"Brush, leaf litter burned, some trees cleared",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{b35900ff-22a5-4263-9fee-483d61ffaecf}",4662023-04-09 20:00:00,"hpeterman",4662023-04-09 20:00:00,"hpeterman"
"5","Grantham Branch",2022,"Misc",753,NA,"Is sedimentation in pools on T1 an issue? No flow but channel bottom to TOB is maybe 6""","In-Stream","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{c34f0bcf-dce7-4144-b10f-4b8fc94cee70}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Grantham Branch",2022,"Vegetation Issue",924,"Low Stem Vigor/Height",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-05-09,"Tree boosters applied",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-11 12:53:13,"ncurtis1",2023-07-11 12:53:13,"ncurtis1","Poly",NA,NA,"Neil","{a7a1781f-d46a-4e28-b1b0-97a26ebd1142}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"7","Grantham Branch",2022,"Vegetation Issue",924,"Low Stem Vigor/Height",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-08-03,"Tree boosters applied",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-25 16:39:30,"ncurtis1",2023-08-25 16:39:30,"ncurtis1","Poly",NA,NA,"Neil","{a7a1781f-d46a-4e28-b1b0-97a26ebd1142}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"8","Grantham Branch",2022,"Vegetation Issue",908,"Low Stem Vigor/Height & Density","Low density and diversity. ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{cac53209-6c6e-49dc-91e9-e293f89cb45a}",4582373-04-23 20:00:00,"lcostes",4588229-11-27 19:00:00,"ncurtis1"
"9","Grantham Branch",2022,"Vegetation Issue",909,"Low Stem Vigor/Height & Density","P2 cut area looks good on ground cover now but sparse in tree density.",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{1bfef337-a6bf-4b3d-99fe-51cfb35877ff}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"10","Grantham Branch",2022,"Weed Occurrence",754,NA,"Murdannia locally very dense in areas of direct sunshine. ",NA,"Low","Marsh Dewflower","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{4ca5480f-41f3-43c2-bd2d-740e3a7f0e8c}",4582373-03-18 20:00:00,"lcostes",4637235-08-11 20:00:00,"ncurtis1"
"11","Grantham Branch",2021,"5",95,NA,"Fix sign & extender (t-post)",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{77f7be1a-db32-4141-bb11-5570051c706d}",4582373-03-18 20:00:00,"lcostes",4619915-08-25 20:00:00,"lcostes"
"12","Grantham Branch",2021,"5",96,NA,"Missing sign. Need 2 extender poles, sign and post",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{7365a1bf-e629-420c-9f5e-947da515895e}",4582373-03-18 20:00:00,"lcostes",4619915-09-12 20:00:00,"lcostes"
"13","Grantham Branch",2021,"Boundary Issue",510,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Neil","{43241358-ff8c-40df-94e1-92347e719519}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
