"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Hall Creek",2023,"5",1609,"Mowing Encroachment","mowed around sign",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,5,2023-09-14 05:27:45,"added polytape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-14 05:27:58,"athompson07",2023-09-14 05:27:58,"athompson07","Point",NA,NA,"Andrea","{66026fd9-56e8-4a40-8706-5a66d5875fe6}",2023-09-14 05:27:31,"athompson07",2023-09-14 05:27:31,"athompson07"
"2","Hall Creek",2023,"5",1605,"Missing Monument","WEI added post. no monument",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{65c4bc26-9bf0-4da4-857f-eac2652ae6a0}",4641727-03-11 20:00:00,"athompson07",4662035-05-15 20:00:00,"athompson07"
"3","Hall Creek",2023,"5",1849,"Damaged/Missing Sign","add sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{2e8abfa9-fde0-42f9-9ba2-7cdb5266dc9a}",4662022-12-14 19:00:00,"athompson07",4662022-12-14 19:00:00,"athompson07"
"4","Hall Creek",2023,"5",1851,"Damaged Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{65f308b9-2ee7-4ece-ae14-43d1a9c1ba30}",4662026-02-24 19:00:00,"athompson07",4662026-02-24 19:00:00,"athompson07"
"5","Hall Creek",2023,"5",1853,"Other","t post outside of CE Boundary. move back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{727bbfb2-5b54-48c6-a833-2a66b1cb9a94}",4662029-01-29 19:00:00,"athompson07",4662029-01-29 19:00:00,"athompson07"
"6","Hall Creek",2023,"5",1854,"Missing Monument","sign post appears in wrong place. no monument",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{4a968c5e-fc8c-4a9f-83dd-e8ff85a2cb99}",4662036-03-01 19:00:00,"athompson07",4662036-03-01 19:00:00,"athompson07"
"7","Hall Creek",2023,"Boundary Issue",1126,"Mowing","slight.mowing encroachment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{7d8ae90c-a886-42dd-910d-ad03b1199d0a}",4641723-06-15 20:00:00,"athompson07",4641723-06-15 20:00:00,"athompson07"
"8","Hall Creek",2023,"Failed Structure",1602,"Failed/Not Functional","piping underneath right side. way oversized. pack in and shave sill in half at least",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{404985c7-2c81-45d0-834b-eed77e1ba369}",4641716-06-01 20:00:00,"athompson07",4641716-06-22 20:00:00,"athompson07"
"9","Hall Creek",2023,"In-Stream Vegetation",1213,NA,"do early summer 2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{048881ed-6d77-44ca-b0e5-c6982fb92329}",4662049-05-08 20:00:00,"athompson07",4662049-05-08 20:00:00,"athompson07"
"10","Hall Creek",2023,"Misc",1406,NA,"upland microstegium area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{ae15f84e-2cc7-4bcc-b11b-4ecff7c7b8c7}",4662022-07-27 20:00:00,"athompson07",4663477-12-20 19:00:00,"athompson07"
