"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Hatchs Hill",2023,"Misc",1104,NA,"treeline mapping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{deed379f-64a5-4ce5-bd98-e371a76e281f}",4633666-06-11 20:00:00,"wlraleigh1",4642845-12-22 19:00:00,"lcostes"
"2","Hatchs Hill",2023,"Misc",1105,NA,"treeline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{bc69c9bf-3d5f-4614-8aaf-7ac854e666f2}",4633672-10-12 20:00:00,"wlraleigh1",4642845-12-22 19:00:00,"lcostes"
"3","Hatchs Hill",2023,"Misc",1106,NA,"treeline (continues to road)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{5d363d99-28e3-48e8-b322-2154ec2d112b}",4633673-08-22 20:00:00,"wlraleigh1",4642845-12-18 19:00:00,"lcostes"
"4","Hatchs Hill",2023,"Misc",1107,NA,"treeline (sparse) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{ce16b1bc-22db-4d9c-a526-a81c9261d6ee}",4633673-10-25 20:00:00,"wlraleigh1",4642845-12-14 19:00:00,"lcostes"
"5","Hatchs Hill",2022,"Weed Occurrence",961,NA,"Other = porcelain berry and other vines",NA,"High","Kudzu","51-75%","Chinese Privet","51-75%","Wisteria","26-50%","Chinaberry","<1%","OTHER","26-50%",NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-02-02 16:35:00,"Chinese privet removal","Native Roots",NA,"Basal Bark","Triclopyr","Cut Stump","Triclopyr",NA,"Yes",2023-02-03 16:36:00,NA,2023-03-23 16:36:15,"athompson07",2023-03-23 16:36:15,"athompson07","Poly",NA,NA,"Andrea","{0fddf019-bb38-481b-a293-e907d2046263}",2023-01-05 17:32:36,"lcostes",2023-10-05 17:14:49,"lcostes"
"6","Hatchs Hill",2022,"Weed Occurrence",971,NA,"Other = misc. vines",NA,"Medium","OTHER","26-50%","Japanese Honeysuckle","1-5%","Chinese Privet","1-5%","Chinaberry","<1%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-02-09 16:31:00,"Chinese privet removal","Native Roots",NA,"Basal Bark","Triclopyr","Cut Stump","Triclopyr",NA,"Yes",2023-02-03 16:32:00,NA,2023-03-23 16:32:16,"athompson07",2023-03-23 16:32:16,"athompson07","Poly",NA,NA,"Andrea","{2b39138a-eb2a-40b8-9966-91fd580ba4a7}",2023-01-05 17:32:36,"lcostes",2023-10-05 17:16:29,"lcostes"
"7","Hatchs Hill",2022,"Weed Occurrence",962,NA,"Wisteria, privet, blackberry, smilax, porcelain berry. Impenetrable. Outside easement. ",NA,"High","Wisteria","76-100%","Chinese Privet","6-25%","OTHER","76-100%","Chinaberry","1-5%","Japanese Honeysuckle","1-5%",NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{03700acc-c28c-4615-98bd-9a0cbe0ab60b}",4582373-04-23 20:00:00,"lcostes",4646940-02-26 19:00:00,"lcostes"
"8","Hatchs Hill",2022,"Weed Occurrence",963,NA,"Other is vines. Saw a single kudzu vine outside the easement",NA,"High","Chinese Privet","51-75%","OTHER","76-100%","Wisteria","26-50%","Japanese Honeysuckle","<1%","Chinaberry","<1%",NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{aff19e8e-e46d-428a-8be1-d76149b503fa}",4582373-04-23 20:00:00,"lcostes",4646940-03-17 20:00:00,"lcostes"
"9","Hatchs Hill",2022,"Weed Occurrence",964,NA,NA,NA,"Medium","Marsh Dewflower","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{b4cef218-2d47-490a-a2a0-f0f7c6509f56}",4582373-04-23 20:00:00,"lcostes",4642846-02-09 19:00:00,"lcostes"
"10","Hatchs Hill",2022,"Weed Occurrence",965,NA,NA,NA,"Medium","Chinese Privet","51-75%","Japanese Honeysuckle","<1%","Wisteria","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{364695f9-3856-47a3-aa0c-d76d8a74b049}",4582373-04-23 20:00:00,"lcostes",4642846-02-10 19:00:00,"lcostes"
