"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Hatch’s Hill",2022,"Misc",825,NA,"Hunting structure",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{0170d6f7-fed2-4638-8045-ff3fab8539fc}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"2","Hatch’s Hill",2022,"Weed Occurrence",961,NA,"Other = grape and other vines",NA,"High","Kudzu","51-75%","Chinese Privet","51-75%","Wisteria","26-50%","Chinaberry","<1%","OTHER","26-50%",NA,NA,"No","No","Yes","Yes","Yes",NA,980469.07409668,6945.9681928227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{0fddf019-bb38-481b-a293-e907d2046263}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"3","Hatch’s Hill",2022,"Weed Occurrence",962,NA,"Grape, wisteria, privet, blackberry, smilax. Impenetrable. Outside easement. ",NA,"High","Wisteria","76-100%","Chinese Privet","6-25%","OTHER","76-100%","Chinaberry","1-5%","Japanese Honeysuckle","1-5%",NA,NA,"No","No","Yes","Yes","Yes",NA,282446.172485352,3399.32810383769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{03700acc-c28c-4615-98bd-9a0cbe0ab60b}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"4","Hatch’s Hill",2022,"Weed Occurrence",963,NA,"Other is vines, mostly grape. Saw a single kudzu vine outside the easement",NA,"High","Chinese Privet","51-75%","OTHER","76-100%","Wisteria","26-50%","Japanese Honeysuckle","<1%","Chinaberry","<1%",NA,NA,"No","No","Yes","Yes","Yes",NA,725956.701904297,6519.0305814338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{aff19e8e-e46d-428a-8be1-d76149b503fa}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"5","Hatch’s Hill",2022,"Weed Occurrence",964,NA,NA,NA,"Medium","Marsh Dewflower","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,2954.54907226562,363.239066826536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{b4cef218-2d47-490a-a2a0-f0f7c6509f56}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"6","Hatch’s Hill",2022,"Weed Occurrence",965,NA,NA,NA,"Medium","Chinese Privet","51-75%","Japanese Honeysuckle","<1%","Wisteria","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,693353.097290039,5528.15878808385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{364695f9-3856-47a3-aa0c-d76d8a74b049}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"7","Hatch’s Hill",2022,"Weed Occurrence",966,NA,NA,NA,"Medium","Marsh Dewflower","51-75%","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,66776.3081054688,1421.79849848916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{8e9fed0c-33af-404d-b22e-fd2a4ddf2a49}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"8","Hatch’s Hill",2022,"Weed Occurrence",967,NA,"Privet 90%. Other = grape, smilax",NA,"Medium","Chinese Privet","76-100%","OTHER","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,27468.2277832031,715.359801282306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{3fa8d222-2220-4a26-95ce-dfb29b82fe8b}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"9","Hatch’s Hill",2022,"Weed Occurrence",968,NA,"Other = grape, gelsemium, etc",NA,"Medium","Blackberry","51-75%","OTHER","6-25%","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,16542.5662841797,1032.01665512118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{4e542694-795b-43d3-a38d-b172916b1037}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"10","Hatch’s Hill",2022,"Weed Occurrence",969,NA,NA,NA,"High","Chinaberry","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,12161.5955810547,727.411117243557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{9f5b2d4e-c162-46c7-aad2-c5ff14d84a15}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
