"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Holman Mill",2022,"Misc",925,NA,"Silt fencing",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,56.2991106089429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrea","{a5ef020f-34bf-44b2-b613-5c5ad894198a}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"2","Holman Mill",2022,"Misc",725,NA,"Debris jam",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,0,2022-09-21 00:00:00,"Debris removed","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Andrea","{ab3dafea-d7ec-4622-9377-fb21803f0a84}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"3","Holman Mill",2022,"Misc",723,NA,"Debris jam",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,0,2022-09-21 00:00:00,"Debris removed","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Andrea","{c7f47f04-e09f-4388-9e83-78b1a6b8e1aa}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"4","Holman Mill",2022,"Misc",724,NA,"Debris jam",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,0,2022-09-21 00:00:00,"Debris removed","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Andrea","{d0d2d442-027a-4733-8afe-35331cfd9c15}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"5","Holman Mill",2022,"Misc",726,NA,"Potential debris jam",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,NA,0,2022-09-21 00:00:00,"Debris removed","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Andrea","{d90e3775-c2e7-4c40-a29a-f75c430e19a1}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"6","Holman Mill",2022,"Misc",722,NA,"Potential debris jam",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,0,2022-09-21 00:00:00,"Debris removed","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes",NA,NA,"Andrea","{db6b4a1c-2717-420a-a927-79d7c53e3756}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"7","Holman Mill",2021,"Channel Stability/Erosion",571,"Slumping_Settling","hole in bank below last rock sill is exanding. Bank around log sill looking good.","Stream Bank","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,72.5872210164128,2,2022-09-21 00:00:00,"Scouring hole filled in with rocks, gravel, cloth, plugs, and stakes.","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Andrea","{0aabcbf0-7273-4249-9aba-4ed7fa105f2a}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"8","Holman Mill",2021,"Channel Stability/Erosion",572,"Erosion_Scour","headcut and widening pool possibly caused by fallen branches in channel. Branches removed at time of inspection","Stream Bed","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","No",NA,NA,91.4891487244057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrea","{704c8798-250b-45a9-bea9-0f0ba67414a8}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"9","Holman Mill",2021,"Vegetation Issue",440,"Low Stem Vigor/Height & Density","low stem density and tree height",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","Yes","No","Yes","Yes",NA,51539.5710449219,967.686205906966,2,2021-03-16 00:00:00,"tree boosters with fertilizer, humic+, biochar, lime, molasses","in-house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{2b9c389f-cc5d-4d60-a1b8-0f2e51050914}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"10","Holman Mill",2021,"Vegetation Issue",441,"Low Stem Vigor/Height & Density","low tree density, some low height",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","Yes","No","Yes","Yes",NA,56925.0111083984,1794.94602675809,2,2021-03-23 00:00:00,"tree boosters: lime, biochar, humic+, Carbon Pro G, molasses","in-house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{7706969d-a8f5-4498-800a-180a49b99719}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"11","Holman Mill",2021,"Vegetation Issue",441,"Low Stem Vigor/Height & Density","low tree density, some low height",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","Yes","Yes","No","Yes","Yes",NA,56925.0111083984,1794.94602675809,2,2022-05-18 21:13:40,"17-17-17 fertilizer tree booster","In-house",NA,NA,NA,NA,NA,NA,NA,2022-05-18 21:13:31,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{7706969d-a8f5-4498-800a-180a49b99719}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"12","Holman Mill",2021,"Weed Occurrence",209,NA,"scattered saplings","Off-site Source","Medium","Tree Of Heaven","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","No","Yes","Yes","Yes",NA,14171.91796875,774.359497563835,1,2021-07-26 00:00:00,"NNIS removal","Native Roots",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2036-02-05 01:28:16,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{76608ea8-3423-4e43-af5a-d0bd71a33ac5}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"13","Holman Mill",2021,"Weed Occurrence",209,NA,"scattered saplings","Off-site Source","Medium","Tree Of Heaven","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","No","Yes","Yes","Yes",NA,14171.91796875,774.359497563835,1,2021-03-12 00:00:00,"ring sprays & honeysuckle treatment","in-house",NA,"Backpack Spray","Glyphosate",NA,NA,"MSO",NA,2036-02-05 01:28:16,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{76608ea8-3423-4e43-af5a-d0bd71a33ac5}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"14","Holman Mill",2021,"Weed Occurrence",209,NA,"scattered saplings","Off-site Source","Medium","Tree Of Heaven","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","No","Yes","Yes","Yes",NA,14171.91796875,774.359497563835,1,2022-07-08 00:00:00,"Cut stump TOH","In house",NA,"Cut Stump",NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{76608ea8-3423-4e43-af5a-d0bd71a33ac5}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"15","Holman Mill",2021,"Weed Occurrence",210,NA,"Low density scattered stems. Honeysuckle requires most attention.","Off-site Source","High","Japanese Honeysuckle","<1%","Callery Pear","<1%","Multiflora Rose","<1%","Autumn Olive","<1%",NA,NA,"Yes",NA,"Yes","No","Yes","Yes","Yes",NA,310837.239257812,4867.4988989517,1,2021-04-02 00:00:00,"cut stump and foliar","Native Roots",NA,"Backpack Spray","Triclopyr","Cut Stump","Triclopyr",NA,NA,2036-02-05 01:28:16,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{83207712-e202-4a8d-be47-6a9df6a344ad}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"16","Holman Mill",2021,"Weed Occurrence",210,NA,"Low density scattered stems. Honeysuckle requires most attention.","Off-site Source","High","Japanese Honeysuckle","<1%","Callery Pear","<1%","Multiflora Rose","<1%","Autumn Olive","<1%",NA,NA,"Yes",NA,"Yes","No","Yes","Yes","Yes",NA,310837.239257812,4867.4988989517,1,2021-07-26 00:00:00,"cut stump and foliar","Native Roots",NA,"Backpack Spray","Triclopyr","Cut Stump","Triclopyr",NA,NA,2036-02-05 01:28:16,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{83207712-e202-4a8d-be47-6a9df6a344ad}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
