"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Honey Mill",2023,"5",1046,"Gate Issue","Gate propped open, unsure of activity ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{e0ba4c13-f4af-459f-a148-6d30894792e4}",4600045-10-14 20:00:00,"ddixon0",4647115-01-08 19:00:00,"lcostes"
"2","Honey Mill",2023,"5",1813,"Damaged Fence","Down tree on fence ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{75ac3fc6-b2af-412a-969c-493645d96e11}",4659427-08-27 20:00:00,"ddixon0",4659427-08-27 20:00:00,"ddixon0"
"3","Honey Mill",2023,"CE Encroachment",1075,"Mowing","mowing through easement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{b1201894-30c6-475e-bdc5-f0c14fb40182}",4598835-09-02 20:00:00,"ddixon0",4647115-07-19 20:00:00,"lcostes"
"4","Honey Mill",2023,"Channel Stability/Erosion",990,"Erosion_Scour","IRT noted erosion",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{64b14e74-3b06-468a-950b-ca80e4efb6ae}",4595782-02-06 19:00:00,"ddixon0",4647115-02-01 19:00:00,"lcostes"
"5","Honey Mill",2023,"Weed Occurrence",1381,NA,NA,NA,"Low","Tree Of Heaven","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{4bf9a620-c33d-4c0f-955e-3b2c04328e6e}",4653713-10-18 20:00:00,"ddixon0",4653713-11-17 19:00:00,"ddixon0"
"6","Honey Mill",2023,"Weed Occurrence",1382,NA,NA,NA,NA,"Chinese Privet","1-5%","Oriental Bittersweet","1-5%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{ed3b7d4c-2832-485d-aa73-5fb908745160}",4653714-01-23 19:00:00,"ddixon0",4653714-01-23 19:00:00,"ddixon0"
"7","Honey Mill",2023,"Weed Occurrence",1395,NA,NA,NA,"Medium","Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{34e86885-ca4e-4a9f-8f2f-ed8b30699d42}",4659426-12-11 19:00:00,"ddixon0",4659426-12-11 19:00:00,"ddixon0"
"8","Honey Mill",2023,"Weed Occurrence",1396,NA,"need chainsaw ",NA,"Low","Callery Pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Dominic","{1c1340db-d8e9-413d-af56-25cc24069614}",4659433-04-15 20:00:00,"ddixon0",4659433-04-15 20:00:00,"ddixon0"
"9","Honey Mill",2023,"Weed Occurrence",1182,NA,NA,NA,"Medium","Callery Pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-07-27,NA,NA,NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,NA,NA,2023-09-05 14:50:36,"ddixon0",2023-09-05 14:50:36,"ddixon0","Point",NA,NA,"Dominic","{cf57f5e7-f2a2-4368-b42a-3096f2a4c201}",2023-05-08 12:24:58,"ddixon0",2023-10-06 10:59:38,"lcostes"
"10","Honey Mill",2023,"Weed Occurrence",1811,NA,NA,NA,"Low","Multiflora Rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{079c34dd-1dfd-47ed-9ae0-b26bc6ceea49}",4659425-10-02 20:00:00,"ddixon0",4659425-10-02 20:00:00,"ddixon0"
"11","Honey Mill",2023,"Weed Occurrence",1814,NA,NA,NA,NA,"Callery Pear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{5ffd6287-5827-4009-8ac4-efde164a34ff}",4659429-05-21 20:00:00,"ddixon0",4659429-05-21 20:00:00,"ddixon0"
"12","Honey Mill",2023,"Weed Occurrence",1815,NA,NA,NA,"Low","Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{8142b24f-1524-47ca-9f8b-5d59e694d7a1}",4659430-06-11 20:00:00,"ddixon0",4659430-06-11 20:00:00,"ddixon0"
"13","Honey Mill",2023,"Weed Occurrence",1816,NA,"need chainsaw ",NA,"Medium","Callery Pear","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{9c96a1b6-b200-432d-a670-8308c123ed24}",4659432-07-24 20:00:00,"ddixon0",4659432-08-07 20:00:00,"ddixon0"
