"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Huntsman",2023,"Beaver Dam",1351,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{1f78fd26-4559-44ea-8f55-a9821dcaf08e}",4623013-08-02 20:00:00,"ddixon0",4623015-03-09 19:00:00,"ddixon0"
"2","Huntsman",2023,"Beaver Dam",1473,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{0f4d7fcc-933c-4011-9b4b-b48972763039}",4633396-11-04 20:00:00,"ddixon0",4633396-11-04 20:00:00,"ddixon0"
"3","Huntsman",2023,"Channel Stability/Erosion",963,"Erosion_Scour","Needs live stakes ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{347fa1e8-8ae7-4810-8f8c-d5ff6283135b}",4592220-04-19 20:00:00,"ddixon0",4592220-04-19 20:00:00,"ddixon0"
"4","Huntsman",2023,"Channel Stability/Erosion",1187,"Erosion_Scour","holes forming behind brush toe ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{0d9af5b9-0773-4967-89fa-3c5c95e98d6f}",4660138-07-19 20:00:00,"ddixon0",4660138-07-19 20:00:00,"ddixon0"
"5","Huntsman",2023,"Failed Structure",1140,"Erosion/Scoured",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{421e2fe7-7c28-4e09-9580-ac0d74ba0dac}",4606436-06-23 20:00:00,"ddixon0",4621558-08-03 20:00:00,"ddixon0"
"6","Huntsman",2023,"Failed Structure",1192,"Piping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{20d030d7-f971-48d1-954b-c76831b34afe}",4612135-11-23 19:00:00,"ddixon0",4612135-11-23 19:00:00,"ddixon0"
"7","Huntsman",2023,"Failed Structure",1233,"Other","Very low flow ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{6663e879-dbf4-40d2-8003-754599754e63}",4614709-07-02 20:00:00,"ddixon0",4614714-10-10 20:00:00,"ddixon0"
"8","Huntsman",2023,"Failed Structure",1234,"Other","Dry bed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{b08201d4-44e1-4834-aa9a-6c86dc5bb479}",4614715-03-17 20:00:00,"ddixon0",4614715-03-17 20:00:00,"ddixon0"
"9","Huntsman",2023,"Vegetation Issue",1082,"Bare Areas","Continue seeding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,2,2023-07-05 00:00:00,"soil amendments, native seed, millet","WEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-06 15:46:13,"ddixon0",2023-07-06 15:46:13,"ddixon0","Poly",NA,NA,"Dominic","{0a02333d-074b-4726-873f-fa2d74ed1d3f}",2023-03-22 11:04:14,"ddixon0",2023-06-20 10:24:45,"ddixon0"
"10","Huntsman",2023,"Vegetation Issue",1082,"Bare Areas","Continue seeding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,2,2023-02-08 00:00:00,"crimson clover, white clover (twice)","WEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-06 15:49:56,"ddixon0",2023-07-06 15:49:56,"ddixon0","Poly",NA,NA,"Dominic","{0a02333d-074b-4726-873f-fa2d74ed1d3f}",2023-03-22 11:04:14,"ddixon0",2023-06-20 10:24:45,"ddixon0"
