"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Key Mill Mitigation Site",2023,"Boundary Issue",976,NA,"Fence break",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{7731372d-bd53-4f70-aaa2-365d099fada9}",4594134-05-03 20:00:00,"ddixon0",4638849-03-18 20:00:00,"awissner"
"2","Key Mill Mitigation Site",2023,"Boundary Issue",977,"Cattle","Fence line down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{378f399c-07c7-4036-8c72-3128f0d959d7}",4594134-08-04 20:00:00,"ddixon0",4638849-03-04 19:00:00,"awissner"
"3","Key Mill Mitigation Site",2023,"Boundary Issue",978,"Cattle","Unstable fence",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{06a9ac30-e057-4fbd-b138-05353cf87a5e}",4594136-06-20 20:00:00,"ddixon0",4639777-05-05 20:00:00,"lcostes"
"4","Key Mill Mitigation Site",2023,"Boundary Issue",980,"Cattle","Loose fence ","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{e4793ba4-dd66-416c-9b65-ec74bfe74aa8}",4594144-06-03 20:00:00,"ddixon0",4639777-05-04 20:00:00,"lcostes"
"5","Key Mill Mitigation Site",2023,"Boundary Issue",1029,"Debris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{aa5f1f60-829f-4640-a24c-926b4d387082}",4603599-04-12 20:00:00,"ddixon0",4639777-05-03 20:00:00,"lcostes"
"6","Key Mill Mitigation Site",2023,"Channel Stability/Erosion",981,"Erosion_Scour","Needs repair","Stream Bank","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,0,2023-02-24 00:00:00,"live staked and arranged rocks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-03-03 09:58:47,"ddixon0",2023-03-03 09:58:47,"ddixon0","Line",NA,NA,"Dominic","{22f3ffa0-1faa-4f7c-a546-befd7eba0eff}",2023-02-24 11:59:06,"ddixon0",2023-09-01 12:16:59,"awissner"
"7","Key Mill Mitigation Site",2023,"Failed Structure",1047,"Failed/Not Functional","Channeling around structure ",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{b666d952-8741-4af1-9b39-fd16d01ad3f3}",4600074-09-08 20:00:00,"ddixon0",4638848-04-27 20:00:00,"awissner"
"8","Key Mill Mitigation Site",2023,"Failed Structure",1048,"Piping",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{56cf4850-a93f-4f23-aa2b-ec510dcaa2dd}",4600079-11-05 19:00:00,"ddixon0",4638848-05-09 20:00:00,"awissner"
"9","Key Mill Mitigation Site",2023,"Failed Structure",1573,"Piping",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{5be0fff4-9bad-4514-b8a0-f119091f97c9}",4641658-09-22 20:00:00,"ddixon0",4641658-09-22 20:00:00,"ddixon0"
"10","Key Mill Mitigation Site",2023,"In-Stream Vegetation",1134,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-08-02 00:00:00,NA,NA,NA,"Backpack Spray","Glyphosate",NA,NA,NA,NA,NA,NA,2023-09-20 10:47:13,"ddixon0",2023-09-20 10:47:13,"ddixon0","Line",NA,NA,"Dominic","{1aeb9f1f-d339-4187-b492-f8265b6fba4e}",2023-09-20 10:46:24,"ddixon0",2023-09-20 10:46:24,"ddixon0"
