"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Liberty Rock",2023,"Failed Structure",1446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{5111a244-a6c4-41c0-99ee-8ea46bfe2ff7}",4628202-09-06 20:00:00,"aradecki1",4639770-07-10 20:00:00,"lcostes"
"2","Liberty Rock",2023,"In-Stream Vegetation",1114,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-08-11 00:00:00,NA,"In House",1,"Backpack Spray","Glyphosate",NA,NA,NA,"Yes",2023-08-11,NA,2023-08-21 11:30:43,"aradecki1",2023-08-21 11:30:43,"aradecki1","Line","6-25%",NA,"Andrew","{33135b1e-baab-48b1-8a81-2ef3734df4c0}",2023-08-21 11:29:59,"aradecki1",2023-08-21 11:29:59,"aradecki1"
"3","Liberty Rock",2023,"In-Stream Vegetation",1113,NA,"ISV",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,3,2023-07-11 00:00:00,NA,"In House",1,"Backpack Spray","Glyphosate",NA,NA,NA,"Yes",2023-08-11,NA,2023-08-21 11:24:59,"aradecki1",2023-08-21 11:24:59,"aradecki1","Line","26-50%",NA,"Andrew","{9a0ef8a0-4107-4c3b-8c2c-fb1356f22262}",2023-08-21 11:23:50,"aradecki1",2023-08-21 11:23:50,"aradecki1"
"4","Liberty Rock",2023,"Weed Occurrence",1273,NA,NA,"On-site Source","Medium","Parrot Feather","51-75%","Marsh Dewflower","26-50%",NA,NA,NA,NA,NA,NA,"Yes",NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-07-11 00:00:00,NA,"In House",1,"Backpack Spray","Imazapyr",NA,NA,NA,"Yes",2023-08-11,"76-100%",2023-08-21 11:10:14,"aradecki1",2023-08-21 11:10:14,"aradecki1","Poly",NA,NA,"Andrew","{2effd9d1-75d7-4601-aee0-c6811079b38d}",2023-08-21 10:33:19,"aradecki1",2023-08-21 10:33:19,"aradecki1"
"5","Liberty Rock",2023,"Weed Occurrence",1347,NA,"Thistle overgrowth",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-10-12 12:38:54,"Thistledown treatment on rosettes","In house",1,"Backpack Spray","Other",NA,NA,NA,NA,NA,NA,2023-10-12 12:38:57,"alemon1",2023-10-12 12:39:38,"alemon1","Poly",NA,NA,"Andrew","{765c7eb1-8869-4a31-91fb-af3f6ab67bc8}",2023-10-12 12:38:34,"alemon1",2023-10-12 12:38:34,"alemon1"
"6","Liberty Rock",2023,"Weed Occurrence",1321,NA,NA,NA,"Medium","Parrot Feather","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-07-11 00:00:00,NA,"In House",1,"Backpack Spray","Imazapyr",NA,NA,NA,"Yes",2023-08-11,"51-75%",2023-08-21 11:08:29,"aradecki1",2023-08-21 11:08:29,"aradecki1","Point",NA,NA,"Andrew","{7fa02b62-fb30-46d2-b7d3-1ab15e59315b}",2023-06-15 13:02:16,"aradecki1",2023-09-05 09:51:00,"lcostes"
"7","Liberty Rock",2023,"Weed Occurrence",1322,NA,NA,NA,"High","Parrot Feather","6-25%","Water Primrose","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-07-11 00:00:00,NA,"In House",1,"Backpack Spray","Imazapyr",NA,NA,NA,"Yes",2023-08-11,"51-75%",2023-08-21 11:03:26,"aradecki1",2023-08-21 11:03:26,"aradecki1","Point",NA,NA,"Andrew","{a85ea03e-19d0-4223-8656-44759723563f}",2023-06-15 13:14:19,"aradecki1",2023-09-05 09:51:00,"lcostes"
"8","Liberty Rock",2023,"Weed Occurrence",1534,NA,NA,"On-site Source",NA,"Parrot Feather","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{bd23d593-faee-48a7-a6fc-9307f15251fe}",4636234-06-17 20:00:00,"aradecki1",4636234-06-17 20:00:00,"aradecki1"
"9","Liberty Rock",2023,"Weed Occurrence",1629,NA,"Parrot Feather Tx",NA,NA,"Parrot Feather",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{80a44fb9-e9a9-4cd8-8e23-67500ee2fede}",4643329-09-04 20:00:00,"aradecki1",4646922-06-12 20:00:00,"lcostes"
"10","Liberty Rock",2023,"Weed Occurrence",1630,NA,NA,NA,NA,"OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{b47b75dc-00bd-4abf-9cf7-c856758230d4}",4643340-11-11 19:00:00,"aradecki1",4646922-08-01 20:00:00,"lcostes"
