"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Little River Ford I and II",2023,"5",1623,"Mowing Encroachment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{5fb31fac-b19a-4d48-8506-5e1e7a8f12fb}",4642164-04-25 20:00:00,"aradecki1",4642164-04-25 20:00:00,"aradecki1"
"2","Little River Ford I and II",2023,"5",1624,"Mowing Encroachment",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{f3ed92d1-123c-4445-a1fa-53d4ff54338c}",4642844-04-08 20:00:00,"aradecki1",4642844-09-12 20:00:00,"aradecki1"
"3","Little River Ford I and II",2023,"5",1625,"Mowing Encroachment","Bare area from overspray. ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{e1458657-b669-424b-8124-e7aef2d4296d}",4642844-12-02 19:00:00,"aradecki1",4642845-01-05 19:00:00,"aradecki1"
"4","Little River Ford I and II",2023,"Boundary Issue",1132,"Other","Overspray? ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{e76460b6-0889-48c0-94b9-475cadb453e6}",4643128-07-25 20:00:00,"clanza",4647103-10-01 20:00:00,"lcostes"
"5","Little River Ford I and II",2023,"Boundary Issue",1133,"Other","Overspray?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{0dca8295-4ca6-4c43-99ac-1cdca33916be}",4643128-10-31 20:00:00,"clanza",4647103-10-07 20:00:00,"lcostes"
"6","Little River Ford I and II",2023,"Boundary Issue",1140,"Mowing","and herbicide and ag planting","None","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{c2beba62-812d-448c-826f-0bbc7a60cc55}",4644792-04-05 20:00:00,"athompson07",4644792-08-18 20:00:00,"athompson07"
"7","Little River Ford I and II",2023,"Channel Stability/Erosion",1061,NA,"Deposition creating bare area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrew","{e31bb7dd-511f-45fc-9afc-68eef19a8a8d}",4614004-03-11 19:00:00,"clanza",4619920-03-14 20:00:00,"lcostes"
"8","Little River Ford I and II",2023,"Misc",1230,NA,"Debris Jam","In-Stream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{b128a673-b124-4165-8c2c-65fdfaed229a}",4614004-01-28 19:00:00,"clanza",4639770-07-24 20:00:00,"lcostes"
"9","Little River Ford I and II",2023,"Soil Sample",1311,NA,"LRF01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{87857b80-b55d-4850-8a12-fa8861fc241a}",4620165-07-22 20:00:00,"alemon1",4620165-07-22 20:00:00,"alemon1"
"10","Little River Ford I and II",2023,"Soil Sample",1312,NA,"LRF02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{df02bd45-f20a-4981-b7d7-ed1120181447}",4620166-06-29 20:00:00,"alemon1",4620166-06-29 20:00:00,"alemon1"
"11","Little River Ford I and II",2023,"Soil Sample",1313,NA,"LRF03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{c55ceb36-5aa4-414e-bc2c-e197846fa95f}",4620167-05-12 20:00:00,"alemon1",4620167-05-12 20:00:00,"alemon1"
"12","Little River Ford I and II",2023,"Soil Sample",1314,NA,"LRF04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{3258485f-33ae-4a62-bc21-a72de2cc8347}",4620168-02-10 19:00:00,"alemon1",4620168-02-10 19:00:00,"alemon1"
"13","Little River Ford I and II",2023,"Soil Sample",1315,NA,"LRF05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{450a931d-c32f-4dc9-a207-41193b05eb06}",4620169-12-29 19:00:00,"alemon1",4620169-12-29 19:00:00,"alemon1"
"14","Little River Ford I and II",2023,"Soil Sample",1316,NA,"LRF06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{3814535e-c817-4070-b9c5-cb7dc763bcf6}",4620170-10-02 20:00:00,"alemon1",4620170-10-02 20:00:00,"alemon1"
"15","Little River Ford I and II",2023,"Soil Sample",1317,NA,"LRF07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{9d7dd4d4-ec5d-4446-8b16-66277587cfc3}",4620173-06-19 20:00:00,"alemon1",4620173-06-19 20:00:00,"alemon1"
"16","Little River Ford I and II",2023,"Soil Sample",1318,NA,"LRF08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{5442a646-260e-4642-b243-9653e55a1f0c}",4620174-02-21 19:00:00,"alemon1",4620174-02-21 19:00:00,"alemon1"
"17","Little River Ford I and II",2023,"Soil Sample",1319,NA,"LRF09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{43f4346c-df91-4d74-9b45-a166e8082661}",4620174-11-24 19:00:00,"alemon1",4620174-11-24 19:00:00,"alemon1"
"18","Little River Ford I and II",2023,"Soil Sample",1320,NA,"LRF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{b729f466-40d6-4768-b390-1e5ed5c268ee}",4620175-10-06 20:00:00,"alemon1",4620175-10-06 20:00:00,"alemon1"
"19","Little River Ford I and II",2023,"Vegetation Issue",1331,"Low Stem Density","replant in ag encroachment area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{11b09a24-8404-445e-9c39-ed80bc994bab}",4644792-12-14 19:00:00,"athompson07",4644792-12-14 19:00:00,"athompson07"
