"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Little River Weaver",2023,"5",1231,NA,"Misplaced sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{c4fb3950-38e2-4550-aee1-06705a7fcb99}",4614004-11-25 19:00:00,"clanza",4614004-11-25 19:00:00,"clanza"
"2","Little River Weaver",2023,"CE Encroachment",1096,"Herbicide","Overspray into easement ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{91a9ab70-be29-40f5-9360-ce9b8b0993a3}",4606654-06-14 20:00:00,"aradecki1",4642843-09-26 20:00:00,"aradecki1"
"3","Little River Weaver",2023,"CE Encroachment",1099,"Herbicide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{887df4f0-953c-4e7e-8559-acb79a07685c}",4606658-11-02 20:00:00,"aradecki1",4606658-11-02 20:00:00,"aradecki1"
"4","Little River Weaver",2023,"CE Encroachment",1314,"Motor Vehicle Use",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{45f50d46-f959-48d7-a06d-470cbedb0841}",4642843-12-01 19:00:00,"aradecki1",4642843-12-01 19:00:00,"aradecki1"
"5","Little River Weaver",2023,"In-Stream Vegetation",975,NA,"Cattails in channel",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","6-25%",NA,"Andrew","{e1412b66-6008-4498-ac18-648c7b1b187c}",4593935-11-29 19:00:00,"hpeterman",4593935-12-14 19:00:00,"hpeterman"
"6","Little River Weaver",2023,"Misc",1232,NA,"Culvert clogged?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{ebd3ccc1-221c-4546-bc4a-0c74bc80fa2c}",4614005-02-01 19:00:00,"clanza",4645216-04-14 20:00:00,"aradecki1"
"7","Little River Weaver",2023,"Soil Sample",1300,NA,"LRW01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{f1752d25-bfe4-44ca-b3c9-d3343f5b0f19}",4620139-07-27 20:00:00,"alemon1",4620139-07-27 20:00:00,"alemon1"
"8","Little River Weaver",2023,"Soil Sample",1301,NA,"LRW02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{df3c038f-6d9f-492d-abca-268da91cccaa}",4620143-01-26 19:00:00,"alemon1",4620143-01-26 19:00:00,"alemon1"
"9","Little River Weaver",2023,"Soil Sample",1302,NA,"LRW03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{ef92309d-e545-492c-9a8b-42e5ee3f1690}",4620143-11-20 19:00:00,"alemon1",4620143-11-20 19:00:00,"alemon1"
"10","Little River Weaver",2023,"Soil Sample",1303,NA,"LRW04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{2eb5ca2d-78ed-462e-836e-6483ddccee2c}",4620145-04-07 20:00:00,"alemon1",4620145-04-07 20:00:00,"alemon1"
