"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Loflin Dairy",2023,"5",1637,"Damaged/Missing Sign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Sam","{a2590d89-c6b6-4dc2-96c4-9f66606e13f3}",4644755-08-19 20:00:00,"skirk1",4647106-03-23 20:00:00,"lcostes"
"2","Loflin Dairy",2023,"Boundary Issue",979,"Mowing","Close to encroaching, post horse tape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{3e546e7d-c118-4e47-a056-af762cf7e865}",4594141-03-19 20:00:00,"hpeterman",4594141-03-19 20:00:00,"hpeterman"
"3","Loflin Dairy",2023,"CE Encroachment",1050,"Mowing",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{863082e9-d1bc-44d0-bf50-9bcac34705fc}",4590368-02-21 19:00:00,"ddixon0",4590368-02-21 19:00:00,"ddixon0"
"4","Loflin Dairy",2023,"CE Encroachment",1064,"Mowing","Veg disturbance, tire mark. Needs polytapes",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{33446a6f-f9a2-415f-83f0-5811786b7093}",4596955-01-27 19:00:00,"hpeterman",4596955-03-09 20:00:00,"hpeterman"
"5","Loflin Dairy",2023,"CE Encroachment",1326,"Mowing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{47c8c400-9ff7-44f6-bff3-17cae42e503d}",4644757-04-28 20:00:00,"skirk1",4646954-03-28 20:00:00,"lcostes"
"6","Loflin Dairy",2023,"CE Encroachment",1327,NA,"12ft at max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{b4d17667-fb29-4ce5-87c0-56f5517e02b3}",4644772-12-10 19:00:00,"jturner2",4644772-12-10 19:00:00,"jturner2"
"7","Loflin Dairy",2023,"CE Encroachment",1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{d924fc1c-4caa-4c17-9fda-9aec1b19b136}",4644773-04-17 20:00:00,"jturner2",4647103-11-07 19:00:00,"lcostes"
"8","Loflin Dairy",2023,"CE Encroachment",1329,NA,"6ft max",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{d2ce49e5-51f1-448f-934a-e6905e538d3e}",4644775-01-05 19:00:00,"jturner2",4647103-11-11 19:00:00,"lcostes"
"9","Loflin Dairy",2023,"CE Encroachment",1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{a100f6ad-965f-43e3-a034-299c6c37de81}",4644776-01-15 19:00:00,"jturner2",4647103-07-07 20:00:00,"lcostes"
"10","Loflin Dairy",2021,"Boundary Issue",566,NA,"Close to encroaching. Add additional signage and pvc and tape",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{1a65d62e-8080-4e7a-b63a-5a9d15207e1b}",4582373-04-08 20:00:00,"lcostes",4595295-01-01 19:00:00,"hpeterman"
"11","Loflin Dairy",2021,"Boundary Issue",567,NA,"Add tape ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{c2660074-b380-406d-a0e7-950312def8f2}",4582373-04-08 20:00:00,"lcostes",4595295-05-18 20:00:00,"hpeterman"
"12","Loflin Dairy",2021,"Boundary Issue",568,NA,"Add signage ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Sam","{21975509-a498-4742-9e38-85b8b7ec01d9}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"13","Loflin Dairy",2021,"CE Encroachment",464,NA,"Cut field corner. Replace post and pvc. Add 2 more adjacent ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Sam","{11f1e06c-632c-43ad-b8b9-4daf3ecf0cac}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
