"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Lone Hickory",2023,"5",1611,"Damaged Post","Consider adding an extra post here and maybe horse tape to be sure we aren’t accidentally parking in easement ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{bead248a-4a90-41d0-bae0-864add13963b}",4641920-01-06 19:00:00,"wlasheville2",4641920-01-06 19:00:00,"wlasheville2"
"2","Lone Hickory",2023,"Beaver Dam",520,NA,"Still present on 2/8/2023, new dam present on 6/29/2023",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,3,2022-08-11 12:43:35,"Raked by staff","WEI",NA,"Hand",NA,NA,NA,NA,NA,2022-08-11 12:43:30,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes","Point",NA,NA,"Dominic","{4aaf1ffd-72a2-440b-88ca-c52b90ad0c74}",2023-01-05 17:32:00,"lcostes",2023-10-06 10:03:18,"lcostes"
"3","Lone Hickory",2023,"Beaver Dam",995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{51b6b6cc-a947-457f-870d-e778c41b6474}",4593666-05-01 20:00:00,"ddixon0",4647105-07-09 20:00:00,"lcostes"
"4","Lone Hickory",2023,"Beaver Dam",1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{019b4270-0f8c-4414-9e48-39c8c2d0423d}",4603356-12-29 19:00:00,"ddixon0",4647105-07-02 20:00:00,"lcostes"
"5","Lone Hickory",2023,"Channel Stability/Erosion",1054,"Erosion_Scour",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{38d626d7-d6b0-4083-b809-8a97de6d7b50}",4613060-08-30 20:00:00,"ddixon0",4647107-10-27 20:00:00,"lcostes"
"6","Lone Hickory",2023,"Channel Stability/Erosion",1080,"Erosion_Scour","Bed scour @ XS10; MY5 bank height ratio is 1.4","Stream Bed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes",2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{1cdf7eb9-f519-4867-a462-d9f2e03143b2}",4620414-01-20 19:00:00,"wlasheville2",4647107-10-28 20:00:00,"lcostes"
"7","Lone Hickory",2023,"Channel Stability/Erosion",1081,"Erosion_Scour","Minor bed scour previously noted @ XS15; MY5 bank height ratio is 1.1 so therefore area seems to be improving ","Stream Bed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{e95736af-0a88-4106-b854-3ebf6a5fccc0}",4620416-02-16 19:00:00,"wlasheville2",4647107-10-30 20:00:00,"lcostes"
"8","Lone Hickory",2023,"Channel Stability/Erosion",1082,"Erosion_Scour","Bed Scour @ XS28; MY5 bank height ratio is 1.3","Stream Bed","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Dominic","{7b3eac4e-45c2-4259-a2e4-a3d24b3d6354}",4620417-01-02 19:00:00,"wlasheville2",4647107-11-01 20:00:00,"lcostes"
"9","Lone Hickory",2023,"Failed Structure",1458,"Piping","Log at tail of riffle piping/goes temp. subsurface. No visible erosion. Subsurface flow/scour on right bank 11/6/2023","Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{60b4a194-9b02-4427-8a0e-f6d59ee2005f}",4629609-11-21 19:00:00,"wlasheville2",4654456-08-23 20:00:00,"wlasheville2"
"10","Lone Hickory",2023,"Failed Structure",1773,"Piping","See its higher flow",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{5492d586-be0f-4d31-aec0-276f2ae091d9}",4654457-05-21 20:00:00,"ddixon0",4654457-05-21 20:00:00,"ddixon0"
"11","Lone Hickory",2023,"Failed Structure",1774,"Piping","Hole around structure ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{d1390729-4614-4e9d-9e9f-e706a12fb7cd}",4654460-08-15 20:00:00,"ddixon0",4654460-08-15 20:00:00,"ddixon0"
"12","Lone Hickory",2023,"Misc",1050,NA,"Debris in channel; Water flowing under, does not seem to be causing issues ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{9bf80b54-7314-40d4-88a9-b622c0fbd358}",4600508-12-18 19:00:00,"ddixon0",4647105-07-05 20:00:00,"lcostes"
"13","Lone Hickory",2023,"Misc",1051,NA,"Debris in channel ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{b74a02be-0541-4a27-8700-8e45227024da}",4600513-03-19 20:00:00,"ddixon0",4647105-07-03 20:00:00,"lcostes"
"14","Lone Hickory",2023,"Misc",1255,NA,"Tire in stream ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{1792b931-a332-44ba-8b83-1153e0063094}",4616834-12-23 19:00:00,"ddixon0",4647105-06-22 20:00:00,"lcostes"
"15","Lone Hickory",2023,"Misc",1341,NA,"tires / debris",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{99df29ee-7cd3-425a-8dc5-f10f3ddbb001}",4621826-04-13 20:00:00,"ddixon0",4647105-06-13 20:00:00,"lcostes"
"16","Lone Hickory",2023,"Misc",1832,NA,"Coir log placed above gulley ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{ef6cc01b-bf9f-4a49-8cfa-a77d524f7911}",4661364-07-08 20:00:00,"ddixon0",4661364-07-08 20:00:00,"ddixon0"
"17","Lone Hickory",2023,"Vegetation Issue",1306,"Low Stem Vigor/Height","Obvious area of low stem height represented by VP16 and VP17",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,2,2023-06-12 00:00:00,"soil amendments added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-20 14:08:07,"ddixon0",2023-09-20 14:08:07,"ddixon0","Poly",NA,NA,"Dominic","{19419a34-7dd6-4c7d-bfae-f9905fe396cf}",2023-09-14 12:18:08,"wlasheville2",2023-09-14 12:20:31,"wlasheville2"
"18","Lone Hickory",2023,"Vegetation Issue",1308,"Low Stem Vigor/Height & Density","Small area of low stem height partially represented by VP23 and MP6 (MY5) ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,2,2023-06-12 00:00:00,"soil amendments added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-20 14:09:26,"ddixon0",2023-09-20 14:09:26,"ddixon0","Poly",NA,NA,"Dominic","{d7d671e0-86a7-4af8-8c66-0a0bdcbdcd28}",2023-09-14 12:44:26,"wlasheville2",2023-09-20 14:30:55,"wlasheville2"
"19","Lone Hickory",2023,"Vegetation Issue",1307,"Low Stem Vigor/Height","Small Area of low height represented by VP21, trees appear healthy just slightly stunted ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,2,2023-06-12 00:00:00,"soil amendments added",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-20 14:08:56,"ddixon0",2023-09-20 14:08:56,"ddixon0","Poly",NA,NA,"Dominic","{f3274a18-003c-4ca7-9217-d8336ea52d69}",2023-09-14 12:25:53,"wlasheville2",2023-09-14 12:27:44,"wlasheville2"
"20","Lone Hickory",2023,"Weed Occurrence",1251,NA,"Kudzu",NA,"Medium","Kudzu","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2023-07-26 00:00:00,"kudzu root treatment",NA,NA,"Hack and Squirt","Triclopyr",NA,NA,NA,NA,NA,NA,2023-09-20 14:05:18,"ddixon0",2023-09-20 14:05:18,"ddixon0","Poly",NA,NA,"Dominic","{453b4588-8bc8-4a78-b9af-5e1593b438f7}",2023-07-28 09:55:08,"awissner",2023-10-06 10:21:37,"lcostes"
"21","Lone Hickory",2023,"Weed Occurrence",1251,NA,"Kudzu",NA,"Medium","Kudzu","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2023-09-26 00:00:00,"kudzu follow up treatment","In house",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,NA,NA,2023-09-28 09:03:42,"awissner",2023-09-28 09:03:42,"awissner","Poly",NA,NA,"Dominic","{453b4588-8bc8-4a78-b9af-5e1593b438f7}",2023-07-28 09:55:08,"awissner",2023-10-06 10:21:37,"lcostes"
"22","Lone Hickory",2023,"Weed Occurrence",1208,NA,NA,NA,NA,"Tree Of Heaven","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{00288b03-2bab-4c22-a35e-551b9224554a}",4613077-03-06 19:00:00,"ddixon0",4647105-06-29 20:00:00,"lcostes"
"23","Lone Hickory",2023,"Weed Occurrence",1216,NA,NA,NA,"High","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{7297ddfb-e892-4251-bfb1-fc7242918571}",4613764-02-14 19:00:00,"ddixon0",4647105-06-28 20:00:00,"lcostes"
"24","Lone Hickory",2023,"Weed Occurrence",1217,NA,NA,NA,"High","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{4f4daa91-9ffe-4875-880c-df63c37a2e9a}",4613766-12-07 19:00:00,"ddixon0",4647105-06-26 20:00:00,"lcostes"
"25","Lone Hickory",2023,"Weed Occurrence",1218,NA,NA,NA,"High","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{443455ea-0fb5-4bf7-a145-9e705011418d}",4613768-03-03 19:00:00,"ddixon0",4647105-06-25 20:00:00,"lcostes"
"26","Lone Hickory",2023,"Weed Occurrence",1256,NA,NA,NA,"Medium","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{8b870a2f-c21f-4ac7-ad90-a5a872ac9a62}",4616835-12-01 19:00:00,"ddixon0",4647105-06-21 20:00:00,"lcostes"
"27","Lone Hickory",2023,"Weed Occurrence",1257,NA,NA,NA,"Medium","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{992502ad-f4a1-4a4e-8617-03d7cb7457a6}",4616855-11-27 19:00:00,"ddixon0",4647105-06-19 20:00:00,"lcostes"
"28","Lone Hickory",2023,"Weed Occurrence",1258,NA,NA,NA,"Low","Tree Of Heaven","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{a31617da-092e-4b2e-8665-1d29bc8afae8}",4616863-10-04 20:00:00,"ddixon0",4647105-06-17 20:00:00,"lcostes"
"29","Lone Hickory",2023,"Weed Occurrence",1259,NA,NA,NA,NA,"Tree Of Heaven","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{11410b39-ba41-4fdf-b14f-a1c7fda4e2f0}",4616864-11-15 19:00:00,"ddixon0",4647105-06-15 20:00:00,"lcostes"
"30","Lone Hickory",2023,"Weed Occurrence",1261,NA,"2 mature princess trees ",NA,"Medium","Princess Tree","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{27e7ee7d-9fce-46ed-a9ab-602a38ee4bf7}",4618036-05-31 20:00:00,"ddixon0",4647105-06-14 20:00:00,"lcostes"
"31","Lone Hickory",2023,"Weed Occurrence",1424,NA,NA,NA,"Medium","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{fdf58e5f-f4d6-420f-b996-bc7c6e587dcf}",4627972-03-27 20:00:00,"ddixon0",4647105-06-11 20:00:00,"lcostes"
"32","Lone Hickory",2023,"Weed Occurrence",1465,NA,NA,NA,NA,"Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{83428c6f-7f14-40bd-b959-93df865ed019}",4630106-12-04 19:00:00,"ddixon0",4647105-06-06 20:00:00,"lcostes"
"33","Lone Hickory",2023,"Weed Occurrence",1490,NA,NA,NA,NA,"Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{3ffaab13-a85a-4838-890c-6ca428f5ce73}",4634580-04-03 20:00:00,"ddixon0",4647105-06-05 20:00:00,"lcostes"
"34","Lone Hickory",2023,"Weed Occurrence",1491,NA,NA,NA,"Medium","Kudzu","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Dominic","{5afb1072-ee2b-4f98-ba8f-04b3dfdd6923}",4634583-02-03 19:00:00,"ddixon0",4647105-06-03 20:00:00,"lcostes"
