"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Long Pond Branch",2023,"5",1187,"Damaged Post","zip tie extenders back on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{a6b48f53-f484-4852-804e-f7da971213a9}",4612132-12-17 19:00:00,"athompson07",4652778-04-09 20:00:00,"lcostes"
"2","Long Pond Branch",2023,"5",1188,"Damaged Post","replace post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{00c3e146-07f0-4bd5-be9f-4d364edf67c0}",4612133-01-18 19:00:00,"athompson07",4652778-05-15 20:00:00,"lcostes"
"3","Long Pond Branch",2023,"5",1189,"Damaged Post","replace extender ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{09922519-8186-4a43-911f-f10d77dcea9b}",4612133-02-21 19:00:00,"athompson07",4650019-03-24 20:00:00,"athompson07"
"4","Long Pond Branch",2023,"5",1190,"Damaged Post","re-zip extender",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{8752c765-a651-45d3-a265-fc1762021046}",4612134-09-25 20:00:00,"athompson07",4654734-10-17 20:00:00,"lcostes"
"5","Long Pond Branch",2023,"Boundary Issue",966,"Motor Vehicle Use","Photo taken from boundary looking east paralleling UT1",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-02-23 00:00:00,"Installed polytape and extra signage (5 signs) around points of ATV entry to CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-24 14:28:05,"athompson07",2023-02-24 14:28:18,"athompson07","Line",NA,NA,"Andrea","{758dc30e-9dbe-45b1-85ef-33c9dfddfe25}",2023-02-21 16:19:06,"athompson07",2023-09-05 10:34:00,"lcostes"
"6","Long Pond Branch",2023,"Boundary Issue",967,"Motor Vehicle Use","Atv path",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{1f01582c-42c1-42ac-98a3-f2d30ba0801f}",4593480-08-07 20:00:00,"athompson07",4639777-08-08 20:00:00,"lcostes"
"7","Long Pond Branch",2023,"CE Encroachment",1054,"Mowing","Tractor turned in CE during harvest. Add polytape",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{b9c49348-dff6-4773-be0e-a76fec123f29}",4593428-03-10 20:00:00,"athompson07",4639786-09-09 20:00:00,"lcostes"
"8","Long Pond Branch",2023,"CE Encroachment",1350,"Mowing","DOT maintenance","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{537e77b3-3e54-4fc8-83be-e5fa35431c99}",4649945-06-10 20:00:00,"athompson07",4649945-08-07 20:00:00,"athompson07"
"9","Long Pond Branch",2023,"Misc",968,NA,"Footpath to deer stand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{e3295968-2744-4c9f-8ed3-632bf5bb6a11}",4593484-06-19 20:00:00,"athompson07",4639777-08-09 20:00:00,"lcostes"
"10","Long Pond Branch",2023,"Soil Sample",1670,NA,"LP03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{6b5dae91-231c-4ff7-8775-778bd4f3b0d5}",4649939-08-18 20:00:00,"athompson07",4650019-04-08 20:00:00,"athompson07"
