"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Long Pond",2022,"Vegetation Issue",723,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","Partial","No","Yes","Yes","Yes",NA,403414.186401367,4919.7953060129,2,2022-11-02 00:00:00,"Added rye, wheat, little bluestem, greensand, and microbes","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{f97f24f9-de73-4a20-8ef6-279d3d3cd7e4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"2","Long Pond",2022,"Vegetation Issue",723,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","Partial","No","Yes","Yes","Yes",NA,403414.186401367,4919.7953060129,1,2022-05-24 00:00:00,"Spread biochar, humic plus, greensand, carbon pro G and 2-4-3 over bare areas. The bare area north of UT1 was overlooked","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{f97f24f9-de73-4a20-8ef6-279d3d3cd7e4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"3","Long Pond",2022,"Vegetation Issue",723,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","Partial","No","Yes","Yes","Yes",NA,403414.186401367,4919.7953060129,2,2022-05-24 00:00:00,"Microbe ring sprays","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{f97f24f9-de73-4a20-8ef6-279d3d3cd7e4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"4","Long Pond",2022,"Vegetation Issue",723,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","Partial","No","Yes","Yes","Yes",NA,403414.186401367,4919.7953060129,2,2022-06-30 00:00:00,"Spread black-eyed susan seeds across bare areas south of UT1","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{f97f24f9-de73-4a20-8ef6-279d3d3cd7e4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"5","Long Pond",2022,"Vegetation Issue",723,"Bare Areas, Low Stem Vigor/Height & Density",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","Partial","No","Yes","Yes","Yes",NA,403414.186401367,4919.7953060129,2,2022-08-10 00:00:00,"Spread a combination of oats, lime, greensand, and microbes in northern bare area","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{f97f24f9-de73-4a20-8ef6-279d3d3cd7e4}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"6","Long Pond",2022,"Weed Occurrence",1003,NA,NA,NA,"Medium","Callery Pear","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,37328.9768066406,770.662871260228,1,2022-11-02 00:00:00,"Cut stump Bradford Pear","In house",NA,"Cut Stump","Glyphosate",NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Andrea","{54767681-ce87-431d-863c-c34f6411131b}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"7","Long Pond",2021,"Boundary Issue",478,"Other","3-5 rows of corn planted on CE ~800ft. Adding 25 pvc poles to all posts corn-adjacent","None","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,784.497827594335,1,2021-10-08 16:45:13,"Cut corn and finished posting boundary every 100 ft","In house",NA,NA,NA,"na","na","na",NA,2036-02-05 01:28:16,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes",NA,NA,"Andrea","{b8dc485a-c199-4da0-8bee-178221f558bc}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"8","Long Pond",2021,"CE Encroachment",467,"Mowing","Roadside maintenance- NCDOT","None","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","No","No","Yes","Yes","Yes",NA,2315.31225585938,377.020613176185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrea","{30b6e9dd-a657-49bd-a486-d94ff52ef61a}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"9","Long Pond",2021,"Channel Stability/Erosion",477,"Slumping_Settling","Floodplain sandy soil eroding into ditch. Was graded, stabilized with riprap and seeded with permanent mix, rye, and millet","Stream Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,27.904140994288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrea","{a74e13d8-e09f-4f03-99f9-25c32318a8bd}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"10","Long Pond",2021,"Misc",7,NA,"Floodplain erosion. Channel erosion parallel to ditch. Upslope fields draining into CE riparian buffer, not ditch ",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"Partial","No","Yes","Yes","Yes",NA,2085.29455566406,396.167207480604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrea","{a022386a-ff17-4ecd-b663-a6040b0a9d78}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
