"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Love Cats",2023,"Misc",1481,NA,"Fence corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{d2db4e1e-4723-4d49-ba2b-7a29bb8024ff}",4633668-02-19 19:00:00,"awissner",4639789-09-22 20:00:00,"lcostes"
"2","Love Cats",2023,"Misc",1482,NA,"Fence corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{24d249da-6edb-472b-8436-e21d9e8e519f}",4633668-05-02 20:00:00,"awissner",4639789-10-18 20:00:00,"lcostes"
"3","Love Cats",2023,"Misc",1483,NA,"Fence line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{2187de5d-25b4-4d6d-88ae-5bd67f906dab}",4633668-05-29 20:00:00,"awissner",4639789-11-09 19:00:00,"lcostes"
"4","Love Cats",2023,"Misc",1484,NA,"Fence corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{88b05944-e750-489d-8793-b092aa280f27}",4633668-07-05 20:00:00,"awissner",4639789-11-24 19:00:00,"lcostes"
"5","Love Cats",2023,"Misc",1485,NA,"Fence curve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{2f7cfc83-656e-4b08-81db-50dae4728acb}",4633668-07-31 20:00:00,"awissner",4639789-12-10 19:00:00,"lcostes"
"6","Love Cats",2023,"Misc",1486,NA,"Fence corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{ee70b9cc-58de-4065-ac2c-7316c82a1c1a}",4633668-08-29 20:00:00,"awissner",4639789-12-30 19:00:00,"lcostes"
"7","Love Cats",2023,"Misc",1487,NA,"Fence corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{326d2adc-93de-4695-a215-96b36e617c1c}",4633668-10-02 20:00:00,"awissner",4639790-01-10 19:00:00,"lcostes"
"8","Love Cats",2023,"Misc",1488,NA,"Fence corner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{9e17f163-e18c-43de-9dec-86d4fc57d55e}",4633668-10-29 20:00:00,"awissner",4639790-01-21 19:00:00,"lcostes"
"9","Love Cats",2023,"Soil Sample",962,NA,"LC001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{ad26d1fd-74d4-4988-9a4d-c49856de9039}",4588703-04-21 20:00:00,"eisrael1",4588703-07-24 20:00:00,"eisrael1"
"10","Love Cats",2023,"Soil Sample",963,NA,"LC002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{fef8cd6d-ef37-48e5-a85d-8484c1cd9d9b}",4588705-10-29 20:00:00,"eisrael1",4588705-10-29 20:00:00,"eisrael1"
"11","Love Cats",2023,"Soil Sample",964,NA,"LC003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{08a356d4-baed-4a3d-8431-6a4c28c42af3}",4588708-04-01 20:00:00,"eisrael1",4588708-04-01 20:00:00,"eisrael1"
"12","Love Cats",2023,"Soil Sample",965,NA,"LC004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{c75a2e34-2728-49d7-95da-9868b80ecd86}",4588709-12-21 19:00:00,"eisrael1",4588709-12-21 19:00:00,"eisrael1"
