"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Lower Mud Creek Floodplain Project",2023,"5",1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{23d95d16-f60b-4382-a67b-b1c7369d187e}",4636494-06-28 20:00:00,"jlovenshimer",4639809-01-24 19:00:00,"lcostes"
"2","Lower Mud Creek Floodplain Project",2023,"Misc",1547,NA,"Homeless camp. Woods need less work to north",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{bc4596ce-107d-40f9-9eb8-1c8e2c2d93e0}",4636480-02-23 19:00:00,"jlovenshimer",4639809-06-14 20:00:00,"lcostes"
"3","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1278,NA,"Less than porcelain berry",NA,NA,"Kudzu","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{0d354eb9-c211-4c4c-9a56-d92b48f831bc}",4636491-08-08 20:00:00,"jlovenshimer",4639806-02-25 19:00:00,"lcostes"
"4","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1279,NA,"Mature porcelain berry. Mow soon before seed set",NA,NA,"OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{80258326-9457-42d4-9143-93b627a1e45f}",4636503-02-27 19:00:00,"jlovenshimer",4639806-03-24 20:00:00,"lcostes"
"5","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1280,NA,NA,NA,NA,"Kudzu","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{579396ca-f5e2-4992-9717-5dd854b9b476}",4636503-12-28 19:00:00,"jlovenshimer",4639806-04-10 20:00:00,"lcostes"
"6","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1281,NA,"Porcelain berry ",NA,NA,"OTHER","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{67f2e405-3b03-472a-819f-6656edbbc66f}",4636464-07-08 20:00:00,"jlovenshimer",4639806-05-07 20:00:00,"lcostes"
"7","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1282,NA,"Entering canopy",NA,NA,"Kudzu","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{e90dd0a2-b67e-4c61-8741-6ced3b87b674}",4636470-11-17 19:00:00,"jlovenshimer",4639806-05-31 20:00:00,"lcostes"
"8","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1283,NA,NA,NA,NA,"English Ivy","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Joe","{b0b7a73b-7b9a-4828-b59c-b287f905776f}",4636476-05-04 20:00:00,"jlovenshimer",4639806-06-22 20:00:00,"lcostes"
"9","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1537,NA,NA,NA,NA,"Reed Canary Grass","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{dc52b398-2759-4df8-8a9e-afdb2f8d1580}",4636490-11-07 19:00:00,"jlovenshimer",4639808-12-11 19:00:00,"lcostes"
"10","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1538,NA,NA,NA,NA,"Japanese Knotweed","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{5f06fdac-ce55-487b-9116-5d808bebf0d0}",4636493-03-07 19:00:00,"jlovenshimer",4639808-12-30 19:00:00,"lcostes"
"11","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1539,NA,NA,NA,NA,"Reed Canary Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{5b6f915c-da60-4e22-a218-f4bf12c821b7}",4636494-01-29 19:00:00,"jlovenshimer",4639809-01-12 19:00:00,"lcostes"
"12","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1541,NA,NA,NA,NA,"Wintercreeper","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{a2b85174-14c0-490e-81c4-f1acb8f1d5c7}",4636499-04-23 20:00:00,"jlovenshimer",4639809-04-01 20:00:00,"lcostes"
"13","Lower Mud Creek Floodplain Project",2023,"Weed Occurrence",1542,NA,"Loosestrife ",NA,NA,"OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Joe","{9c645e16-5455-42f3-92a3-f2c15d316fbd}",4636461-05-22 20:00:00,"jlovenshimer",4639809-04-15 20:00:00,"lcostes"
