"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Lyon Hills",2022,"Boundary Issue",722,NA,"Hay bales rolled through fence. Farmer patched fence. Hay bales still in stream",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,42.0609086864013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{a1e8985b-84ec-4174-939d-d29b93487503}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"2","Lyon Hills",2022,"Boundary Issue",878,"Debris","Tree fell on fence","Fence","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,32.4273409977205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{9218ee2d-eed5-4f5e-8672-80270a9d278b}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"3","Lyon Hills",2022,"Channel Stability/Erosion",926,"Aggradation_Deposition",NA,"Stream Bed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,107.917512390901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{8abf0ff1-fb43-4161-95ab-e92c51e592c0}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"4","Lyon Hills",2022,"Failed Structure",425,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{f31f4855-2e05-4b13-b9ec-86faeabda56b}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"5","Lyon Hills",2022,"Failed Structure",426,NA,"Slumping after Boulder toe ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{84b58afe-f688-4351-8175-7bacaaa20b73}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Lyon Hills",2022,"Failed Structure",562,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{07560f47-339d-4fff-8b24-0eb7a432c05b}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"7","Lyon Hills",2022,"Failed Structure",563,NA,"Piping. Put some small rocks in; made a slight improvement ",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{cdc133de-c600-49b3-9c8d-3be66f8ff258}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"8","Lyon Hills",2022,"Misc",374,NA,"Two bales of straw in CE. In-stream",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{12ccc408-4a4a-4e72-a8db-cf642b72b0a0}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"9","Lyon Hills",2022,"Needs Livestakes",633,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,122.456640622633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{af91e282-42aa-421f-ac19-72ab96d54e3a}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"10","Lyon Hills",2022,"Needs Livestakes",634,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,117.902461719238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{07a90dc4-8aaf-44da-bafc-dde8d8ad708f}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"11","Lyon Hills",2022,"Needs Livestakes",635,NA,"Low wet area draining from field.",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,50.7863220410256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{9e92a718-c13a-4d9f-8c5d-4e10a0d71b51}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"12","Lyon Hills",2022,"Vegetation Issue",646,NA,"Bare area ",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,738.84765625,120.910908274292,2,2022-05-04 09:00:00,"Summer seed mix (millet, clover, humic plus)","In house",NA,NA,NA,NA,NA,NA,NA,2022-05-04 08:00:00,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Emily","{0c3d3072-3eb9-4e6b-899e-c2ba973ad313}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"13","Lyon Hills",2022,"Vegetation Issue",647,"Bare Areas & Low Stem Density",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,1086.10949707031,135.897773975255,2,2022-05-04 08:00:00,"Summer seed mix (millet, clover, humic plus)","In house",NA,NA,NA,NA,NA,NA,NA,2022-05-04 08:00:00,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Emily","{150b1096-5950-4f72-8d5c-2b5855bc2417}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"14","Lyon Hills",2022,"Vegetation Issue",737,NA,"Bare area",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,612.742309570312,102.105798179733,2,2022-05-04 08:00:00,"Summer seed mix (millet, clover, humic plus)","In house",NA,NA,NA,NA,NA,NA,NA,2022-05-04 08:00:00,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Emily","{6c984ec0-3cad-496d-8f8b-3a475934cba1}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"15","Lyon Hills",2022,"Vegetation Issue",648,NA,"Low stem density/bare area",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,354.627685546875,77.0332959019592,2,2022-05-04 08:00:00,"Summer seed mix (millet, clover, humic plus)","In house",NA,NA,NA,NA,NA,NA,NA,2036-02-05 01:28:16,"51-75%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Emily","{86857dcd-1023-4fd7-9951-2e2ce4fff33d}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"16","Lyon Hills",2022,"Weed Occurrence",845,NA,NA,NA,"High","Kudzu","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,284.901123046875,69.0103817876314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{bb069018-6346-438a-8125-2696e1ae597a}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"17","Lyon Hills",2022,"Weed Occurrence",681,NA,NA,NA,"High","Princess Tree","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{b92b00bd-0e39-46d6-ac03-864e694bd168}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"18","Lyon Hills",2022,"Weed Occurrence",682,NA,NA,NA,"Medium","Princess Tree","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{c06ba7dc-441c-4ea7-8d76-a1c970f07ab5}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"19","Lyon Hills",2021,"Beaver Dam",305,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{7eb75497-6f29-4be7-8fb4-d9df951bd40c}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"20","Lyon Hills",2021,"Boundary Issue",495,"Cattle","Cattle stepping into easement around creek crossing",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,18.4380641612523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{b8f6a9e3-5619-44c7-b31b-ada7564ba319}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"21","Lyon Hills",2021,"Channel Stability/Erosion",637,"Erosion_Scour","Erosion and Aggradation ",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,61.4762057169663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{48cb39d1-81f5-49a6-ac5f-eba37d693326}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"22","Lyon Hills",2021,"Channel Stability/Erosion",639,"Erosion_Scour",NA,"Stream Bed","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,16.4924623891161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{a775e3b9-0b10-48de-b33c-64f4593df68a}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"23","Lyon Hills",2021,"Failed Structure",62,NA,"Failed log sill. Undercutting. Disconnected from grade? And no splash rock to reduce drop.",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{7c35ac8b-890e-428e-a5c9-abc3c5a21cb2}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"24","Lyon Hills",2021,"Failed Structure",99,"Failed/Not Functional","Failed j-hook","Bank Protection Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{c776a02d-836a-40bd-a3a5-95536bf72c49}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"25","Lyon Hills",2021,"Failed Structure",311,"Failed/Not Functional","Too high","Grade Control Structure","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{702e7bc8-408e-4e8c-a74f-cf757f1283bb}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"26","Lyon Hills",2021,"In-Stream Vegetation",497,NA,"In-stream veg",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,107.119532375193,3,2021-09-01 13:10:30,"Sprayed","Native Roots",NA,NA,NA,NA,NA,NA,NA,2021-12-21 13:10:25,"na",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","51-75%",NA,"Emily","{527a577f-412c-4164-a3c6-73a982bd67a2}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"27","Lyon Hills",2021,"In-Stream Vegetation",498,NA,"In-stream veg with Aggradation ",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,204.433320228559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%",NA,"Emily","{c1077307-d83c-4e14-ac8a-ef92b17184d6}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"28","Lyon Hills",2021,"In-Stream Vegetation",499,NA,"In-stream veg and Aggradation upstream of culvert",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,38.5056759817047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{f59c20c6-eb7f-41a4-b19f-ed652737e761}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"29","Lyon Hills",2021,"In-Stream Vegetation",500,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,111.113381986669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%",NA,"Emily","{bf2d196b-b907-4aa8-8be6-3514821d37f7}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"30","Lyon Hills",2021,"In-Stream Vegetation",501,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,54.1516065850149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{733d34e2-2d38-4642-8f4d-b3c971d447c6}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"31","Lyon Hills",2021,"In-Stream Vegetation",502,NA,"In-stream veg",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,199.120194333448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{ba65a34e-6dc0-4290-92ba-2c692556766b}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"32","Lyon Hills",2021,"In-Stream Vegetation",503,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,100.283997612573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{2578d83d-acd1-4c66-ab2d-0b29abfed9b4}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"33","Lyon Hills",2021,"In-Stream Vegetation",505,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,382.981067320747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{97ef77af-dadc-47bb-a89a-eb31f3b5d717}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"34","Lyon Hills",2021,"In-Stream Vegetation",511,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,23.830551241299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{76472b65-51b9-49b3-b5bf-7b9225993c43}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"35","Lyon Hills",2021,"In-Stream Vegetation",513,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,39.2421966128415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-25%",NA,"Emily","{16603025-01bc-464f-9af0-919e00780125}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"36","Lyon Hills",2021,"In-Stream Vegetation",514,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,38.8164166131607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%",NA,"Emily","{50aa7ba5-6462-48cc-962f-36d2130ba6e8}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"37","Lyon Hills",2021,"Misc",53,NA,"Hunting tree stands",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{49f57c20-81de-4d3b-8f12-ef04ce6d1ff0}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"38","Lyon Hills",2021,"Misc",304,NA,"Mature Hemlock. Approx 15-18” DBH. Needs treatment.",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{3469fb04-b111-43d7-9d48-4950e4c0c5b1}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"39","Lyon Hills",2021,"Misc",309,NA,"Mature Hemlocks need treatment. DBH 12-15”",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Emily","{2caa12c1-3015-4076-b21c-f5d84be39f8c}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
