"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Maney Farm",2022,"Boundary Issue",921,NA,"portion of CE outside fence",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{9c81b562-6d27-4d62-a828-b80063a2603b}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"2","Maney Farm",2022,"Weed Occurrence",822,NA,NA,NA,"High","Multiflora Rose","1-5%","Japanese Honeysuckle","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,1,2022-03-23 00:00:00,"treated honeysuckle and rose","in-house",NA,"Backpack Spray","Triclopyr",NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrea","{218d2748-2156-41bf-aaed-5397d385218d}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"3","Maney Farm",2022,"Weed Occurrence",823,NA,NA,NA,"High","Japanese Honeysuckle","1-5%","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,1,2022-03-23 00:00:00,"treated honeysuckle and some rose foliar","in-house",NA,"Backpack Spray","Triclopyr",NA,NA,NA,NA,2036-02-05 01:28:16,"76-100%",2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrea","{4acb04d8-4b22-4a9d-9f2f-523da1129543}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"4","Maney Farm",2022,"Weed Occurrence",523,NA,NA,NA,"Medium","Callery Pear","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{85eaab05-8532-41d6-8860-525a446d241f}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"5","Maney Farm",2022,"Weed Occurrence",525,NA,"1 stem",NA,"Low","Tree Of Heaven","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{10517395-8863-4005-818a-2c224f7a0ba4}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"6","Maney Farm",2022,"Weed Occurrence",526,NA,NA,NA,"Low","Callery Pear","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"No","No","Yes","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{d502b2bb-f636-4a8c-bc2d-6a848e92cc6c}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"7","Maney Farm",2021,"5",124,NA,"Needs CE sign in corner",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","Yes",NA,NA,0,2022-07-26 10:12:12,"CE sign added",NA,NA,NA,NA,NA,NA,NA,NA,2022-07-26 10:12:01,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes","Point",NA,NA,"Andrea","{7a484bce-c96e-49e9-9cff-fd7de88e93be}",2023-01-05 17:32:00,"lcostes",2023-06-13 11:27:32,"lcostes"
"8","Maney Farm",2021,"Channel Stability/Erosion",584,"Erosion_Scour","Brush toe losing material","Stream Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","No","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{8ab54de6-666f-498e-a78e-5027c9664071}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"9","Maney Farm",2021,"In-Stream Vegetation",518,NA,"cattails near confluence. Sediment input from upstream incision.",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,3,2021-02-16 00:00:00,"raked out veg and sediment","in-house",NA,NA,NA,NA,NA,NA,NA,2021-02-16 19:00:00,"76-100%",2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line","6-25%",NA,"Andrea","{8097c369-f62e-45fc-9c77-1d55e3d3528e}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
"10","Maney Farm",2021,"In-Stream Vegetation",518,NA,"cattails near confluence. Sediment input from upstream incision.",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,3,2021-07-28 14:31:17,"in-stream veg removal using foliar glyphosate 2-3% with MSO","in-house",NA,NA,NA,NA,"na",NA,NA,2021-07-28 19:00:00,NA,2023-01-05 17:32:56,"lcostes",2023-01-05 17:32:56,"lcostes","Line","6-25%",NA,"Andrea","{8097c369-f62e-45fc-9c77-1d55e3d3528e}",2023-01-05 17:32:21,"lcostes",2023-01-05 17:32:21,"lcostes"
