"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Martin Dairy",2023,"Boundary Issue",1146,NA,"Small mowing encroachment when hay was mowed.",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-10-18 14:25:12,"strung polytape ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-18 14:25:26,"ncurtis1",2023-10-18 14:25:26,"ncurtis1","Line",NA,NA,"Neil","{7f9f2a31-690e-43c3-9a92-c4b4be37039a}",2023-10-18 14:24:51,"ncurtis1",2023-11-08 12:03:56,"lcostes"
"2","Martin Dairy",2023,"Vegetation Issue",1254,"Low Stem Density","Replant contingency dryer",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,2,2023-09-19 15:34:37,"Sprayed competing veg and created ring sprays for replant","in-house",1,NA,NA,NA,NA,NA,NA,NA,NA,2023-09-19 15:35:26,"ncurtis1",2023-09-19 15:35:26,"ncurtis1","Poly",NA,NA,"Neil","{d5fd34c4-a964-4850-96c3-885160bab132}",2023-07-28 14:08:05,"ncurtis1",2023-09-05 11:29:50,"lcostes"
"3","Martin Dairy",2023,"Vegetation Issue",1255,"Low Stem Density","Contingency planting wet",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Neil","{de6456a2-d74b-43fa-85fc-07a35f75841b}",4630588-01-02 19:00:00,"ncurtis1",4630588-01-02 19:00:00,"ncurtis1"
"4","Martin Dairy",2023,"Weed Occurrence",1249,NA,"Needs blackberry reduction (some spots 50+% coverage) and could use another round of Johnson grass spraying",NA,"Medium","Blackberry","6-25%","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2023-09-19 15:10:29,"Blackberry foliar","In-house",1,"Backpack Spray","Triclopyr",NA,NA,NA,NA,NA,NA,2023-09-19 15:28:22,"ncurtis1",2023-09-19 15:28:22,"ncurtis1","Poly",NA,NA,"Neil","{f3ce2d00-2135-40a5-87ec-a1b5b671aec1}",2023-07-25 16:38:12,"ncurtis1",2023-09-19 15:08:52,"ncurtis1"
"5","Martin Dairy",2023,"Weed Occurrence",1249,NA,"Needs blackberry reduction (some spots 50+% coverage) and could use another round of Johnson grass spraying",NA,"Medium","Blackberry","6-25%","Johnson Grass","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2023-10-13 00:00:00,"Blackberry Brushcut","Lemon",1,NA,NA,NA,NA,NA,NA,2023-10-18 00:00:00,"51-75%",2023-10-20 17:15:14,"ncurtis1",2023-10-20 17:15:14,"ncurtis1","Poly",NA,NA,"Neil","{f3ce2d00-2135-40a5-87ec-a1b5b671aec1}",2023-07-25 16:38:12,"ncurtis1",2023-09-19 15:08:52,"ncurtis1"
"6","Martin Dairy",2023,"Weed Occurrence",1008,NA,NA,NA,"Low","Chinese Privet","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-06-27 00:00:00,"Cut stump of privet & multiflora rose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 15:00:01,"ncurtis1",2023-07-14 15:00:01,"ncurtis1","Point",NA,NA,"Neil","{271f2e1a-5c93-4352-a0a9-fd9a6b343fa2}",2023-02-28 16:26:39,"ncurtis1",2023-09-05 10:08:46,"lcostes"
"7","Martin Dairy",2023,"Weed Occurrence",1677,NA,"Dense honeysuckle ground cover",NA,"Medium","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{cfe94813-0816-46ee-924b-104e96397090}",4649985-05-22 20:00:00,"ncurtis1",4649985-05-22 20:00:00,"ncurtis1"
"8","Martin Dairy",2022,"Vegetation Issue",1197,"Low Stem Vigor/Height","Scattered stems that have remained short/stunted and should be targeted with soil  amendments",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2022-06-01 00:00:00,"2022 Tree boosters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 14:52:41,"ncurtis1",2023-10-20 14:21:23,"ncurtis1","Poly",NA,NA,"Neil","{849cc903-465f-45f7-968b-e9e7b87f4c21}",2023-07-14 14:51:14,"ncurtis1",2023-07-14 14:51:14,"ncurtis1"
"9","Martin Dairy",2022,"Vegetation Issue",1197,"Low Stem Vigor/Height","Scattered stems that have remained short/stunted and should be targeted with soil  amendments",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-05-10 00:00:00,"2023 Tree boosters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-14 14:53:44,"ncurtis1",2023-10-20 14:21:34,"ncurtis1","Poly",NA,NA,"Neil","{849cc903-465f-45f7-968b-e9e7b87f4c21}",2023-07-14 14:51:14,"ncurtis1",2023-07-14 14:51:14,"ncurtis1"
"10","Martin Dairy",2022,"Vegetation Issue",1197,"Low Stem Vigor/Height","Scattered stems that have remained short/stunted and should be targeted with soil  amendments",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,2,2023-07-25 00:00:00,"2023 2nd round of tree boosters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-20 14:21:08,"ncurtis1",2023-10-20 14:21:43,"ncurtis1","Poly",NA,NA,"Neil","{849cc903-465f-45f7-968b-e9e7b87f4c21}",2023-07-14 14:51:14,"ncurtis1",2023-07-14 14:51:14,"ncurtis1"
