"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Marylea",2023,"Beaver Dam",1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{72cef236-5c6a-4a1d-af2f-f448d211a58d}",4661555-09-28 20:00:00,"athompson07",4661555-09-28 20:00:00,"athompson07"
"2","Marylea",2023,"Beaver Dam",1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{5016a389-ddc8-4a1c-a495-03e5e2f63e66}",4661557-02-03 19:00:00,"athompson07",4661557-02-03 19:00:00,"athompson07"
"3","Marylea",2023,"Boundary Issue",1208,"Motor Vehicle Use","appears someone drove a tractor to clear a beaver dam. Ian drove in to remove beaver dam w/ MF’s permission ",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{827a3e15-6cdc-4f49-ac5f-78b312a9d833}",4661531-12-19 19:00:00,"athompson07",4663027-11-19 19:00:00,"athompson07"
"4","Marylea",2023,"Boundary Issue",1211,NA,"drove in to remove beaver dam w/ MF’s permission ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{0ee26a5e-9132-4b17-bf9e-c043b653122c}",4661556-06-17 20:00:00,"athompson07",4663027-09-30 20:00:00,"athompson07"
"5","Marylea",2023,"Channel Stability/Erosion",1039,"Slumping_Settling","bank has big hole. in beaver area",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{ece5ae83-837b-43f9-b804-4e4515f9a6e1}",4606653-02-12 19:00:00,"athompson07",4606653-03-13 20:00:00,"athompson07"
"6","Marylea",2023,"Channel Stability/Erosion",1042,"Ponding_BeaverDam_Debris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{01d18916-381b-4a0b-92e0-e96e028b565d}",4606657-01-26 19:00:00,"athompson07",4606657-01-26 19:00:00,"athompson07"
"7","Marylea",2023,"Channel Stability/Erosion",1210,"Erosion_Scour","beaver holes? maybe made by wetlands draining","Stream Bank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{f1836d5d-6365-4990-b6d8-113eb8815b8a}",4661553-02-08 19:00:00,"athompson07",4661553-04-13 20:00:00,"athompson07"
"8","Marylea",2023,"Failed Structure",1150,"Failed/Not Functional","piping around rock sill",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{9717723f-71be-4ec9-990b-500afa621799}",4606933-04-08 20:00:00,"athompson07",4606933-04-08 20:00:00,"athompson07"
"9","Marylea",2023,"Misc",1833,NA,"rake out debris jam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{4480346c-649d-44e5-a42e-79ed048bd35b}",4661540-01-04 19:00:00,"athompson07",4661540-01-04 19:00:00,"athompson07"
"10","Marylea",2023,"Needs Livestakes",1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,4,2023-04-18 16:18:00,NA,"Williams Forestry",NA,NA,NA,NA,NA,NA,"Yes",2023-12-06 16:18:00,"51-75%",2023-12-12 16:18:53,"athompson07",2023-12-12 16:18:53,"athompson07","Line",NA,NA,"Andrea","{63fed48d-7d72-494f-b782-c8692cc0a5fe}",2023-04-18 09:12:36,"athompson07",2023-12-13 12:15:19,"athompson07"
"11","Marylea",2023,"Needs Livestakes",1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{c389c9c1-119c-4e92-b492-ed0fba1533a1}",4606646-12-23 19:00:00,"athompson07",4663223-01-20 19:00:00,"athompson07"
"12","Marylea",2023,"Needs Livestakes",1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{1b66f4bf-39cd-44fd-9eb9-d30b82e37ca3}",4606648-02-04 19:00:00,"athompson07",4663223-01-20 19:00:00,"athompson07"
"13","Marylea",2023,"Needs Livestakes",1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{6a7a234f-5aa9-4310-b519-a54bc4c2d101}",4606648-05-27 20:00:00,"athompson07",4663223-01-20 19:00:00,"athompson07"
"14","Marylea",2023,"Needs Livestakes",1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{057be9da-d3a4-4852-8998-cbe96a599abd}",4606648-09-22 20:00:00,"athompson07",4663223-01-20 19:00:00,"athompson07"
"15","Marylea",2023,"Needs Livestakes",1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{bf6ca15a-6106-4d91-8eb4-1fd3f137a4e6}",4606649-11-23 19:00:00,"athompson07",4663223-01-20 19:00:00,"athompson07"
"16","Marylea",2023,"Needs Livestakes",1037,NA,"in beaver area. livestakes may be beaver fodder!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{cdba9a91-8a61-415d-82f6-aa1d7bd1943f}",4606650-12-03 19:00:00,"athompson07",4606650-12-03 19:00:00,"athompson07"
"17","Marylea",2023,"Needs Livestakes",1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{8ebc34fc-fca4-4c87-b2ae-53ab0d93efc7}",4606651-06-03 20:00:00,"athompson07",4606651-06-03 20:00:00,"athompson07"
"18","Marylea",2023,"Needs Livestakes",1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{5375aa4e-98e0-4786-9085-b516dc47ee60}",4606654-06-09 20:00:00,"athompson07",4606654-06-09 20:00:00,"athompson07"
"19","Marylea",2023,"Needs Livestakes",1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{4187cc80-0ed3-44db-a9d5-13ef17ec4340}",4606655-11-01 20:00:00,"athompson07",4606655-11-01 20:00:00,"athompson07"
"20","Marylea",2023,"Needs Livestakes",1043,NA,"3 stakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{98ea53ad-bf94-48a1-a423-5e99b055ee4f}",4606660-01-22 19:00:00,"athompson07",4606660-01-22 19:00:00,"athompson07"
"21","Marylea",2023,"Needs Livestakes",1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{dc5d7de1-2097-41b6-94a2-3056eeb69908}",4606661-04-30 20:00:00,"athompson07",4663222-10-31 20:00:00,"athompson07"
"22","Marylea",2023,"Needs Livestakes",1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{483ff133-f435-42f6-862c-a80ea42a4e73}",4606661-07-19 20:00:00,"athompson07",4663222-10-31 20:00:00,"athompson07"
"23","Marylea",2023,"Needs Livestakes",1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{2fe058f3-b397-4127-97f0-4e88161a9f41}",4606661-11-15 19:00:00,"athompson07",4663222-10-31 20:00:00,"athompson07"
"24","Marylea",2023,"Needs Livestakes",1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{6a5bd31b-38dc-42e9-a1b6-ddca9946f76f}",4606932-12-02 19:00:00,"athompson07",4663222-10-31 20:00:00,"athompson07"
"25","Marylea",2023,"Needs Livestakes",1049,NA,"pool widening",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{fdf36053-82e2-4610-8f9a-f1bfa392f1f9}",4606933-09-23 20:00:00,"athompson07",4663222-10-31 20:00:00,"athompson07"
"26","Marylea",2023,"Needs Livestakes",1050,NA,"needs a stake or 2 around log sill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Andrea","{c0b71791-8c3e-4daf-ba7c-65723e81e617}",4606939-09-09 20:00:00,"athompson07",4663222-10-31 20:00:00,"athompson07"
