"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","McClenny Acres I and II",2023,"Beaver Dam",1536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{2b5ed835-bee8-4e86-8021-be8944006c12}",4636458-11-02 20:00:00,"aradecki1",4639773-08-19 20:00:00,"lcostes"
"2","McClenny Acres I and II",2023,"Misc",1349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{657664f5-5f0d-4b9a-81a1-95428ec4318f}",4622269-10-11 20:00:00,"aradecki1",4639773-08-17 20:00:00,"lcostes"
"3","McClenny Acres I and II",2023,"Vegetation Issue",1088,"Low Stem Vigor/Height",NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6-25%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{1a8f668f-21d1-415b-a9ae-96e925d16fc0}",4605013-12-14 19:00:00,"aradecki1",4639786-10-31 20:00:00,"lcostes"
"4","McClenny Acres I and II",2023,"Vegetation Issue",1164,"Low Stem Density",NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76-100%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{78b6eee6-dcf9-4000-a1c6-a64e611dd8b4}",4619655-09-23 20:00:00,"aradecki1",4639786-11-01 20:00:00,"lcostes"
"5","McClenny Acres I and II",2023,"Weed Occurrence",1535,NA,NA,NA,"Medium","Climbing Hempvine","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{09a46a05-bb31-4947-9363-39a7149ec460}",4636455-04-12 20:00:00,"aradecki1",4639773-08-18 20:00:00,"lcostes"
"6","McClenny Acres I and II",2022,"Misc",541,NA,"Wetland outlet draining to UT1","Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrew","{bb669d50-78e0-4e1f-a5d3-d0469c43e796}",4582373-03-18 20:00:00,"lcostes",4639773-08-15 20:00:00,"lcostes"
"7","McClenny Acres I and II",2022,"Vegetation Issue",830,"Bare Areas & Low Stem Density","standing water",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{9a4325a6-52aa-411a-8939-0ed47d7e320e}",4582373-04-23 20:00:00,"lcostes",4639786-10-23 20:00:00,"lcostes"
"8","McClenny Acres I and II",2022,"Vegetation Issue",831,"Bare Areas & Low Stem Density","standing water",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{b666eaa8-c3ad-40e0-a1c0-e59599543d3e}",4582373-04-23 20:00:00,"lcostes",4639786-10-24 20:00:00,"lcostes"
"9","McClenny Acres I and II",2022,"Vegetation Issue",832,"Bare Areas & Low Stem Density","standing water",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrew","{c60afcb0-ba39-4ac7-a15b-6977aa2b1c6d}",4582373-04-23 20:00:00,"lcostes",4639786-10-25 20:00:00,"lcostes"
"10","McClenny Acres I and II",2022,"Weed Occurrence",827,NA,"Cattails",NA,"High","Cattail","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2022-06-21,"Cattail treatment (cut stump on western part, spray on central section)","In House",NA,"Cut Stump",NA,"Backpack Spray",NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Andrew","{19f89a38-9dde-4719-9b96-c76ce1083673}",2023-01-05 17:32:36,"lcostes",2023-10-05 16:49:40,"lcostes"
