"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area_FtSq","Length_Ft","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","McClenny",2022,"Misc",541,NA,"Wetland outlet draining to UT1","Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{bb669d50-78e0-4e1f-a5d3-d0469c43e796}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"2","McClenny",2022,"Vegetation Issue",830,"Bare Areas & Low Stem Density","standing water",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51-75%","No","No","Yes","Yes","Yes",NA,118800.568359375,1647.90778770162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{9a4325a6-52aa-411a-8939-0ed47d7e320e}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"3","McClenny",2022,"Vegetation Issue",831,"Bare Areas & Low Stem Density","standing water",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,188942.424682617,2427.9051219324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{b666eaa8-c3ad-40e0-a1c0-e59599543d3e}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"4","McClenny",2022,"Vegetation Issue",832,"Bare Areas & Low Stem Density","standing water",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26-50%","No","No","Yes","Yes","Yes",NA,27872.0010986328,1294.7003392623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{c60afcb0-ba39-4ac7-a15b-6977aa2b1c6d}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"5","McClenny",2022,"Weed Occurrence",827,NA,"Cattails",NA,"High","OTHER","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,77970.5295410156,4568.9481886261,1,2022-06-21,"Cattail treatment (cut stump on western part, spray on central section)","In House",NA,"Cut Stump",NA,"Backpack Spray",NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{19f89a38-9dde-4719-9b96-c76ce1083673}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"6","McClenny",2022,"Weed Occurrence",826,NA,"Cattails",NA,"High","OTHER","76-100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,44741.6673583984,2946.22229532517,1,2022-07-07,"Weedeat Cattails","In House",NA,"Mow",NA,NA,NA,NA,NA,2036-02-05 01:28:16,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes",NA,NA,"Neil","{202b8ae0-83e8-49b4-91cb-e29fbe617ef7}",2023-01-05 17:32:36,"lcostes",2023-01-05 17:32:36,"lcostes"
"7","McClenny",2022,"Weed Occurrence",828,NA,"Cattails",NA,"High","OTHER","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,27809.7275390625,1298.27420950051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{979067c9-0739-4401-80cf-dd68bd1263b1}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"8","McClenny",2022,"Weed Occurrence",829,NA,"Cattails",NA,"High","OTHER","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,4884.41186523438,362.195234163869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{b55f7af2-49c6-4a73-9cd5-05861de273c5}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"9","McClenny",2022,"Weed Occurrence",881,NA,"Cattails",NA,"Medium","OTHER","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,12107.1157226562,468.0389315746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{73dab42c-9a73-434f-b6df-10ab57f9a60c}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"10","McClenny",2022,"Weed Occurrence",882,NA,"Cattails",NA,"Medium","OTHER","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,12162.90625,467.129785568476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{09f9809b-a244-453f-8ed1-a0e5bc65f0db}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"11","McClenny",2022,"Weed Occurrence",883,NA,"Cattail",NA,"Medium","OTHER","51-75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,11992.2542724609,468.847227100676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{3be7529e-24de-4bf7-bc6e-f5c5b9f999aa}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"12","McClenny",2022,"Weed Occurrence",884,NA,"Cattail",NA,"Medium","OTHER","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,74706.3475341797,1024.94816314182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{c2e4af6c-3aca-442f-a5b4-dce71a6681a9}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"13","McClenny",2022,"Weed Occurrence",885,NA,"Cattail",NA,"Medium","OTHER","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,64363.3250732422,975.55978669407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{c000f053-4bf1-4105-b37c-96afdaa27438}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
"14","McClenny",2021,"Channel Stability/Erosion",550,"Slumping_Settling",NA,"Stream Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,68.7103538630981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{c162ffc6-0d6b-4ef6-bbc3-4759f9809aef}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"15","McClenny",2021,"Channel Stability/Erosion",551,"Slumping_Settling",NA,"Stream Bank","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,94.373289683304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{8ef6df81-c62d-47de-9d1d-faa3bff9b6e8}",4582373-04-08 20:00:00,"lcostes",4582373-04-08 20:00:00,"lcostes"
"16","McClenny",2021,"Weed Occurrence",347,NA,NA,"On-site Source","Medium","Chinese Privet","26-50%","Tree Of Heaven","6-25%","Japanese Honeysuckle","6-25%","Chinaberry","1-5%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,345417.547973633,4275.3454011813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neil","{43f17147-74b2-4b8a-9c30-1c5c144c6596}",4582373-04-23 20:00:00,"lcostes",4582373-04-23 20:00:00,"lcostes"
