"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Natts Branch",2023,"Misc",1441,NA,"chestnut?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Andrea","{1813842d-47a1-4291-bb5c-a253c75f322c}",4628180-03-01 19:00:00,"athompson07",4642845-10-06 20:00:00,"lcostes"
"2","Natts Branch",2023,"Weed Occurrence",1224,NA,"ARTHIS 5%, MUKE 40%",NA,NA,"Marsh Dewflower","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{b47f787e-118c-4f75-85c4-424c89ae3df9}",4628164-05-01 20:00:00,"athompson07",4642846-03-23 20:00:00,"lcostes"
"3","Natts Branch",2023,"Weed Occurrence",1225,NA,"Canada thistle 5%",NA,NA,"OTHER","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{d08ddf82-ae0e-436a-98cf-11403462190d}",4628166-03-05 19:00:00,"athompson07",4642846-03-29 20:00:00,"lcostes"
"4","Natts Branch",2023,"Weed Occurrence",1226,NA,"5%",NA,NA,"Beefsteak Plant","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{3fe8df62-0f67-434f-8603-1bbc1567242e}",4628166-11-01 20:00:00,"athompson07",4642846-03-30 20:00:00,"lcostes"
"5","Natts Branch",2023,"Weed Occurrence",1227,NA,"5%",NA,NA,"Marsh Dewflower",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{1c757f0f-4640-46f9-a4a6-7fc84adc451c}",4628168-04-29 20:00:00,"athompson07",4642846-03-31 20:00:00,"lcostes"
"6","Natts Branch",2023,"Weed Occurrence",1228,NA,"pefr 6%, romu <1",NA,NA,"Beefsteak Plant","6-25%","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{76bdadb8-0089-4c50-9470-fd64650febed}",4628171-04-09 20:00:00,"athompson07",4642846-04-01 20:00:00,"lcostes"
"7","Natts Branch",2023,"Weed Occurrence",1229,NA,"in treeline. beef 10%  romu 1%, toh 5%",NA,NA,"Beefsteak Plant","6-25%","Multiflora Rose","6-25%","Tree Of Heaven","6-25%","Chinese Privet","<1%",NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{55cd819a-7cbf-4d6a-9144-24b40c1c3a5c}",4628171-12-23 19:00:00,"athompson07",4642846-04-02 20:00:00,"lcostes"
"8","Natts Branch",2023,"Weed Occurrence",1230,NA,"romu 20%",NA,NA,"Japanese Honeysuckle","<1%","Multiflora Rose","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{739b7c16-f174-4dda-b121-39a433149d1d}",4628176-09-20 20:00:00,"athompson07",4642846-04-06 20:00:00,"lcostes"
"9","Natts Branch",2023,"Weed Occurrence",1231,NA,"mostly on perimeter ",NA,NA,"Japanese Honeysuckle","<1%","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{b59dbf0a-8ed0-438e-8f73-86e945db57e1}",4628180-05-10 20:00:00,"athompson07",4642846-04-07 20:00:00,"lcostes"
"10","Natts Branch",2023,"Weed Occurrence",1232,NA,"saw size toh. 6%",NA,NA,"Tree Of Heaven","6-25%","Multiflora Rose","<1%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{2f2a67a0-128c-469f-9335-fc7247596d75}",4628181-11-12 19:00:00,"athompson07",4642846-04-08 20:00:00,"lcostes"
"11","Natts Branch",2023,"Weed Occurrence",1233,NA,"more muke at top wet area, then only in stream. ARTHIS might as well be treated here too ",NA,NA,"Marsh Dewflower","26-50%","OTHER","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Andrea","{9c97ea69-8a02-405c-882d-673377d209cd}",4628183-05-04 20:00:00,"athompson07",4642846-04-09 20:00:00,"lcostes"
