"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","OBerry Road",2023,"5",1365,"Damaged Post","Post bent, needs to be replaced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{29c0d301-2cc0-47ae-be54-1bf083df509f}",4623471-01-28 19:00:00,"hpeterman",4642845-09-10 20:00:00,"lcostes"
"2","OBerry Road",2023,"5",1366,"Damaged Post","Post bent, needs to be replaced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{6bfe72d0-96d8-4b63-a421-1282707be55c}",4623472-02-11 19:00:00,"hpeterman",4642845-09-09 20:00:00,"lcostes"
"3","OBerry Road",2023,"5",1548,"Damaged Post","Replace post",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{6d3515b0-7bbc-429a-98d9-275928eed21b}",4636696-05-22 20:00:00,"hpeterman",4642845-09-05 20:00:00,"lcostes"
"4","OBerry Road",2023,"Boundary Issue",988,"Mowing","Scalloping, polytape posted",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{ef7c4f7b-c259-440a-bfb5-a7716c3439a5}",4595544-02-07 19:00:00,"hpeterman",4642845-11-18 19:00:00,"lcostes"
"5","OBerry Road",2023,"Boundary Issue",989,"Mowing","Close to encroaching, polytape posted",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{f97faa5d-cdbc-46e2-bde6-1129ae112280}",4595544-06-25 20:00:00,"hpeterman",4642845-11-22 19:00:00,"lcostes"
"6","OBerry Road",2023,"Boundary Issue",1001,"Mowing","Close to encroaching, polytape posted",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{32092792-3750-4342-85fa-8d09fe0022f0}",4599854-03-22 20:00:00,"hpeterman",4642845-11-23 19:00:00,"lcostes"
"7","OBerry Road",2023,"Boundary Issue",1002,"Mowing","Close to encroaching, polytape posted",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{98f3fcca-a519-4a48-97cf-9ebbf40f6c97}",4599854-05-13 20:00:00,"hpeterman",4642845-11-24 19:00:00,"lcostes"
"8","OBerry Road",2023,"Boundary Issue",1003,"Mowing","Close to encroaching, polytape posted",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{226dc8d4-b601-4ca6-a5fd-312f954c5a84}",4599854-06-11 20:00:00,"hpeterman",4642845-11-25 19:00:00,"lcostes"
"9","OBerry Road",2023,"Boundary Issue",1004,"Mowing","Close to encroaching, polytape posted",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{2695cbf0-05f4-4436-9d50-5db3a10b9daa}",4599854-07-16 20:00:00,"hpeterman",4642845-11-27 19:00:00,"lcostes"
"10","OBerry Road",2023,"Boundary Issue",1005,"Mowing","Close to encroaching, polytape posted",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{e7345d66-0b5f-494a-8063-dbd5e2cc6277}",4599854-08-16 20:00:00,"hpeterman",4642845-11-28 19:00:00,"lcostes"
"11","OBerry Road",2023,"Boundary Issue",1086,"Motor Vehicle Use","Tractor scalloping -post polytape",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{99e0ced3-fd53-4c6b-8694-9438c03753f8}",4623468-06-25 20:00:00,"hpeterman",4642845-12-02 19:00:00,"lcostes"
"12","OBerry Road",2023,"Boundary Issue",1087,"Mowing","Scalloping/mowing close to boundary. Post polytape",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Hanna","{0e95a842-62c0-4b27-b42f-f8f6b7678b1f}",4623469-01-14 19:00:00,"hpeterman",4642845-12-03 19:00:00,"lcostes"
"13","OBerry Road",2023,"Misc",1654,NA,"Random Stew veg plot 1 (only drilled wheat)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Hanna","{45997765-68f4-4eec-9d8c-95eba2365d39}",4648059-01-19 19:00:00,"ncurtis1",4648059-01-19 19:00:00,"ncurtis1"
