"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Oak Hill Dairy",2023,"5",1417,"Gate Issue","Gate needs chain",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{5e1c133e-4fd7-4b61-bc55-7bfa8a669d01}",4627008-04-15 20:00:00,"eisrael1",4647105-03-03 19:00:00,"lcostes"
"2","Oak Hill Dairy",2023,"Boundary Issue",1088,"Debris","Tree fell on fence","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{dccb6538-a454-419a-bad1-8e6b7dfb68d0}",4626785-01-30 19:00:00,"eisrael1",4647104-11-02 20:00:00,"lcostes"
"3","Oak Hill Dairy",2023,"Boundary Issue",1090,"Debris","Dead tree on fence","Fence","Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{fbaa2ce6-1c7f-467c-aa3f-c6fb003082c1}",4627007-10-29 20:00:00,"eisrael1",4647104-10-25 20:00:00,"lcostes"
"4","Oak Hill Dairy",2023,"In-Stream Vegetation",1089,NA,NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line","6-25%",NA,"Emily","{072e04c3-5934-43ed-8905-f1745c102e16}",4627004-04-21 20:00:00,"eisrael1",4647104-10-29 20:00:00,"lcostes"
"5","Oak Hill Dairy",2023,"Misc",1626,NA,"Slumped bank",NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{4e97ca81-40ad-4372-ba83-0e1288fe5d8d}",4642852-03-28 20:00:00,"wlasheville2",4642852-03-28 20:00:00,"wlasheville2"
"6","Oak Hill Dairy",2023,"Needs Livestakes",1150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{123cdbad-a563-4372-9568-a1ee356e02b3}",4642864-04-25 20:00:00,"eisrael1",4659646-05-10 20:00:00,"lcostes"
"7","Oak Hill Dairy",2023,"Soil Sample",996,NA,"OHD01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{45a6d5dd-c99b-4f08-bd60-4bb01b818818}",4593704-06-07 20:00:00,"eisrael1",4647105-02-19 19:00:00,"lcostes"
"8","Oak Hill Dairy",2023,"Soil Sample",997,NA,"OHD02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{4a12fe68-955a-48ec-9659-60420deb5514}",4593704-12-05 19:00:00,"eisrael1",4647105-02-21 19:00:00,"lcostes"
"9","Oak Hill Dairy",2023,"Soil Sample",998,NA,"OHD03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{8631dfb3-b462-4a76-9991-031f234a7a91}",4593706-02-01 19:00:00,"eisrael1",4647105-02-22 19:00:00,"lcostes"
"10","Oak Hill Dairy",2023,"Soil Sample",999,NA,"OHD04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"na",NA,"No","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{0a05d7d9-29b5-40ca-8f8d-f4e5d2ce70bb}",4593708-09-27 20:00:00,"eisrael1",4647105-02-24 19:00:00,"lcostes"
