"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Owls Den",2022,"Beaver Dam",542,NA,NA,NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,3,2022-05-31 12:04:12,"Dam hand removed","WEI staff",NA,"Hand",NA,NA,NA,NA,NA,2022-05-31 12:04:03,NA,2023-01-05 17:32:53,"lcostes",2023-01-05 17:32:53,"lcostes","Point",NA,NA,"Emily","{62f203c4-6114-4b72-9a97-ab06d7bceef2}",2023-01-05 17:32:00,"lcostes",2023-01-05 17:32:00,"lcostes"
"2","Owls Den",2022,"Beaver Dam",763,NA,"Notched 9/7",NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{2de9083f-f413-4766-bdfc-24dd887debaf}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"3","Owls Den",2022,"Beaver Dam",764,NA,NA,NA,"Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Emily","{638c1232-8a29-414c-8220-798dea362263}",4582373-03-18 20:00:00,"lcostes",4582373-03-18 20:00:00,"lcostes"
"4","Owls Den",2022,"Boundary Issue",801,"Mowing","Scalloping",NA,"High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Line",NA,NA,"Emily","{ea34e04b-67c8-45a8-aee8-93c3b489b7e3}",4582373-04-08 20:00:00,"lcostes",4640034-11-20 19:00:00,"lcostes"
"5","Owls Den",2022,"Vegetation Issue",571,"Low Stem Density",NA,NA,"Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{8a0f2d90-9e52-4b42-a960-5f7f1d39e50c}",4582373-04-23 20:00:00,"lcostes",4640034-12-22 19:00:00,"lcostes"
"6","Owls Den",2022,"Weed Occurrence",696,NA,NA,NA,"Medium","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2022-04-07 11:59:19,"Staff brush cut privet and HS (left floodplain)","WEI staff",NA,"Other",NA,NA,NA,NA,NA,2022-04-07 11:58:57,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Emily","{2dff286b-e279-4a0f-a7cb-0c7f72016523}",2023-01-05 17:32:36,"lcostes",2023-09-06 12:40:50,"lcostes"
"7","Owls Den",2022,"Weed Occurrence",697,NA,NA,NA,"Medium","Chinese Privet","6-25%","Japanese Honeysuckle","6-25%","Multiflora Rose","1-5%",NA,NA,NA,NA,NA,NA,"Partial","No","Yes","Yes","Yes",NA,NA,1,2022-03-11 15:00:57,"Staff cut stump privet, MF, Bradford pear, and some HS.","WEI Staff",NA,"Cut Stump","Triclopyr",NA,NA,NA,NA,2022-03-11 15:00:46,NA,2023-01-05 17:32:57,"lcostes",2023-01-05 17:32:57,"lcostes","Poly",NA,NA,"Emily","{b575bf7f-417f-4a5c-8cbf-c112190e363d}",2023-01-05 17:32:36,"lcostes",2023-09-06 12:40:53,"lcostes"
"8","Owls Den",2022,"Weed Occurrence",573,NA,"Need to brush cut",NA,"Medium","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{a1912ded-fb8c-4b11-9736-93896d3805e0}",4582373-04-23 20:00:00,"lcostes",4640034-12-23 19:00:00,"lcostes"
"9","Owls Den",2022,"Weed Occurrence",698,NA,NA,NA,"Medium","Japanese Honeysuckle","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{b136161e-f0f6-4447-bb5d-f6ce308fb2b2}",4582373-04-23 20:00:00,"lcostes",4640034-12-27 19:00:00,"lcostes"
"10","Owls Den",2022,"Weed Occurrence",840,NA,"Cattails",NA,"Medium","Cattail","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poly",NA,NA,"Emily","{1f5816e1-0983-49d5-a779-e76042fbebf6}",4582373-04-23 20:00:00,"lcostes",4646936-01-01 19:00:00,"lcostes"
