"","Site","Year","Subtype","OBJECTID","Issue","Issue_Desc","Issue_LocationOrFeature","Severity","InvSpecies_1","Percent_CoverAffected_1","InvSpecies_2","Percent_CoverAffected_2","InvSpecies_3","Percent_CoverAffected_3","InvSpecies_4","Percent_CoverAffected_4","InvSpecies_5","Percent_CoverAffected_5","Mature","Percent_CoverAffected_Veg","Treated","Resolved","FollowUpReq","Visibility_STEW","Visibility_MON","Monitoring_Report","Area","Subtype.y","TreatDate","Treat_Desc","Contractor","NumTreatDays","Treat_Method_1","Chemical_1","Treat_Method_2","Chemical_2","Adjuvant","Inspection","InspDate","Percent_CntrlEffective_","CreationDate.Mgmt","Creator.Mgmt","EditDate.Mgmt","Editor.Mgmt","Geom","Percent_CoverAffected","Extent","Lead_Steward","GlobalID","CreationDate.Issue","Creator.Issue","EditDate.Issue","Editor.Issue"
"1","Perry Hill I and II",2023,"Misc",1567,NA,"Random Veg Plot 14 AL/ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{3573a231-26f3-4803-8934-9c42a72fec86}",4640242-04-10 20:00:00,"alemon1",4640242-04-10 20:00:00,"alemon1"
"2","Perry Hill I and II",2023,"Weed Occurrence",1372,NA,"Scattered privet",NA,"Medium","Chinese Privet","6-25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-10-27 11:07:00,"Privet cutstump ","In house",1,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-10-30 11:07:37,"alemon1",2023-10-30 11:07:37,"alemon1","Poly",NA,NA,"Neil","{c7a3ba60-2cd9-4304-ab8e-98595a935ecf}",2023-10-30 11:06:58,"alemon1",2023-10-30 11:06:58,"alemon1"
"3","Perry Hill I and II",2023,"Weed Occurrence",1287,NA,"Invasive species",NA,"Medium","Chinese Privet","1-5%","Tree Of Heaven","1-5%","English Ivy","26-50%",NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-06-09 00:00:00,"Cut stump of privet, TOH & foliar of English Ivy","In house",1,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-25 17:29:21,"ncurtis1",2023-08-25 17:29:21,"ncurtis1","Poly",NA,NA,"Neil","{cda89105-5c9a-4a01-83b9-8cee73a44d11}",2023-08-25 17:28:04,"ncurtis1",2023-09-05 11:36:47,"lcostes"
"4","Perry Hill I and II",2023,"Weed Occurrence",1349,NA,"Dense privet resprout",NA,"High","Chinese Privet","26-50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-10-27 11:04:00,"Cutstump partial","In house",2,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,"6-25%",2023-10-30 11:05:33,"alemon1",2023-10-30 11:05:33,"alemon1","Poly",NA,NA,"Neil","{f3482ba2-e2d0-4610-80d2-9ed063b2814b}",2023-10-18 10:00:50,"ncurtis1",2023-10-30 16:52:29,"athompson07"
"5","Perry Hill I and II",2023,"Weed Occurrence",1563,NA,"a few princess tree stems",NA,"Medium","Princess Tree","<1%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-09-22 13:28:26,"Cut stumped paulownia","lemon",1,"Cut Stump","Triclopyr",NA,NA,NA,NA,NA,NA,2023-09-22 13:29:05,"ncurtis1",2023-09-22 13:29:05,"ncurtis1","Point",NA,NA,"Neil","{47b3b1c4-e7f5-4c93-9f7b-39d1ae3c1755}",2023-09-07 11:41:02,"ncurtis1",2023-09-22 13:27:13,"ncurtis1"
"6","Perry Hill I and II",2023,"Weed Occurrence",1552,NA,"Willows in steam",NA,NA,"OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,1,2023-07-27 12:33:00,"Cutstump willows out of stream","In house",1,"Cut Stump","Glyphosate",NA,NA,NA,NA,NA,NA,2023-08-28 12:34:18,"alemon1",2023-08-28 12:34:18,"alemon1","Point",NA,NA,"Neil","{835554fb-be24-4b1c-9b0b-e883da2219c4}",2023-08-28 12:33:32,"alemon1",2023-10-05 15:09:59,"lcostes"
"7","Perry Hill I and II",2023,"Weed Occurrence",1029,NA,"Big privet and little ones around it",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,0,2023-05-05 00:00:00,"Cut stump large and medium privet stems","In house",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-25 17:23:14,"ncurtis1",2023-08-25 17:23:14,"ncurtis1","Point",NA,NA,"Neil","{9a48a258-39e5-4093-89df-e52e19af9805}",2023-03-14 09:08:36,"cneaves1",2023-09-05 10:12:08,"lcostes"
"8","Perry Hill I and II",2023,"Weed Occurrence",1029,NA,"Big privet and little ones around it",NA,NA,"Chinese Privet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","Yes",NA,NA,1,2023-09-22 13:25:22,"Cut stumped smaller privet","Lemon",1,"Cut Stump","Triclopyr",NA,NA,NA,NA,NA,NA,2023-09-22 13:26:11,"ncurtis1",2023-09-22 13:26:11,"ncurtis1","Point",NA,NA,"Neil","{9a48a258-39e5-4093-89df-e52e19af9805}",2023-03-14 09:08:36,"cneaves1",2023-09-05 10:12:08,"lcostes"
"9","Perry Hill I and II",2023,"Weed Occurrence",977,NA,"scattered privet","On-site Source","Low","Chinese Privet","1-5%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{bd8c8fc9-d835-47d9-a606-350c96a05745}",4590812-11-18 19:00:00,"ncurtis1",4639774-01-05 19:00:00,"lcostes"
"10","Perry Hill I and II",2023,"Weed Occurrence",978,NA,"needs willows cut stumped out of stream",NA,"Low","OTHER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","No","Yes","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Point",NA,NA,"Neil","{ae35d924-db20-4597-a612-59688aa1fad7}",4590816-04-21 20:00:00,"ncurtis1",4646909-01-31 19:00:00,"lcostes"
